dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.964000,3.466024,0.003333,0.333333,16.666667,833.333333,4.712695
0.020000,6.964027,3.454019,0.015338,0.600245,13.345561,-166.055276,4.716491
0.020000,6.964217,3.430064,0.039294,1.197782,29.876895,826.566690,4.724236
0.020000,6.964785,3.397251,0.072112,1.640905,22.156130,-386.038224,4.735232
0.020000,6.965819,3.361630,0.107748,1.781817,7.045603,-755.526364,4.747698
0.020000,6.967299,3.326203,0.143206,1.772860,-0.447878,-374.674081,4.760677
0.020000,6.969238,3.290986,0.178477,1.763551,-0.465403,-0.876234,4.774188
0.020000,6.971649,3.255991,0.213554,1.753872,-0.483996,-0.929661,4.788251
0.020000,6.974544,3.221235,0.248431,1.743835,-0.501830,-0.891693,4.802889
0.020000,6.977938,3.186733,0.283099,1.733424,-0.520550,-0.935998,4.818120
0.020000,6.981844,3.152502,0.317552,1.722653,-0.538555,-0.900248,4.833968
0.020000,6.986273,3.118559,0.351783,1.711526,-0.556328,-0.888667,4.850451
0.020000,6.991239,3.084923,0.385784,1.700052,-0.573710,-0.869073,4.867590
0.020000,6.996752,3.051611,0.419549,1.688248,-0.590192,-0.824105,4.885403
0.020000,7.002826,3.018643,0.453071,1.676135,-0.605660,-0.773399,4.903908
0.020000,7.009472,2.986038,0.486346,1.663751,-0.619222,-0.678110,4.923121
0.020000,7.016698,2.953816,0.519369,1.651128,-0.631107,-0.594249,4.943055
0.020000,7.024516,2.921996,0.552136,1.638325,-0.640196,-0.454426,4.963720
0.020000,7.032935,2.890597,0.584643,1.625388,-0.646839,-0.332143,4.985125
0.020000,7.041962,2.859639,0.616891,1.612394,-0.649714,-0.143754,5.007272
0.020000,7.051606,2.829139,0.648880,1.599421,-0.648618,0.054789,5.030160
0.020000,7.061874,2.799115,0.680611,1.586562,-0.642965,0.282664,5.053783
0.020000,7.072771,2.769583,0.712089,1.573922,-0.631990,0.548722,5.078128
0.020000,7.084303,2.740557,0.743321,1.561609,-0.615674,0.815822,5.103177
0.020000,7.096475,2.712053,0.774316,1.549746,-0.593139,1.126737,5.128903
0.020000,7.109292,2.684080,0.805086,1.538466,-0.564015,1.456187,5.155274
0.020000,7.122757,2.656648,0.835644,1.527896,-0.528462,1.777648,5.182248
0.020000,7.136874,2.629766,0.866007,1.518176,-0.486026,2.121832,5.209778
0.020000,7.151647,2.603439,0.896196,1.509436,-0.437008,2.450855,5.237808
0.020000,7.167079,2.577671,0.926232,1.501801,-0.381740,2.763419,5.266273
0.020000,7.183175,2.552463,0.956140,1.495387,-0.320692,3.052386,5.295105
0.020000,7.199937,2.527817,0.985945,1.490293,-0.254677,3.300786,5.324228
0.020000,7.217369,2.503732,1.015677,1.486603,-0.184499,3.508907,5.353562
0.020000,7.235474,2.480204,1.045365,1.484370,-0.111689,3.640466,5.383024
0.020000,7.254256,2.457233,1.075038,1.483635,-0.036712,3.748850,5.412527
0.020000,7.273717,2.434813,1.104726,1.484398,0.038131,3.742163,5.441987
0.020000,7.293860,2.412942,1.134458,1.486645,0.112355,3.711219,5.471319
0.020000,7.314684,2.391617,1.164265,1.490331,0.184282,3.596327,5.500439
0.020000,7.336191,2.370834,1.194173,1.495385,0.252717,3.421761,5.529272
0.020000,7.358378,2.350590,1.224207,1.501721,0.316785,3.203374,5.557742
0.020000,7.381242,2.330883,1.254392,1.509224,0.375166,2.919086,5.585783
0.020000,7.404777,2.311712,1.284747,1.517789,0.428220,2.652677,5.613336
0.020000,7.428977,2.293074,1.315293,1.527269,0.474004,2.289180,5.640346
0.020000,7.453833,2.274968,1.346044,1.537549,0.514001,1.999856,5.666769
0.020000,7.479333,2.257393,1.377014,1.548488,0.546955,1.647712,5.692568
0.020000,7.505464,2.240348,1.408212,1.559940,0.572617,1.283126,5.717711
0.020000,7.532212,2.223832,1.439649,1.571813,0.593670,1.052615,5.742177
0.020000,7.559560,2.207843,1.471328,1.583962,0.607417,0.687349,5.765948
0.020000,7.587491,2.192380,1.503254,1.596284,0.616123,0.435324,5.789015
0.020000,7.615986,2.177439,1.535427,1.608696,0.620576,0.222641,5.811374
0.020000,7.645024,2.163019,1.567849,1.621089,0.619656,-0.045992,5.833024
0.020000,7.674430,2.149187,1.600346,1.624822,0.186668,-21.649432,5.853862
0.020000,7.701492,2.137098,1.629986,1.482002,-7.140998,-366.383286,5.872141
0.020000,7.721130,2.128687,1.651349,1.068158,-20.692229,-677.561516,5.884899
0.020000,7.730862,2.124628,1.661894,0.527236,-27.046098,-317.693464,5.891071
0.020000,7.733262,2.123637,1.664490,0.129826,-19.870476,358.781105,5.892578
0.020000,7.733262,2.123637,1.664490,0.000000,-6.491313,668.958147,5.892578
