dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.651000,0.003333,0.333333,16.666667,833.333333,6.282060
0.020000,0.008893,0.651010,0.016667,1.000000,33.333333,833.333333,0.002250
0.020000,0.035559,0.651160,0.043333,1.666667,33.333333,0.000000,0.008970
0.020000,0.072222,0.651657,0.080000,2.000000,16.666667,-833.333333,0.018145
0.020000,0.112212,0.652581,0.120000,2.000000,0.000000,-833.333333,0.028063
0.020000,0.152190,0.653900,0.160000,2.000000,0.000000,0.000000,0.037882
0.020000,0.192153,0.655610,0.200000,2.000000,0.000000,0.000000,0.047597
0.020000,0.232098,0.657705,0.240000,2.000000,0.000000,0.000000,0.057205
0.020000,0.272021,0.660182,0.280000,2.000000,0.000000,0.000000,0.066702
0.020000,0.311919,0.663036,0.320000,2.000000,0.000000,0.000000,0.076085
0.020000,0.351788,0.666261,0.360000,2.000000,0.000000,0.000000,0.085349
0.020000,0.391627,0.669854,0.400000,2.000000,0.000000,0.000000,0.094491
0.020000,0.431430,0.673808,0.440000,2.000000,0.000000,0.000000,0.103510
0.020000,0.471197,0.678118,0.480000,2.000000,0.000000,0.000000,0.112401
0.020000,0.510925,0.682779,0.520000,2.000000,0.000000,0.000000,0.121162
0.020000,0.550610,0.687785,0.560000,2.000000,0.000000,0.000000,0.129791
0.020000,0.590251,0.693131,0.600000,2.000000,0.000000,0.000000,0.138286
0.020000,0.629846,0.698811,0.640000,2.000000,0.000000,0.000000,0.146644
0.020000,0.669392,0.704819,0.680000,2.000000,0.000000,0.000000,0.154864
0.020000,0.708888,0.711149,0.720000,2.000000,0.000000,0.000000,0.162944
0.020000,0.748332,0.717795,0.760000,2.000000,0.000000,0.000000,0.170882
0.020000,0.787722,0.724751,0.800000,2.000000,0.000000,0.000000,0.178678
0.020000,0.827057,0.732011,0.840000,2.000000,0.000000,0.000000,0.186329
0.020000,0.866337,0.739569,0.880000,2.000000,0.000000,0.000000,0.193836
0.020000,0.905559,0.747419,0.920000,2.000000,0.000000,0.000000,0.201197
0.020000,0.944723,0.755554,0.960000,2.000000,0.000000,0.000000,0.208412
0.020000,0.983827,0.763969,1.000000,2.000000,0.000000,0.000000,0.215479
0.020000,1.022872,0.772658,1.040000,2.000000,0.000000,0.000000,0.222399
0.020000,1.061857,0.781613,1.080000,2.000000,0.000000,0.000000,0.229172
0.020000,1.100781,0.790829,1.120000,2.000000,0.000000,0.000000,0.235796
0.020000,1.139643,0.800300,1.160000,2.000000,0.000000,0.000000,0.242273
0.020000,1.178444,0.810020,1.200000,2.000000,0.000000,0.000000,0.248601
0.020000,1.217184,0.819982,1.240000,2.000000,0.000000,0.000000,0.254781
0.020000,1.255862,0.830181,1.280000,2.000000,0.000000,0.000000,0.260814
0.020000,1.294478,0.840609,1.320000,2.000000,0.000000,0.000000,0.266699
0.020000,1.333033,0.851262,1.360000,2.000000,0.000000,0.000000,0.272437
0.020000,1.371528,0.862134,1.400000,2.000000,0.000000,0.000000,0.278028
0.020000,1.409961,0.873217,1.440000,2.000000,0.000000,0.000000,0.283473
0.020000,1.448335,0.884507,1.480000,2.000000,0.000000,0.000000,0.288772
0.020000,1.486649,0.895997,1.520000,2.000000,0.000000,0.000000,0.293926
0.020000,1.524904,0.907682,1.560000,2.000000,0.000000,0.000000,0.298936
0.020000,1.563101,0.919556,1.600000,2.000000,0.000000,0.000000,0.303801
0.020000,1.601241,0.931612,1.640000,2.000000,0.000000,0.000000,0.308523
0.020000,1.639324,0.943846,1.680000,2.000000,0.000000,0.000000,0.313103
0.020000,1.677352,0.956251,1.720000,2.000000,0.000000,0.000000,0.317540
0.020000,1.715325,0.968823,1.760000,2.000000,0.000000,0.000000,0.321837
0.020000,1.753245,0.981554,1.800000,2.000000,0.000000,0.000000,0.325993
0.020000,1.791112,0.994441,1.840000,2.000000,0.000000,0.000000,0.330010
0.020000,1.828928,1.007477,1.880000,2.000000,0.000000,0.000000,0.333888
0.020000,1.866695,1.020656,1.920000,2.000000,0.000000,0.000000,0.337628
0.020000,1.904412,1.033975,1.960000,2.000000,0.000000,0.000000,0.341231
0.020000,1.942083,1.047426,2.000000,2.000000,0.000000,0.000000,0.344698
0.020000,1.979707,1.061006,2.040000,2.000000,0.000000,0.000000,0.348028
0.020000,2.017287,1.074708,2.080000,2.000000,0.000000,0.000000,0.351224
0.020000,2.054824,1.088528,2.120000,2.000000,0.000000,0.000000,0.354286
0.020000,2.092319,1.102460,2.160000,2.000000,0.000000,0.000000,0.357214
0.020000,2.129774,1.116500,2.200000,2.000000,0.000000,0.000000,0.360010
0.020000,2.167191,1.130641,2.240000,2.000000,0.000000,0.000000,0.362674
