dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000394,0.301000,0.003333,0.333333,16.666667,833.333333,6.282060
0.020000,0.009681,0.301011,0.013408,0.503718,8.519219,-407.372370,0.002250
0.020000,0.038699,0.301174,0.042427,1.450946,47.361399,1942.108966,0.008970
0.020000,0.078573,0.301715,0.082304,1.993880,27.146732,-1010.733340,0.018145
0.020000,0.122032,0.302719,0.125775,2.173554,8.983703,-908.151457,0.028063
0.020000,0.165445,0.304152,0.169212,2.171817,-0.086845,-453.527360,0.037882
0.020000,0.208806,0.306006,0.212612,2.170008,-0.090499,-0.182736,0.047597
0.020000,0.252109,0.308278,0.255974,2.168128,-0.093982,-0.174157,0.057205
0.020000,0.295349,0.310961,0.299298,2.166193,-0.096746,-0.138189,0.066702
0.020000,0.338523,0.314048,0.342582,2.164183,-0.100509,-0.188123,0.076085
0.020000,0.381624,0.317535,0.385824,2.162113,-0.103508,-0.149980,0.085349
0.020000,0.424649,0.321415,0.429024,2.159987,-0.106283,-0.138762,0.094491
0.020000,0.467594,0.325681,0.472180,2.157809,-0.108881,-0.129891,0.103510
0.020000,0.510455,0.330327,0.515292,2.155587,-0.111114,-0.111653,0.112401
0.020000,0.553228,0.335345,0.558358,2.153315,-0.113579,-0.123247,0.121162
0.020000,0.595910,0.340729,0.601378,2.151001,-0.115746,-0.108336,0.129791
0.020000,0.638497,0.346473,0.644351,2.148648,-0.117649,-0.095131,0.138286
0.020000,0.680987,0.352568,0.687276,2.146260,-0.119387,-0.086919,0.146644
0.020000,0.723378,0.359007,0.730153,2.143840,-0.120989,-0.080078,0.154864
0.020000,0.765666,0.365785,0.772981,2.141390,-0.122484,-0.074754,0.162944
0.020000,0.807850,0.372892,0.815759,2.138915,-0.123754,-0.063516,0.170882
0.020000,0.849927,0.380323,0.858488,2.136418,-0.124874,-0.056014,0.178678
0.020000,0.891896,0.388069,0.901166,2.133901,-0.125855,-0.049056,0.186329
0.020000,0.933755,0.396124,0.943793,2.131362,-0.126916,-0.053048,0.193836
0.020000,0.975504,0.404479,0.986369,2.128812,-0.127529,-0.030624,0.201197
0.020000,1.017140,0.413128,1.028894,2.126250,-0.128084,-0.027752,0.208412
0.020000,1.058663,0.422063,1.071368,2.123679,-0.128560,-0.023784,0.215479
0.020000,1.100072,0.431278,1.113790,2.121100,-0.128926,-0.018340,0.222399
0.020000,1.141367,0.440764,1.156160,2.118511,-0.129474,-0.027395,0.229172
0.020000,1.182547,0.450514,1.198478,2.115921,-0.129502,-0.001381,0.235796
0.020000,1.223611,0.460522,1.240745,2.113331,-0.129468,0.001690,0.242273
0.020000,1.264561,0.470780,1.282960,2.110742,-0.129454,0.000723,0.248601
0.020000,1.305396,0.481281,1.325123,2.108155,-0.129361,0.004639,0.254781
0.020000,1.346115,0.492017,1.367234,2.105569,-0.129292,0.003426,0.260814
0.020000,1.386720,0.502983,1.409294,2.102983,-0.129325,-0.001637,0.266699
0.020000,1.427211,0.514171,1.451302,2.100409,-0.128680,0.032233,0.272437
0.020000,1.467589,0.525574,1.493259,2.097843,-0.128325,0.017753,0.278028
0.020000,1.507854,0.537186,1.535165,2.095284,-0.127920,0.020282,0.283473
0.020000,1.548007,0.548999,1.577019,2.092735,-0.127468,0.022562,0.288772
0.020000,1.588049,0.561008,1.618823,2.090195,-0.126992,0.023824,0.293926
0.020000,1.627981,0.573204,1.660576,2.087658,-0.126865,0.006330,0.298936
0.020000,1.667804,0.585583,1.702279,2.085140,-0.125880,0.049270,0.303801
0.020000,1.707519,0.598138,1.743932,2.082634,-0.125289,0.029541,0.308523
0.020000,1.747129,0.610862,1.785535,2.080141,-0.124675,0.030698,0.313103
0.020000,1.786633,0.623749,1.827088,2.077660,-0.124042,0.031661,0.317540
0.020000,1.826034,0.636793,1.868592,2.075192,-0.123393,0.032441,0.321837
0.020000,1.865333,0.649988,1.910046,2.072738,-0.122732,0.033046,0.325993
