dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,3.073400,0.003333,0.333333,16.666667,833.333333,0.000016
0.020000,0.012536,3.073398,0.016667,1.000000,33.333333,833.333333,6.282938
0.020000,0.039203,3.073385,0.043333,1.666667,33.333333,0.000000,6.282453
0.020000,0.075870,3.073348,0.080000,2.000000,16.666667,-833.333333,6.281875
0.020000,0.115870,3.073284,0.120000,2.000000,0.000000,-833.333333,6.281360
0.020000,0.155870,3.073203,0.160000,2.000000,0.000000,0.000000,6.280968
0.020000,0.195869,3.073109,0.200000,2.000000,0.000000,0.000000,6.280698
0.020000,0.235869,3.073006,0.240000,2.000000,0.000000,0.000000,6.280549
0.020000,0.275869,3.072899,0.280000,2.000000,0.000000,0.000000,6.280522
0.020000,0.315869,3.072794,0.320000,2.000000,0.000000,0.000000,6.280617
0.020000,0.355869,3.072695,0.360000,2.000000,0.000000,0.000000,6.280833
0.020000,0.395869,3.072608,0.400000,2.000000,0.000000,0.000000,6.281172
0.020000,0.435869,3.072536,0.440000,2.000000,0.000000,0.000000,6.281632
0.020000,0.475869,3.072485,0.480000,2.000000,0.000000,0.000000,6.282214
0.020000,0.515869,3.072460,0.520000,2.000000,0.000000,0.000000,6.282918
0.020000,0.555869,3.072465,0.560000,2.000000,0.000000,0.000000,0.000559
0.020000,0.595869,3.072506,0.600000,2.000000,0.000000,0.000000,0.001508
0.020000,0.635869,3.072588,0.640000,2.000000,0.000000,0.000000,0.002580
0.020000,0.675868,3.072714,0.680000,2.000000,0.000000,0.000000,0.003774
0.020000,0.715868,3.072891,0.720000,2.000000,0.000000,0.000000,0.005092
0.020000,0.755867,3.073123,0.760000,2.000000,0.000000,0.000000,0.006533
0.020000,0.795866,3.073416,0.800000,2.000000,0.000000,0.000000,0.008097
0.020000,0.835865,3.073773,0.840000,2.000000,0.000000,0.000000,0.009786
0.020000,0.875862,3.074200,0.880000,2.000000,0.000000,0.000000,0.011599
0.020000,0.915859,3.074702,0.920000,2.000000,0.000000,0.000000,0.013537
0.020000,0.955855,3.075285,0.960000,2.000000,0.000000,0.000000,0.015600
0.020000,0.995849,3.075952,1.000000,2.000000,0.000000,0.000000,0.017788
