dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.501776,3.423399,0.003333,0.333333,16.666667,833.333333,6.282576
0.020000,1.516882,3.423352,0.018439,0.755300,21.098315,221.582398,6.277511
0.020000,1.546846,3.423038,0.048406,1.498311,37.150591,802.613831,6.268084
0.020000,1.587519,3.422186,0.089087,2.034079,26.788380,-518.110551,6.256612
0.020000,1.631209,3.420786,0.132799,2.185598,7.575959,-960.621083,6.246006
0.020000,1.674209,3.418993,0.175836,2.151869,-1.686485,-463.122194,6.237327
0.020000,1.716539,3.416900,0.218218,2.119101,-1.638361,2.406202,6.230521
0.020000,1.758217,3.414593,0.259961,2.087104,-1.599875,1.924299,6.225544
0.020000,1.799258,3.412153,0.301074,2.055677,-1.571354,1.426059,6.222362
0.020000,1.839674,3.409658,0.341566,2.024619,-1.552896,0.922915,6.220955
0.020000,1.879471,3.407179,0.381441,1.993724,-1.544744,0.407580,6.221314
0.020000,1.918654,3.404788,0.420697,1.962787,-1.546866,-0.106082,6.223441
0.020000,1.957221,3.402550,0.459329,1.931601,-1.559258,-0.619586,6.227349
0.020000,1.995167,3.400532,0.497328,1.899964,-1.581870,-1.130635,6.233065
0.020000,2.032480,3.398796,0.534681,1.867673,-1.614545,-1.633723,6.240626
0.020000,2.069144,3.397401,0.571372,1.834532,-1.657039,-2.124689,6.250081
0.020000,2.105137,3.396408,0.607379,1.800348,-1.709226,-2.609361,6.261490
0.020000,2.140432,3.395873,0.642678,1.764947,-1.770034,-3.040420,6.274920
0.020000,2.174995,3.395848,0.677241,1.728169,-1.838895,-3.443024,0.007267
0.020000,2.208789,3.396386,0.711039,1.689889,-1.914010,-3.755757,0.024987
0.020000,2.241769,3.397532,0.744039,1.650015,-1.993684,-3.983719,0.044984
0.020000,2.273889,3.399330,0.776210,1.608525,-2.074528,-4.042177,0.067352
0.020000,2.305100,3.401817,0.807519,1.565470,-2.152752,-3.911210,0.092180
0.020000,2.335351,3.405023,0.837940,1.521008,-2.223089,-3.516851,0.119549
0.020000,2.364594,3.408972,0.867448,1.475431,-2.278850,-2.788056,0.149521
0.020000,2.392787,3.413682,0.896032,1.429196,-2.311744,-1.644684,0.182135
0.020000,2.419898,3.419162,0.923691,1.382938,-2.312903,-0.057945,0.217391
0.020000,2.445906,3.425416,0.950441,1.337503,-2.271777,2.056257,0.255243
0.020000,2.470812,3.432446,0.976319,1.293926,-2.178849,4.646399,0.295586
0.020000,2.494634,3.440251,1.001388,1.253416,-2.025502,7.667371,0.338242
0.020000,2.517416,3.448835,1.025733,1.217284,-1.806591,10.945538,0.382963
0.020000,2.539224,3.458209,1.049470,1.186851,-1.521646,14.247271,0.429422
0.020000,2.560142,3.468396,1.072737,1.163322,-1.176453,17.259641,0.477226
0.020000,2.580269,3.479430,1.095690,1.147651,-0.783531,19.646094,0.525925
0.020000,2.599708,3.491360,1.118499,1.140432,-0.360945,21.129308,0.575037
0.020000,2.618561,3.504247,1.141335,1.141802,0.068473,21.470912,0.624070
