dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.501563,3.073400,0.003333,0.333333,16.666667,833.333333,6.282576
0.020000,1.514896,3.073357,0.016667,1.000000,33.333333,833.333333,6.277511
0.020000,1.541561,3.073078,0.043333,1.666667,33.333333,0.000000,6.268084
0.020000,1.578219,3.072309,0.080000,2.000000,16.666667,-833.333333,6.256612
0.020000,1.618199,3.071028,0.120000,2.000000,0.000000,-833.333333,6.246006
0.020000,1.658164,3.069361,0.160000,2.000000,0.000000,0.000000,6.237327
0.020000,1.698115,3.067385,0.200000,2.000000,0.000000,0.000000,6.230521
0.020000,1.738054,3.065174,0.240000,2.000000,0.000000,0.000000,6.225544
0.020000,1.777983,3.062801,0.280000,2.000000,0.000000,0.000000,6.222362
0.020000,1.817907,3.060335,0.320000,2.000000,0.000000,0.000000,6.220955
0.020000,1.857830,3.057849,0.360000,2.000000,0.000000,0.000000,6.221314
0.020000,1.897756,3.055412,0.400000,2.000000,0.000000,0.000000,6.223441
0.020000,1.937688,3.053096,0.440000,2.000000,0.000000,0.000000,6.227349
0.020000,1.977632,3.050972,0.480000,2.000000,0.000000,0.000000,6.233065
0.020000,2.017589,3.049112,0.520000,2.000000,0.000000,0.000000,6.240626
0.020000,2.057560,3.047593,0.560000,2.000000,0.000000,0.000000,6.250081
0.020000,2.097544,3.046491,0.600000,2.000000,0.000000,0.000000,6.261490
0.020000,2.137539,3.045885,0.640000,2.000000,0.000000,0.000000,6.274920
0.020000,2.177539,3.045858,0.680000,2.000000,0.000000,0.000000,0.007267
0.020000,2.217533,3.046495,0.720000,2.000000,0.000000,0.000000,0.024987
0.020000,2.257508,3.047887,0.760000,2.000000,0.000000,0.000000,0.044984
0.020000,2.297445,3.050124,0.800000,2.000000,0.000000,0.000000,0.067352
0.020000,2.337317,3.053303,0.840000,2.000000,0.000000,0.000000,0.092180
0.020000,2.377093,3.057521,0.880000,2.000000,0.000000,0.000000,0.119549
0.020000,2.416731,3.062877,0.920000,2.000000,0.000000,0.000000,0.149521
0.020000,2.456182,3.069471,0.960000,2.000000,0.000000,0.000000,0.182135
0.020000,2.495387,3.077399,1.000000,2.000000,0.000000,0.000000,0.217391
0.020000,2.534275,3.086756,1.040000,2.000000,0.000000,0.000000,0.255243
0.020000,2.572767,3.097625,1.080000,2.000000,0.000000,0.000000,0.295586
0.020000,2.610774,3.110082,1.120000,2.000000,0.000000,0.000000,0.338242
0.020000,2.648201,3.124189,1.160000,2.000000,0.000000,0.000000,0.382963
0.020000,2.684945,3.139987,1.200000,2.000000,0.000000,0.000000,0.429422
0.020000,2.720903,3.157500,1.240000,2.000000,0.000000,0.000000,0.477226
0.020000,2.755973,3.176729,1.280000,2.000000,0.000000,0.000000,0.525925
0.020000,2.790061,3.197650,1.320000,2.000000,0.000000,0.000000,0.575037
0.020000,2.823080,3.220220,1.360000,2.000000,0.000000,0.000000,0.624070
0.020000,2.854960,3.244373,1.400000,2.000000,0.000000,0.000000,0.672552
0.020000,2.885643,3.270029,1.440000,2.000000,0.000000,0.000000,0.720054
0.020000,2.915091,3.297094,1.480000,2.000000,0.000000,0.000000,0.766207
0.020000,2.943282,3.325467,1.520000,2.000000,0.000000,0.000000,0.810713
0.020000,2.970210,3.355041,1.560000,2.000000,0.000000,0.000000,0.853352
0.020000,2.995884,3.385711,1.600000,2.000000,0.000000,0.000000,0.893979
0.020000,3.020324,3.417372,1.640000,2.000000,0.000000,0.000000,0.932510
0.020000,3.043561,3.449928,1.680000,2.000000,0.000000,0.000000,0.968923
0.020000,3.065633,3.483285,1.720000,2.000000,0.000000,0.000000,1.003237
0.020000,3.086582,3.517358,1.760000,2.000000,0.000000,0.000000,1.035507
0.020000,3.106456,3.552070,1.800000,2.000000,0.000000,0.000000,1.065811
0.020000,3.124536,3.585856,1.840000,2.000000,0.000000,0.000000,1.092350
0.020000,3.142511,3.621588,1.880000,2.000000,0.000000,0.000000,1.116676
0.020000,3.159657,3.657726,1.920000,2.000000,0.000000,0.000000,1.138478
0.020000,3.176056,3.694209,1.960000,2.000000,0.000000,0.000000,1.157814
0.020000,3.191792,3.730984,2.000000,2.000000,0.000000,0.000000,1.174747
0.020000,3.206946,3.768002,2.040000,2.000000,0.000000,0.000000,1.189343
0.020000,3.221600,3.805220,2.080000,2.000000,0.000000,0.000000,1.201667
0.020000,3.235837,3.842601,2.120000,2.000000,0.000000,0.000000,1.211778
0.020000,3.249736,3.880108,2.160000,2.000000,0.000000,0.000000,1.219727
0.020000,3.263375,3.917711,2.200000,2.000000,0.000000,0.000000,1.225557
0.020000,3.276835,3.955378,2.240000,2.000000,0.000000,0.000000,1.229300
0.020000,3.290193,3.993082,2.280000,2.000000,0.000000,0.000000,1.230977
0.020000,3.303526,4.030794,2.320000,2.000000,0.000000,0.000000,1.230598
0.020000,3.316913,4.068488,2.360000,2.000000,0.000000,0.000000,1.228160
0.020000,3.330430,4.106135,2.400000,2.000000,0.000000,0.000000,1.223650
0.020000,3.344156,4.143706,2.440000,2.000000,0.000000,0.000000,1.217042
0.020000,3.358170,4.181170,2.480000,2.000000,0.000000,0.000000,1.208300
0.020000,3.372552,4.218495,2.520000,2.000000,0.000000,0.000000,1.197379
0.020000,3.387381,4.255645,2.560000,2.000000,0.000000,0.000000,1.184223
0.020000,3.402740,4.292578,2.600000,2.000000,0.000000,0.000000,1.168772
0.020000,3.418711,4.329251,2.640000,2.000000,0.000000,0.000000,1.150960
0.020000,3.435377,4.365613,2.680000,2.000000,0.000000,0.000000,1.130720
0.020000,3.452820,4.401608,2.720000,2.000000,0.000000,0.000000,1.107993
0.020000,3.471121,4.437175,2.760000,2.000000,0.000000,0.000000,1.082724
0.020000,3.490359,4.472243,2.800000,2.000000,0.000000,0.000000,1.054880
0.020000,3.510612,4.506735,2.840000,2.000000,0.000000,0.000000,1.024450
0.020000,3.531947,4.540568,2.880000,2.000000,0.000000,0.000000,0.991460
0.020000,3.554428,4.573650,2.920000,2.000000,0.000000,0.000000,0.955979
0.020000,3.578107,4.605885,2.960000,2.000000,0.000000,0.000000,0.918128
0.020000,3.603024,4.637174,3.000000,2.000000,0.000000,0.000000,0.878090
0.020000,3.629203,4.667413,3.040000,2.000000,0.000000,0.000000,0.836112
0.020000,3.656652,4.696504,3.080000,2.000000,0.000000,0.000000,0.792504
0.020000,3.685361,4.724352,3.120000,2.000000,0.000000,0.000000,0.747633
0.020000,3.715303,4.750870,3.160000,2.000000,0.000000,0.000000,0.701907
0.020000,3.746432,4.775983,3.200000,2.000000,0.000000,0.000000,0.655764
0.020000,3.778687,4.799634,3.240000,2.000000,0.000000,0.000000,0.609644
0.020000,3.811994,4.821778,3.280000,2.000000,0.000000,0.000000,0.563970
0.020000,3.846269,4.842392,3.320000,2.000000,0.000000,0.000000,0.519129
0.020000,3.881424,4.861469,3.360000,2.000000,0.000000,0.000000,0.475455
0.020000,3.917365,4.879017,3.400000,2.000000,0.000000,0.000000,0.433222
0.020000,3.954003,4.895063,3.440000,2.000000,0.000000,0.000000,0.392638
0.020000,3.991249,4.909642,3.480000,2.000000,0.000000,0.000000,0.353846
0.020000,4.029020,4.922800,3.520000,2.000000,0.000000,0.000000,0.316934
0.020000,4.067240,4.934593,3.560000,2.000000,0.000000,0.000000,0.281938
0.020000,4.103077,4.944554,3.600000,2.000000,0.000000,0.000000,0.262764
0.020000,4.141794,4.954602,3.640000,2.000000,0.000000,0.000000,0.244993
0.020000,4.180686,4.963947,3.680000,2.000000,0.000000,0.000000,0.226501
