dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.501349,2.723400,0.003333,0.333333,16.666667,833.333333,6.282576
0.020000,1.512910,2.723363,0.014894,0.578030,12.234828,-221.591925,6.277511
0.020000,1.536276,2.723118,0.038261,1.168346,29.515792,864.048206,6.268084
0.020000,1.568920,2.722433,0.070912,1.632572,23.211300,-315.224618,6.256612
0.020000,1.605189,2.721270,0.107200,1.814381,9.090442,-706.042911,6.246006
0.020000,1.642119,2.719729,0.144162,1.848120,1.686955,-370.174311,6.237327
0.020000,1.679691,2.717871,0.181780,1.880893,1.638658,-2.414880,6.230521
0.020000,1.717890,2.715756,0.220038,1.912894,1.600040,-1.930901,6.225544
0.020000,1.756708,2.713448,0.258924,1.944322,1.571401,-1.431938,6.222362
0.020000,1.796141,2.711013,0.298432,1.975382,1.552997,-0.920195,6.220955
0.020000,1.836189,2.708519,0.338558,2.006277,1.544776,-0.411066,6.221314
0.020000,1.876857,2.706037,0.379302,2.037214,1.546834,0.102895,6.223441
0.020000,1.918156,2.703641,0.420670,2.068397,1.559157,0.616162,6.227349
0.020000,1.960097,2.701411,0.462670,2.100031,1.581684,1.126327,6.233065
0.020000,2.002698,2.699429,0.505317,2.132317,1.614335,1.632578,6.240626
0.020000,2.045975,2.697785,0.548626,2.165456,1.656915,2.128997,6.250081
0.020000,2.089951,2.696573,0.592619,2.199630,1.708728,2.590637,6.261490
0.020000,2.134647,2.695897,0.637319,2.235024,1.769678,3.047493,6.274920
0.020000,2.180082,2.695867,0.682755,2.271790,1.838303,3.431267,0.007267
0.020000,2.226278,2.696604,0.728956,2.310061,1.913575,3.763622,0.024987
0.020000,2.273248,2.698241,0.775954,2.349918,1.992826,3.962535,0.044984
0.020000,2.321000,2.700918,0.823782,2.391391,2.073678,4.042605,0.067352
0.020000,2.369535,2.704789,0.872471,2.434428,2.151816,3.906892,0.092180
0.020000,2.418836,2.710019,0.922048,2.478867,2.221956,3.507009,0.119549
0.020000,2.468869,2.716782,0.972536,2.524416,2.277453,2.774828,0.149521
0.020000,2.519578,2.725260,1.023949,2.570628,2.310584,1.656570,0.182135
0.020000,2.570876,2.735637,1.076286,2.616852,2.311242,0.032909,0.217391
0.020000,2.622643,2.748095,1.129531,2.662258,2.270274,-2.048422,0.255243
0.020000,2.674722,2.762804,1.183647,2.705801,2.177142,-4.656597,0.295586
