dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.964000,2.680896,0.003333,0.333333,16.666667,833.333333,1.570261
0.020000,6.964043,2.691911,0.014349,0.550773,10.872007,-289.732986,1.563638
0.020000,6.964347,2.713886,0.036325,1.098825,27.402578,826.528530,1.550238
0.020000,6.965246,2.743973,0.066426,1.505050,20.311248,-354.566493,1.531481
0.020000,6.966871,2.776621,0.099114,1.634392,6.467115,-692.206643,1.510590
0.020000,6.969173,2.809076,0.131652,1.626871,-0.376083,-342.159891,1.489270
0.020000,6.972161,2.841333,0.164046,1.619712,-0.357954,0.906466,1.467542
0.020000,6.975839,2.873382,0.196305,1.612978,-0.336697,1.062830,1.445428
0.020000,6.980214,2.905217,0.228440,1.606739,-0.311922,1.238748,1.422958
0.020000,6.985290,2.936834,0.260461,1.601057,-0.284129,1.389647,1.400163
0.020000,6.991072,2.968225,0.292381,1.595990,-0.253325,1.540219,1.377079
0.020000,6.997564,2.999389,0.324213,1.591611,-0.218940,1.719222,1.353744
0.020000,7.004767,3.030320,0.355972,1.587958,-0.182673,1.813355,1.330201
0.020000,7.012685,3.061017,0.387674,1.585093,-0.143262,1.970542,1.306495
0.020000,7.021319,3.091478,0.419335,1.583049,-0.102154,2.055440,1.282671
0.020000,7.030670,3.121702,0.450972,1.581858,-0.059557,2.129843,1.258779
0.020000,7.040740,3.151687,0.482603,1.581546,-0.015621,2.196796,1.234870
0.020000,7.051526,3.181434,0.514246,1.582117,0.028539,2.208014,1.210993
0.020000,7.063030,3.210943,0.545917,1.583573,0.072809,2.213465,1.187199
0.020000,7.075248,3.240213,0.577635,1.585908,0.116751,2.197100,1.163539
0.020000,7.088179,3.269245,0.609417,1.589093,0.159271,2.126006,1.140061
0.020000,7.101819,3.298040,0.641279,1.593103,0.200477,2.060312,1.116812
0.020000,7.116164,3.326598,0.673237,1.597892,0.239438,1.948061,1.093836
0.020000,7.131209,3.354918,0.705305,1.603415,0.276186,1.837380,1.071176
0.020000,7.146947,3.383001,0.737498,1.609615,0.310000,1.690721,1.048870
0.020000,7.163372,3.410846,0.769826,1.616434,0.340927,1.546316,1.026954
0.020000,7.180475,3.438454,0.802302,1.623807,0.368635,1.385438,1.005459
0.020000,7.198247,3.465823,0.834936,1.631669,0.393100,1.223209,0.984413
0.020000,7.216678,3.492954,0.867735,1.639953,0.414229,1.056446,0.963841
0.020000,7.235756,3.519846,0.900707,1.648594,0.432053,0.891244,0.943762
0.020000,7.255470,3.546498,0.933857,1.657530,0.446803,0.737498,0.924194
0.020000,7.275807,3.572909,0.967191,1.666695,0.458240,0.571840,0.905149
0.020000,7.296753,3.599080,1.000712,1.676038,0.467133,0.444618,0.886639
0.020000,7.318294,3.625010,1.034422,1.685497,0.472951,0.290924,0.868668
0.020000,7.340414,3.650699,1.068323,1.695029,0.476593,0.182110,0.851243
0.020000,7.363099,3.676148,1.102414,1.704586,0.477883,0.064501,0.834363
0.020000,7.386333,3.701356,1.136697,1.714127,0.477021,-0.043091,0.818029
0.020000,7.410100,3.726326,1.171169,1.723617,0.474505,-0.125796,0.802236
0.020000,7.434383,3.751058,1.205830,1.733026,0.470455,-0.202529,0.786982
0.020000,7.459166,3.775554,1.240676,1.742326,0.465004,-0.272545,0.772258
0.020000,7.484434,3.799817,1.275706,1.751495,0.458427,-0.328832,0.758059
0.020000,7.510169,3.823847,1.310916,1.760512,0.450889,-0.376900,0.744375
0.020000,7.536355,3.847649,1.346304,1.769361,0.442441,-0.422405,0.731196
0.020000,7.562977,3.871226,1.381864,1.778036,0.433717,-0.436199,0.718513
0.020000,7.590018,3.894580,1.417595,1.786523,0.424351,-0.468294,0.706315
0.020000,7.617463,3.917717,1.453491,1.794810,0.414355,-0.499806,0.694590
0.020000,7.645298,3.940639,1.489549,1.802904,0.404716,-0.481941,0.683328
0.020000,7.673506,3.963351,1.525765,1.810792,0.394411,-0.515268,0.672517
0.020000,7.702075,3.985859,1.562134,1.818479,0.384316,-0.504771,0.662145
0.020000,7.730989,4.008167,1.598654,1.825965,0.374305,-0.500559,0.652200
0.020000,7.759105,4.029434,1.633907,1.762679,-3.164294,-176.929951,0.643031
0.020000,7.782764,4.047024,1.663389,1.474064,-14.430718,-563.321167,0.635675
0.020000,7.798012,4.058221,1.682306,0.945894,-26.408532,-598.890723,0.631101
0.020000,7.804518,4.062966,1.690359,0.402639,-27.162715,-37.709155,0.629188
0.020000,7.805860,4.063942,1.692019,0.082964,-15.983753,558.948120,0.628796
0.020000,7.805860,4.063942,1.692019,0.000000,-4.148218,591.776728,0.628796
