dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.380933,1.527035,0.003333,0.333333,16.666667,833.333333,2.465302
0.020000,7.377445,1.529822,0.007798,0.223239,-5.504708,-1108.568731,2.467813
0.020000,7.357954,1.545304,0.032690,1.244598,51.067958,2828.633281,2.472880
0.020000,7.331052,1.566407,0.066881,1.709558,23.247976,-1390.999079,2.479951
0.020000,7.301571,1.589180,0.104133,1.862609,7.652550,-779.771312,2.487805
0.020000,7.271954,1.611686,0.141332,1.859936,-0.133647,-389.309852,2.495809
0.020000,7.242200,1.633919,0.178475,1.857153,-0.139131,-0.274211,2.503964
0.020000,7.212303,1.655877,0.215569,1.854681,-0.123609,0.776142,2.512274
0.020000,7.182270,1.677550,0.252605,1.851821,-0.143009,-0.970013,2.520742
0.020000,7.152100,1.698932,0.289584,1.848949,-0.143600,-0.029562,2.529369
0.020000,7.121791,1.720019,0.326507,1.846152,-0.139859,0.187061,2.538158
0.020000,7.091341,1.740804,0.363374,1.843352,-0.139969,-0.005506,2.547113
0.020000,7.060755,1.761281,0.400182,1.840386,-0.148338,-0.418437,2.556235
0.020000,7.030031,1.781442,0.436930,1.837397,-0.149442,-0.055197,2.565526
0.020000,6.999171,1.801281,0.473618,1.834384,-0.150640,-0.059933,2.574988
0.020000,6.968174,1.820793,0.510245,1.831346,-0.151910,-0.063495,2.584625
0.020000,6.937040,1.839970,0.546810,1.828281,-0.153226,-0.065776,2.594436
0.020000,6.905772,1.858806,0.583314,1.825190,-0.154559,-0.066671,2.604425
0.020000,6.874369,1.877295,0.619755,1.822072,-0.155881,-0.066079,2.614592
0.020000,6.842832,1.895429,0.656134,1.818929,-0.157159,-0.063901,2.624939
0.020000,6.811163,1.913201,0.692449,1.815762,-0.158360,-0.060047,2.635466
0.020000,6.779363,1.930606,0.728701,1.812573,-0.159448,-0.054435,2.646175
0.020000,6.747434,1.947637,0.764888,1.809365,-0.160388,-0.046992,2.657066
0.020000,6.715376,1.964286,0.801011,1.806151,-0.160717,-0.016453,2.668138
0.020000,6.683189,1.980548,0.837073,1.803100,-0.152535,0.409126,2.679393
0.020000,6.650878,1.996416,0.873071,1.799878,-0.161101,-0.428298,2.690830
0.020000,6.618444,2.011883,0.909004,1.796655,-0.161158,-0.002888,2.702446
0.020000,6.585887,2.026943,0.944875,1.793569,-0.154286,0.343614,2.714241
0.020000,6.553209,2.041590,0.980685,1.790498,-0.153567,0.035971,2.726214
0.020000,6.520416,2.055817,1.016432,1.787324,-0.158683,-0.255815,2.738362
0.020000,6.487504,2.069619,1.052121,1.784456,-0.143440,0.762156,2.750682
0.020000,6.454480,2.082989,1.087748,1.781376,-0.153958,-0.525884,2.763171
0.020000,6.421343,2.095922,1.123320,1.778574,-0.140118,0.691996,2.775826
0.020000,6.388098,2.108411,1.158833,1.775652,-0.146128,-0.300529,2.788641
0.020000,6.354745,2.120453,1.194293,1.773031,-0.131041,0.754347,2.801614
0.020000,6.321289,2.132041,1.229699,1.770289,-0.137075,-0.301664,2.814737
0.020000,6.287730,2.143171,1.265055,1.767810,-0.123956,0.655926,2.828005
0.020000,6.254073,2.153838,1.300363,1.765382,-0.121411,0.127270,2.841412
0.020000,6.220319,2.164036,1.335624,1.763030,-0.117615,0.189773,2.854950
0.020000,6.186471,2.173763,1.370841,1.760895,-0.106744,0.543565,2.868612
0.020000,6.152531,2.183014,1.406019,1.758897,-0.099909,0.341737,2.882390
0.020000,6.118503,2.191785,1.441159,1.756997,-0.094976,0.246654,2.896275
0.020000,6.084390,2.200072,1.476265,1.755270,-0.086338,0.431922,2.910258
0.020000,6.050195,2.207874,1.511339,1.753722,-0.077396,0.447096,2.924328
0.020000,6.015918,2.215187,1.546387,1.752381,-0.067062,0.516680,2.938477
0.020000,5.981565,2.222008,1.581411,1.751224,-0.057870,0.459591,2.952693
0.020000,5.947137,2.228336,1.616416,1.750235,-0.049456,0.420710,2.966964
0.020000,5.912637,2.234168,1.651405,1.749448,-0.039319,0.506874,2.981281
0.020000,5.878069,2.239504,1.686382,1.748869,-0.028963,0.517778,2.995630
0.020000,5.843435,2.244342,1.721352,1.748501,-0.018421,0.527119,3.010001
0.020000,5.808739,2.248680,1.756319,1.748346,-0.007727,0.534686,3.024380
0.020000,5.773982,2.252520,1.791287,1.748408,0.003079,0.540292,3.038755
0.020000,5.739168,2.255860,1.826261,1.748687,0.013955,0.543782,3.053115
0.020000,5.704300,2.258702,1.861245,1.749184,0.024855,0.545033,3.067446
0.020000,5.669381,2.261045,1.896243,1.749898,0.035734,0.543954,3.081736
0.020000,5.634413,2.262890,1.931259,1.750829,0.046544,0.540496,3.095973
0.020000,5.599399,2.264240,1.966299,1.751991,0.058092,0.577398,3.110144
0.020000,5.564342,2.265095,2.001366,1.753348,0.067829,0.486831,3.124238
0.020000,5.529246,2.265458,2.036464,1.754908,0.077991,0.508093,3.138243
0.020000,5.494113,2.265331,2.071598,1.756668,0.088028,0.501844,3.152146
0.020000,5.458946,2.264717,2.106770,1.758624,0.097772,0.487204,3.165938
0.020000,5.423748,2.263619,2.141985,1.760767,0.107184,0.470598,3.179607
0.020000,5.388521,2.262040,2.177247,1.763093,0.116268,0.454198,3.193144
0.020000,5.353269,2.259984,2.212559,1.765603,0.125510,0.462122,3.206537
0.020000,5.317994,2.257454,2.247925,1.768261,0.132888,0.368882,3.219779
0.020000,5.282700,2.254456,2.283346,1.771074,0.140651,0.388148,3.232859
0.020000,5.247389,2.250994,2.318827,1.774032,0.147946,0.364758,3.245771
0.020000,5.212063,2.247072,2.354369,1.777128,0.154758,0.340621,3.258506
0.020000,5.176726,2.242696,2.389976,1.780352,0.161225,0.323325,3.271056
0.020000,5.141380,2.237872,2.425650,1.783687,0.166741,0.275820,3.283416
0.020000,5.106028,2.232604,2.461393,1.787128,0.172027,0.264282,3.295580
0.020000,5.070672,2.226899,2.497206,1.790665,0.176858,0.241542,3.307541
0.020000,5.035315,2.220762,2.533092,1.794289,0.181196,0.216902,3.319295
0.020000,4.999959,2.214201,2.569051,1.797984,0.184776,0.179005,3.330838
0.020000,4.964606,2.207221,2.605086,1.801749,0.188262,0.174326,3.342166
0.020000,4.929259,2.199829,2.641198,1.805574,0.191218,0.147769,3.353276
0.020000,4.893920,2.192032,2.677387,1.809448,0.193715,0.124861,3.364164
0.020000,4.858591,2.183838,2.713654,1.813364,0.195789,0.103699,3.374828
0.020000,4.823273,2.175252,2.750000,1.817304,0.196988,0.059934,3.385268
0.020000,4.787970,2.166282,2.786426,1.821274,0.198542,0.077725,3.395480
0.020000,4.752681,2.156936,2.822931,1.825266,0.199604,0.053077,3.405464
0.020000,4.717409,2.147221,2.859516,1.829271,0.200210,0.030300,3.415220
0.020000,4.682155,2.137144,2.896182,1.833281,0.200500,0.014545,3.424746
0.020000,4.646921,2.126714,2.932928,1.837291,0.200499,-0.000057,3.434044
0.020000,4.611708,2.115936,2.969753,1.841283,0.199625,-0.043707,3.443113
0.020000,4.576516,2.104820,3.006659,1.845275,0.199600,-0.001275,3.451953
0.020000,4.541347,2.093372,3.043644,1.849254,0.198966,-0.031682,3.460567
0.020000,4.506202,2.081601,3.080708,1.853215,0.198034,-0.046623,3.468954
0.020000,4.471081,2.069514,3.117851,1.857153,0.196918,-0.055758,3.477117
0.020000,4.435984,2.057118,3.155073,1.861066,0.195641,-0.063892,3.485056
0.020000,4.400912,2.044421,3.192372,1.864951,0.194219,-0.071068,3.492773
0.020000,4.365866,2.031432,3.229748,1.868804,0.192673,-0.077334,3.500270
0.020000,4.330845,2.018156,3.267200,1.872620,0.190774,-0.094911,3.507548
0.020000,4.295850,2.004603,3.304728,1.876401,0.189057,-0.085849,3.514611
0.020000,4.260881,1.990779,3.342331,1.880151,0.187490,-0.078376,3.521459
0.020000,4.225936,1.976692,3.380008,1.883863,0.185608,-0.094100,3.528095
0.020000,4.191016,1.962348,3.417759,1.887536,0.183676,-0.096601,3.534521
0.020000,4.156121,1.947757,3.455583,1.891170,0.181706,-0.098487,3.540740
0.020000,4.121249,1.932924,3.493478,1.894765,0.179710,-0.099804,3.546753
0.020000,4.086400,1.917857,3.531444,1.898319,0.177698,-0.100598,3.552563
0.020000,4.051574,1.902563,3.569481,1.901832,0.175680,-0.100910,3.558173
0.020000,4.016769,1.887049,3.607587,1.905305,0.173664,-0.100783,3.563584
0.020000,3.981984,1.871322,3.645762,1.908739,0.171659,-0.100254,3.568798
0.020000,3.947219,1.855389,3.684004,1.912132,0.169672,-0.099361,3.573819
0.020000,3.912471,1.839257,3.722314,1.915486,0.167709,-0.098136,3.578649
0.020000,3.877740,1.822932,3.760690,1.918802,0.165777,-0.096612,3.583288
