dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.943712,0.286832,0.003333,0.333333,16.666667,833.333333,2.678701
0.020000,4.934995,0.291159,0.013065,0.486591,7.662883,-450.189207,2.682338
0.020000,4.913340,0.301770,0.037180,1.205740,35.957470,1414.729365,2.689630
0.020000,4.883452,0.316095,0.070324,1.657197,22.572834,-669.231782,2.699694
0.020000,4.850697,0.331370,0.106465,1.807067,7.493488,-753.967291,2.710719
0.020000,4.817790,0.346278,0.142592,1.806332,-0.036724,-376.510600,2.721785
0.020000,4.784730,0.360814,0.178706,1.805702,-0.031539,0.259252,2.732887
0.020000,4.751521,0.374978,0.214809,1.805178,-0.026184,0.267751,2.744018
0.020000,4.718163,0.388768,0.250906,1.804806,-0.018576,0.380355,2.755172
0.020000,4.684659,0.402182,0.286996,1.804507,-0.014977,0.179950,2.766343
0.020000,4.651010,0.415220,0.323082,1.804322,-0.009226,0.287592,2.777523
0.020000,4.617218,0.427881,0.359168,1.804299,-0.001173,0.402619,2.788706
0.020000,4.583285,0.440164,0.395255,1.804357,0.002919,0.204637,2.799885
0.020000,4.549214,0.452067,0.431346,1.804552,0.009722,0.340147,2.811053
0.020000,4.515005,0.463592,0.467444,1.804878,0.016319,0.329818,2.822202
0.020000,4.480663,0.474738,0.503550,1.805310,0.021595,0.263834,2.833326
0.020000,4.446187,0.485506,0.539668,1.805890,0.028992,0.369823,2.844418
0.020000,4.411581,0.495895,0.575799,1.806572,0.034099,0.255354,2.855470
0.020000,4.376848,0.505906,0.611947,1.807393,0.041042,0.347145,2.866476
0.020000,4.341988,0.515540,0.648114,1.808331,0.046906,0.293190,2.877428
0.020000,4.307004,0.524798,0.684301,1.809381,0.052534,0.281396,2.888319
0.020000,4.271899,0.533681,0.720513,1.810576,0.059713,0.358987,2.899144
0.020000,4.236676,0.542192,0.756750,1.811862,0.064307,0.229682,2.909894
0.020000,4.201335,0.550331,0.793016,1.813275,0.070637,0.316491,2.920563
0.020000,4.165881,0.558100,0.829312,1.814806,0.076595,0.297933,2.931145
0.020000,4.130314,0.565503,0.865640,1.816434,0.081400,0.240243,2.941634
0.020000,4.094638,0.572540,0.902004,1.818172,0.086892,0.274574,2.952023
0.020000,4.058855,0.579215,0.938404,1.820026,0.092700,0.290434,2.962307
0.020000,4.022967,0.585530,0.974844,1.821965,0.096952,0.212582,2.972480
0.020000,3.986977,0.591489,1.011324,1.824001,0.101793,0.242062,2.982537
0.020000,3.950887,0.597094,1.047846,1.826131,0.106496,0.235121,2.992472
0.020000,3.914699,0.602349,1.084414,1.828354,0.111166,0.233524,3.002280
0.020000,3.878417,0.607257,1.121027,1.830653,0.114921,0.187760,3.011956
0.020000,3.842041,0.611822,1.157687,1.833031,0.118895,0.198663,3.021497
0.020000,3.805576,0.616048,1.194397,1.835484,0.122641,0.187338,3.030897
0.020000,3.769022,0.619940,1.231157,1.838009,0.126252,0.180509,3.040153
0.020000,3.732383,0.623500,1.267969,1.840600,0.129554,0.165136,3.049262
0.020000,3.695660,0.626734,1.304834,1.843249,0.132469,0.145754,3.058219
0.020000,3.658856,0.629646,1.341753,1.845956,0.135325,0.142801,3.067021
0.020000,3.621973,0.632241,1.378727,1.848715,0.137963,0.131898,3.075665
0.020000,3.585013,0.634523,1.415758,1.851523,0.140388,0.121221,3.084149
0.020000,3.547978,0.636498,1.452845,1.854376,0.142655,0.113350,3.092470
0.020000,3.510870,0.638170,1.489991,1.857268,0.144609,0.097697,3.100626
0.020000,3.473691,0.639545,1.527195,1.860196,0.146402,0.089675,3.108615
0.020000,3.436444,0.640627,1.564458,1.863157,0.148035,0.081628,3.116434
0.020000,3.399130,0.641423,1.601781,1.866146,0.149486,0.072539,3.124082
0.020000,3.361750,0.641937,1.639164,1.869162,0.150762,0.063843,3.131559
0.020000,3.324307,0.642175,1.676608,1.872199,0.151866,0.055170,3.138861
0.020000,3.286802,0.642143,1.714113,1.875255,0.152800,0.046686,3.145989
0.020000,3.249236,0.641847,1.751680,1.878327,0.153610,0.040500,3.152942
0.020000,3.211612,0.641292,1.789308,1.881413,0.154276,0.033321,3.159718
0.020000,3.173931,0.640484,1.826998,1.884509,0.154811,0.026725,3.166317
0.020000,3.136193,0.639429,1.864750,1.887613,0.155222,0.020561,3.172739
0.020000,3.098401,0.638133,1.902565,1.890723,0.155500,0.013923,3.178984
0.020000,3.060555,0.636601,1.940441,1.893836,0.155636,0.006809,3.185050
0.020000,3.022657,0.634841,1.978381,1.896952,0.155786,0.007485,3.190938
0.020000,2.984707,0.632858,2.016382,1.900068,0.155791,0.000222,3.196648
0.020000,2.946707,0.630657,2.054445,1.903182,0.155713,-0.003874,3.202181
0.020000,2.908658,0.628246,2.092571,1.906293,0.155561,-0.007583,3.207535
0.020000,2.870559,0.625631,2.130759,1.909399,0.155280,-0.014054,3.212712
0.020000,2.832413,0.622817,2.169009,1.912499,0.154997,-0.014149,3.217712
0.020000,2.794219,0.619811,2.207321,1.915593,0.154728,-0.013477,3.222535
0.020000,2.755979,0.616618,2.245695,1.918680,0.154354,-0.018709,3.227182
0.020000,2.717692,0.613247,2.284130,1.921759,0.153940,-0.020685,3.231653
0.020000,2.679359,0.609701,2.322627,1.924828,0.153447,-0.024623,3.235949
0.020000,2.640980,0.605989,2.361184,1.927886,0.152917,-0.026535,3.240069
0.020000,2.602556,0.602116,2.399803,1.930937,0.152521,-0.019793,3.244016
0.020000,2.564087,0.598088,2.438483,1.933977,0.152009,-0.025584,3.247788
0.020000,2.525573,0.593912,2.477223,1.937007,0.151486,-0.026185,3.251388
0.020000,2.487013,0.589593,2.516023,1.940024,0.150873,-0.030648,3.254815
0.020000,2.448409,0.585139,2.554884,1.943031,0.150357,-0.025758,3.258070
0.020000,2.409759,0.580556,2.593804,1.946029,0.149895,-0.023143,3.261154
0.020000,2.371064,0.575850,2.632785,1.949017,0.149369,-0.026298,3.264068
0.020000,2.332323,0.571027,2.671825,1.951993,0.148836,-0.026645,3.266811
0.020000,2.293536,0.566093,2.710924,1.954958,0.148228,-0.030387,3.269385
0.020000,2.254703,0.561055,2.750082,1.957915,0.147867,-0.018040,3.271789
0.020000,2.215824,0.555920,2.789299,1.960863,0.147396,-0.023549,3.274026
0.020000,2.176897,0.550693,2.828575,1.963802,0.146946,-0.022527,3.276094
0.020000,2.137923,0.545380,2.867910,1.966730,0.146419,-0.026315,3.277995
0.020000,2.098901,0.539989,2.907303,1.969653,0.146121,-0.014898,3.279730
0.020000,2.059829,0.534526,2.946754,1.972568,0.145759,-0.018133,3.281297
