dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.256288,0.913168,0.003333,0.333333,16.666667,833.333333,2.678701
0.020000,5.245291,0.918627,0.015611,0.613875,14.027073,-131.979705,2.682338
0.020000,5.219052,0.931484,0.044830,1.460954,42.353956,1416.344181,2.689630
0.020000,5.182811,0.948853,0.085019,2.009439,27.424235,-746.486063,2.699694
0.020000,5.143063,0.967391,0.128877,2.192924,9.174272,-912.498172,2.710719
0.020000,5.103099,0.985495,0.172750,2.193649,0.036248,-456.901169,2.721785
0.020000,5.062926,1.003159,0.216635,2.194264,0.030767,-0.274043,2.732887
0.020000,5.022550,1.020380,0.260531,2.194767,0.025133,-0.281726,2.744018
0.020000,4.981976,1.037153,0.304435,2.195205,0.021908,-0.161249,2.755172
0.020000,4.941212,1.053474,0.348344,2.195475,0.013511,-0.419850,2.766343
0.020000,4.900266,1.069339,0.392257,2.195625,0.007468,-0.302122,2.777523
0.020000,4.859143,1.084746,0.436171,2.195705,0.004000,-0.173410,2.788706
0.020000,4.817853,1.099692,0.480083,2.195615,-0.004474,-0.423698,2.799885
0.020000,4.776401,1.114175,0.523992,2.195419,-0.009797,-0.266145,2.811053
0.020000,4.734797,1.128191,0.567894,2.195110,-0.015477,-0.284023,2.822202
0.020000,4.693048,1.141741,0.611787,2.194653,-0.022826,-0.367446,2.833326
0.020000,4.651161,1.154823,0.655669,2.194101,-0.027619,-0.239640,2.844418
0.020000,4.609146,1.167436,0.699537,2.193397,-0.035172,-0.377675,2.855470
0.020000,4.567009,1.179581,0.743389,2.192589,-0.040432,-0.262959,2.866476
0.020000,4.524760,1.191257,0.787222,2.191651,-0.046895,-0.323191,2.877428
0.020000,4.482406,1.202466,0.831033,2.190581,-0.053497,-0.330068,2.888319
0.020000,4.439956,1.213208,0.874822,2.189420,-0.058034,-0.226865,2.899144
0.020000,4.397418,1.223486,0.918584,2.188111,-0.065476,-0.372093,2.909894
0.020000,4.354799,1.233301,0.962318,2.186700,-0.070557,-0.254063,2.920563
0.020000,4.312109,1.242657,1.006022,2.185184,-0.075795,-0.261909,2.931145
0.020000,4.269354,1.251555,1.049692,2.183542,-0.082097,-0.315091,2.941634
0.020000,4.226543,1.260000,1.093328,2.181797,-0.087217,-0.255972,2.952023
0.020000,4.183683,1.267995,1.136928,2.179966,-0.091578,-0.218087,2.962307
0.020000,4.140782,1.275544,1.180488,2.178018,-0.097403,-0.291247,2.972480
0.020000,4.097847,1.282653,1.224008,2.175976,-0.102096,-0.234648,2.982537
0.020000,4.054885,1.289325,1.267484,2.173846,-0.106515,-0.220956,2.992472
0.020000,4.011903,1.295567,1.310917,2.171635,-0.110520,-0.200242,3.002280
0.020000,3.968908,1.301383,1.354304,2.169332,-0.115147,-0.231359,3.011956
0.020000,3.925906,1.306780,1.397643,2.166951,-0.119040,-0.194644,3.021497
0.020000,3.882904,1.311764,1.440933,2.164497,-0.122723,-0.184125,3.030897
0.020000,3.839908,1.316341,1.484172,2.161975,-0.126086,-0.168172,3.040153
0.020000,3.796923,1.320518,1.527360,2.159389,-0.129332,-0.162276,3.049262
0.020000,3.753954,1.324303,1.570495,2.156738,-0.132554,-0.161104,3.058219
0.020000,3.711008,1.327701,1.613575,2.154030,-0.135371,-0.140875,3.067021
0.020000,3.668088,1.330720,1.656601,2.151271,-0.137978,-0.130336,3.075665
0.020000,3.625201,1.333369,1.699570,2.148463,-0.140377,-0.119957,3.084149
0.020000,3.582349,1.335653,1.742482,2.145613,-0.142514,-0.106848,3.092470
0.020000,3.539538,1.337583,1.785337,2.142721,-0.144581,-0.103338,3.100626
0.020000,3.496772,1.339164,1.828133,2.139793,-0.146414,-0.091629,3.108615
0.020000,3.454053,1.340405,1.870869,2.136832,-0.148028,-0.080699,3.116434
0.020000,3.411386,1.341315,1.913546,2.133843,-0.149463,-0.071754,3.124082
0.020000,3.368774,1.341902,1.956163,2.130828,-0.150726,-0.063176,3.131559
0.020000,3.326219,1.342173,1.998719,2.127792,-0.151834,-0.055417,3.138861
0.020000,3.283724,1.342137,2.041213,2.124736,-0.152801,-0.048312,3.145989
0.020000,3.241292,1.341802,2.083647,2.121664,-0.153591,-0.039495,3.152942
0.020000,3.198925,1.341177,2.126018,2.118579,-0.154245,-0.032720,3.159718
0.020000,3.156625,1.340270,2.168328,2.115484,-0.154769,-0.026195,3.166317
0.020000,3.114394,1.339089,2.210575,2.112380,-0.155171,-0.020095,3.172739
0.020000,3.072233,1.337643,2.252761,2.109271,-0.155479,-0.015423,3.178984
0.020000,3.030145,1.335940,2.294884,2.106156,-0.155722,-0.012153,3.185050
0.020000,2.988129,1.333989,2.336945,2.103041,-0.155744,-0.001103,3.190938
0.020000,2.946188,1.331797,2.378943,2.099927,-0.155740,0.000233,3.196648
0.020000,2.904322,1.329373,2.420880,2.096813,-0.155654,0.004267,3.202181
0.020000,2.862531,1.326725,2.462754,2.093704,-0.155496,0.007914,3.207535
0.020000,2.820818,1.323861,2.504566,2.090597,-0.155341,0.007757,3.212712
0.020000,2.779181,1.320790,2.546315,2.087495,-0.155064,0.013846,3.217712
0.020000,2.737621,1.317519,2.588003,2.084402,-0.154664,0.019991,3.222535
0.020000,2.696139,1.314056,2.629630,2.081316,-0.154284,0.018988,3.227182
0.020000,2.654735,1.310410,2.671195,2.078239,-0.153867,0.020886,3.231653
0.020000,2.613408,1.306588,2.712698,2.075170,-0.153466,0.020036,3.235949
0.020000,2.572158,1.302598,2.754140,2.072109,-0.153050,0.020795,3.240069
0.020000,2.530986,1.298447,2.795521,2.069060,-0.152445,0.030248,3.244016
0.020000,2.489890,1.294144,2.836842,2.066021,-0.151932,0.025665,3.247788
0.020000,2.448870,1.289697,2.878102,2.062993,-0.151408,0.026171,3.251388
0.020000,2.407927,1.285111,2.919301,2.059974,-0.150966,0.022102,3.254815
0.020000,2.367059,1.280396,2.960440,2.056965,-0.150416,0.027533,3.258070
0.020000,2.326265,1.275559,3.001520,2.053969,-0.149814,0.030066,3.261154
0.020000,2.285545,1.270606,3.042539,2.050983,-0.149292,0.026102,3.264068
0.020000,2.244899,1.265546,3.083500,2.048007,-0.148797,0.024767,3.266811
0.020000,2.204325,1.260385,3.124400,2.045039,-0.148406,0.019557,3.269385
0.020000,2.163823,1.255131,3.165242,2.042083,-0.147789,0.030855,3.271789
0.020000,2.123391,1.249790,3.206025,2.039137,-0.147326,0.023141,3.274026
0.020000,2.083030,1.244370,3.246749,2.036199,-0.146886,0.022022,3.276094
0.020000,2.042737,1.238878,3.287414,2.033268,-0.146572,0.015693,3.277995
0.020000,2.002512,1.233321,3.328021,2.030346,-0.146074,0.024867,3.279730
0.020000,1.962354,1.227706,3.368570,2.027432,-0.145701,0.018649,3.281297
0.020000,1.922262,1.222039,3.409060,2.024525,-0.145371,0.016542,3.282698
0.020000,1.882235,1.216327,3.449493,2.021622,-0.145137,0.011671,3.283934
0.020000,1.842272,1.210578,3.489867,2.018726,-0.144797,0.016994,3.285004
0.020000,1.802372,1.204797,3.530184,2.015835,-0.144553,0.012195,3.285909
0.020000,1.762534,1.198992,3.570443,2.012948,-0.144357,0.009800,3.286649
0.020000,1.722756,1.193169,3.610644,2.010063,-0.144228,0.006457,3.287224
0.020000,1.683039,1.187335,3.650788,2.007182,-0.144056,0.008617,3.287634
0.020000,1.643380,1.181496,3.690874,2.004303,-0.143966,0.004471,3.287880
0.020000,1.603780,1.175659,3.730902,2.001425,-0.143919,0.002380,3.287962
0.020000,1.564236,1.169830,3.770873,1.998547,-0.143897,0.001078,3.287879
0.020000,1.524748,1.164017,3.810787,1.995668,-0.143914,-0.000845,3.287631
0.020000,1.485316,1.158224,3.850642,1.992789,-0.143980,-0.003313,3.287219
0.020000,1.445937,1.152460,3.890441,1.989907,-0.144079,-0.004933,3.286642
0.020000,1.406612,1.146730,3.930181,1.987024,-0.144173,-0.004698,3.285901
0.020000,1.367339,1.141040,3.969864,1.984136,-0.144380,-0.010358,3.284994
0.020000,1.328118,1.135398,4.009489,1.981244,-0.144593,-0.010661,3.283922
0.020000,1.288948,1.129809,4.049056,1.978348,-0.144827,-0.011680,3.282685
0.020000,1.249828,1.124280,4.088565,1.975447,-0.145041,-0.010680,3.281282
0.020000,1.210757,1.118817,4.128015,1.972539,-0.145417,-0.018833,3.279713
0.020000,1.171735,1.113427,4.167408,1.969623,-0.145762,-0.017256,3.277977
0.020000,1.132761,1.108116,4.206742,1.966701,-0.146122,-0.017994,3.276074
