dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.699081,2.199168,0.003333,0.333333,16.666667,833.333333,3.877791
0.020000,7.689237,2.190175,0.016667,1.000000,33.333333,833.333333,3.885897
0.020000,7.669767,2.171953,0.043333,1.666667,33.333333,0.000000,3.901814
0.020000,7.643467,2.146405,0.080000,2.000000,16.666667,-833.333333,3.923027
0.020000,7.615388,2.117918,0.120000,2.000000,0.000000,-833.333333,3.945228
0.020000,7.587934,2.088828,0.160000,2.000000,0.000000,0.000000,3.966397
0.020000,7.561086,2.059178,0.200000,2.000000,0.000000,0.000000,3.986492
0.020000,7.534822,2.029010,0.240000,2.000000,0.000000,0.000000,4.005479
0.020000,7.509118,1.998362,0.280000,2.000000,0.000000,0.000000,4.023333
0.020000,7.483948,1.967275,0.320000,2.000000,0.000000,0.000000,4.040036
0.020000,7.459282,1.935786,0.360000,2.000000,0.000000,0.000000,4.055578
0.020000,7.435090,1.903931,0.400000,2.000000,0.000000,0.000000,4.069951
0.020000,7.411339,1.871746,0.440000,2.000000,0.000000,0.000000,4.083155
0.020000,7.387996,1.839264,0.480000,2.000000,0.000000,0.000000,4.095193
0.020000,7.365027,1.806516,0.520000,2.000000,0.000000,0.000000,4.106068
0.020000,7.342397,1.773534,0.560000,2.000000,0.000000,0.000000,4.115787
0.020000,7.320069,1.740346,0.600000,2.000000,0.000000,0.000000,4.124358
0.020000,7.298007,1.706980,0.640000,2.000000,0.000000,0.000000,4.131789
0.020000,7.276174,1.673464,0.680000,2.000000,0.000000,0.000000,4.138088
0.020000,7.254534,1.639823,0.720000,2.000000,0.000000,0.000000,4.143263
0.020000,7.233050,1.606082,0.760000,2.000000,0.000000,0.000000,4.147320
0.020000,7.211684,1.572267,0.800000,2.000000,0.000000,0.000000,4.150265
0.020000,7.190399,1.538400,0.840000,2.000000,0.000000,0.000000,4.152102
0.020000,7.169157,1.504506,0.880000,2.000000,0.000000,0.000000,4.152834
0.020000,7.147922,1.470609,0.920000,2.000000,0.000000,0.000000,4.152463
0.020000,7.126655,1.436731,0.960000,2.000000,0.000000,0.000000,4.150986
0.020000,7.105319,1.402896,1.000000,2.000000,0.000000,0.000000,4.148403
0.020000,7.083878,1.369128,1.040000,2.000000,0.000000,0.000000,4.144710
0.020000,7.062293,1.335452,1.080000,2.000000,0.000000,0.000000,4.139901
0.020000,7.040527,1.301892,1.120000,2.000000,0.000000,0.000000,4.133970
0.020000,7.018544,1.268474,1.160000,2.000000,0.000000,0.000000,4.126909
0.020000,6.996307,1.235225,1.200000,2.000000,0.000000,0.000000,4.118711
0.020000,6.973779,1.202173,1.240000,2.000000,0.000000,0.000000,4.109368
0.020000,6.950925,1.169345,1.280000,2.000000,0.000000,0.000000,4.098871
0.020000,6.927708,1.136773,1.320000,2.000000,0.000000,0.000000,4.087213
0.020000,6.904094,1.104487,1.360000,2.000000,0.000000,0.000000,4.074391
0.020000,6.880050,1.072521,1.400000,2.000000,0.000000,0.000000,4.060399
0.020000,6.855542,1.040908,1.440000,2.000000,0.000000,0.000000,4.045238
0.020000,6.830539,1.009686,1.480000,2.000000,0.000000,0.000000,4.028914
0.020000,6.805013,0.978891,1.520000,2.000000,0.000000,0.000000,4.011434
0.020000,6.778935,0.948561,1.560000,2.000000,0.000000,0.000000,3.992814
0.020000,6.752280,0.918737,1.600000,2.000000,0.000000,0.000000,3.973078
0.020000,6.725025,0.889460,1.640000,2.000000,0.000000,0.000000,3.952255
0.020000,6.697152,0.860772,1.680000,2.000000,0.000000,0.000000,3.930386
0.020000,6.668645,0.832714,1.720000,2.000000,0.000000,0.000000,3.907519
0.020000,6.639490,0.805329,1.760000,2.000000,0.000000,0.000000,3.883713
0.020000,6.609680,0.778660,1.800000,2.000000,0.000000,0.000000,3.859040
0.020000,6.579210,0.752746,1.840000,2.000000,0.000000,0.000000,3.833578
0.020000,6.548082,0.727627,1.880000,2.000000,0.000000,0.000000,3.807417
0.020000,6.516300,0.703341,1.920000,2.000000,0.000000,0.000000,3.780654
0.020000,6.483873,0.679923,1.960000,2.000000,0.000000,0.000000,3.753397
0.020000,6.450816,0.657404,2.000000,2.000000,0.000000,0.000000,3.725754
0.020000,6.419066,0.637007,2.037738,1.773822,-11.308881,-565.444063,3.699425
0.020000,6.393551,0.621456,2.067620,1.214311,-27.975548,-833.333333,3.678472
0.020000,6.378355,0.612539,2.085239,0.547645,-33.333333,-267.889270,3.666094
0.020000,6.372679,0.609273,2.091787,0.107156,-22.024452,565.444063,3.661492
0.020000,6.371749,0.608740,2.092859,0.000000,-5.357785,833.333333,3.660739
0.020000,6.371749,0.608740,2.092859,0.000000,0.000000,267.889270,3.660739
