dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.519325,3.387746,0.003333,0.333333,16.666667,833.333333,4.700386
0.020000,6.519130,3.374414,0.016667,1.000000,33.333333,833.333333,4.695320
0.020000,6.518556,3.347754,0.043333,1.666667,33.333333,0.000000,4.686741
0.020000,6.517448,3.311104,0.080000,2.000000,16.666667,-833.333333,4.678219
0.020000,6.515965,3.271131,0.120000,2.000000,0.000000,-833.333333,4.673107
0.020000,6.514363,3.231163,0.160000,2.000000,0.000000,0.000000,4.672268
0.020000,6.512813,3.191193,0.200000,2.000000,0.000000,0.000000,4.675685
0.020000,6.511485,3.151216,0.240000,2.000000,0.000000,0.000000,4.683424
0.020000,6.510556,3.111227,0.280000,2.000000,0.000000,0.000000,4.695633
0.020000,6.510207,3.071229,0.320000,2.000000,0.000000,0.000000,4.712541
0.020000,6.510635,3.031232,0.360000,2.000000,0.000000,0.000000,4.734461
0.020000,6.512045,2.991258,0.400000,2.000000,0.000000,0.000000,4.761781
0.020000,6.514662,2.951345,0.440000,2.000000,0.000000,0.000000,4.794954
0.020000,6.518725,2.911555,0.480000,2.000000,0.000000,0.000000,4.834473
0.020000,6.524491,2.871976,0.520000,2.000000,0.000000,0.000000,4.880822
0.020000,6.532226,2.832736,0.560000,2.000000,0.000000,0.000000,4.934398
0.020000,6.542194,2.794004,0.600000,2.000000,0.000000,0.000000,4.995397
0.020000,6.554643,2.755999,0.640000,2.000000,0.000000,0.000000,5.063661
0.020000,6.569780,2.718984,0.680000,2.000000,0.000000,0.000000,5.138524
0.020000,6.587743,2.683256,0.720000,2.000000,0.000000,0.000000,5.218710
0.020000,6.608574,2.649122,0.760000,2.000000,0.000000,0.000000,5.302344
0.020000,6.632209,2.616866,0.800000,2.000000,0.000000,0.000000,5.387141
0.020000,6.658478,2.586717,0.840000,2.000000,0.000000,0.000000,5.470733
0.020000,6.687133,2.558823,0.880000,2.000000,0.000000,0.000000,5.551024
0.020000,6.717873,2.533245,0.920000,2.000000,0.000000,0.000000,5.626449
0.020000,6.750389,2.509962,0.960000,2.000000,0.000000,0.000000,5.696066
0.020000,6.784381,2.488892,1.000000,2.000000,0.000000,0.000000,5.759501
0.020000,6.819584,2.469910,1.040000,2.000000,0.000000,0.000000,5.816808
0.020000,6.853834,2.453723,1.077886,1.788597,-10.570174,-528.508675,5.865735
0.020000,6.881771,2.441932,1.108211,1.243860,-27.236840,-833.333333,5.901422
0.020000,6.898738,2.435319,1.126421,0.577193,-33.333333,-304.824658,5.921474
0.020000,6.905286,2.432870,1.133412,0.121930,-22.763160,528.508675,5.928912
0.020000,6.906430,2.432447,1.134632,0.000000,-6.096493,833.333333,5.930195
0.020000,6.906430,2.432447,1.134632,0.000000,0.000000,304.824658,5.930195
