dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.538874,1.455379,0.003333,0.333333,16.666667,833.333333,2.966048
0.020000,7.531286,1.456712,0.011037,0.385203,2.593460,-703.660353,2.968483
0.020000,7.506685,1.460952,0.036001,1.248183,43.149015,2027.777775,2.973350
0.020000,7.472824,1.466587,0.070328,1.716369,23.409328,-986.984364,2.980032
0.020000,7.435837,1.472477,0.107781,1.872650,7.814010,-779.765884,2.987309
0.020000,7.398803,1.478098,0.145240,1.872926,0.013842,-390.008408,2.994571
0.020000,7.361722,1.483452,0.182705,1.873240,0.015677,0.091743,3.001814
0.020000,7.324597,1.488539,0.220177,1.873590,0.017503,0.091287,3.009037
0.020000,7.287429,1.493359,0.257656,1.873976,0.019318,0.090748,3.016238
0.020000,7.250219,1.497912,0.295144,1.874399,0.021120,0.090126,3.023415
0.020000,7.212967,1.502200,0.332641,1.874857,0.022908,0.089419,3.030566
0.020000,7.175677,1.506223,0.370148,1.875351,0.024681,0.088624,3.037688
0.020000,7.138348,1.509982,0.407666,1.875879,0.026436,0.087742,3.044780
0.020000,7.100982,1.513477,0.445195,1.876443,0.028171,0.086772,3.051840
0.020000,7.063581,1.516711,0.482735,1.877041,0.029937,0.088270,3.058866
0.020000,7.026145,1.519683,0.520289,1.877680,0.031920,0.099173,3.065856
0.020000,6.988676,1.522395,0.557856,1.878345,0.033258,0.066911,3.072807
0.020000,6.951176,1.524848,0.595437,1.879043,0.034893,0.081722,3.079719
0.020000,6.913644,1.527044,0.633032,1.879773,0.036500,0.080353,3.086589
0.020000,6.876084,1.528983,0.670643,1.880534,0.038078,0.078906,3.093416
0.020000,6.838495,1.530668,0.708270,1.881327,0.039626,0.077383,3.100197
0.020000,6.800879,1.532099,0.745912,1.882150,0.041141,0.075788,3.106931
0.020000,6.763237,1.533278,0.783573,1.883002,0.042624,0.074125,3.113616
0.020000,6.725571,1.534207,0.821250,1.883884,0.044072,0.072398,3.120251
0.020000,6.687881,1.534887,0.858946,1.884795,0.045550,0.073911,3.126833
0.020000,6.650169,1.535320,0.896661,1.885741,0.047296,0.087295,3.133362
0.020000,6.612436,1.535508,0.934395,1.886704,0.048166,0.043484,3.139836
0.020000,6.574682,1.535453,0.972149,1.887693,0.049463,0.064846,3.146254
0.020000,6.536909,1.535157,1.009923,1.888708,0.050720,0.062886,3.152613
0.020000,6.499118,1.534621,1.047718,1.889746,0.051938,0.060892,3.158913
0.020000,6.461309,1.533848,1.085534,1.890809,0.053115,0.058867,3.165152
0.020000,6.423485,1.532840,1.123372,1.891898,0.054445,0.066478,3.171329
0.020000,6.385645,1.531598,1.161232,1.893009,0.055559,0.055701,3.177443
0.020000,6.347791,1.530126,1.199115,1.894136,0.056357,0.039901,3.183492
0.020000,6.309923,1.528424,1.237021,1.895283,0.057368,0.050574,3.189476
0.020000,6.272043,1.526497,1.274950,1.896450,0.058338,0.048488,3.195393
0.020000,6.234152,1.524345,1.312902,1.897635,0.059266,0.046403,3.201242
0.020000,6.196249,1.521971,1.350879,1.898843,0.060381,0.055733,3.207022
0.020000,6.158337,1.519378,1.388880,1.900064,0.061049,0.033426,3.212733
0.020000,6.120415,1.516568,1.426906,1.901299,0.061758,0.035421,3.218373
0.020000,6.082484,1.513543,1.464957,1.902550,0.062522,0.038214,3.223941
0.020000,6.044545,1.510307,1.503034,1.903814,0.063246,0.036204,3.229437
0.020000,6.006600,1.506861,1.541136,1.905095,0.064024,0.038907,3.234860
0.020000,5.968647,1.503208,1.579263,1.906388,0.064664,0.031960,3.240209
0.020000,5.930689,1.499351,1.617417,1.907691,0.065142,0.023937,3.245484
0.020000,5.892725,1.495293,1.655597,1.909005,0.065713,0.028544,3.250683
0.020000,5.854756,1.491036,1.693804,1.910330,0.066247,0.026701,3.255807
0.020000,5.816783,1.486582,1.732037,1.911666,0.066789,0.027112,3.260855
0.020000,5.778806,1.481935,1.770297,1.913011,0.067248,0.022948,3.265826
0.020000,5.740826,1.477098,1.808585,1.914363,0.067602,0.017661,3.270719
0.020000,5.702842,1.472072,1.846899,1.915723,0.067999,0.019860,3.275535
0.020000,5.664856,1.466862,1.885241,1.917090,0.068364,0.018245,3.280272
0.020000,5.626868,1.461469,1.923610,1.918464,0.068708,0.017217,3.284931
0.020000,5.588878,1.455897,1.962007,1.919844,0.068991,0.014150,3.289511
0.020000,5.550885,1.450148,2.000432,1.921229,0.069247,0.012795,3.294013
0.020000,5.512892,1.444226,2.038884,1.922619,0.069495,0.012407,3.298434
0.020000,5.474897,1.438132,2.077364,1.924013,0.069716,0.011056,3.302776
0.020000,5.436901,1.431871,2.115873,1.925411,0.069885,0.008444,3.307038
0.020000,5.398905,1.425445,2.154409,1.926812,0.070044,0.007938,3.311220
0.020000,5.360907,1.418856,2.192973,1.928216,0.070208,0.008189,3.315322
0.020000,5.322909,1.412109,2.231566,1.929623,0.070334,0.006300,3.319344
0.020000,5.284911,1.405205,2.270186,1.931032,0.070438,0.005222,3.323285
0.020000,5.246912,1.398147,2.308835,1.932441,0.070461,0.001162,3.327145
0.020000,5.208912,1.390940,2.347512,1.933852,0.070538,0.003822,3.330925
0.020000,5.170912,1.383585,2.386217,1.935264,0.070619,0.004070,3.334624
0.020000,5.132912,1.376085,2.424951,1.936677,0.070650,0.001546,3.338242
0.020000,5.094910,1.368444,2.463713,1.938090,0.070665,0.000735,3.341780
0.020000,5.056909,1.360665,2.502503,1.939502,0.070586,-0.003946,3.345237
0.020000,5.018906,1.352750,2.541321,1.940914,0.070591,0.000273,3.348613
0.020000,4.980902,1.344702,2.580168,1.942326,0.070614,0.001134,3.351909
0.020000,4.942897,1.336525,2.619042,1.943738,0.070576,-0.001924,3.355124
0.020000,4.904891,1.328221,2.657945,1.945148,0.070526,-0.002490,3.358258
0.020000,4.866883,1.319794,2.696876,1.946556,0.070398,-0.006401,3.361312
0.020000,4.828873,1.311245,2.735836,1.947962,0.070316,-0.004111,3.364286
0.020000,4.790861,1.302580,2.774823,1.949369,0.070315,-0.000026,3.367179
0.020000,4.752846,1.293799,2.813838,1.950773,0.070230,-0.004235,3.369992
0.020000,4.714829,1.284907,2.852882,1.952176,0.070139,-0.004584,3.372725
0.020000,4.676808,1.275905,2.891954,1.953576,0.070015,-0.006180,3.375377
0.020000,4.638784,1.266798,2.931053,1.954973,0.069816,-0.009970,3.377950
0.020000,4.600756,1.257588,2.970180,1.956369,0.069831,0.000774,3.380443
0.020000,4.562724,1.248279,3.009336,1.957764,0.069720,-0.005538,3.382857
0.020000,4.524686,1.238872,3.048519,1.959156,0.069606,-0.005703,3.385191
0.020000,4.486644,1.229371,3.087730,1.960546,0.069490,-0.005834,3.387445
0.020000,4.448596,1.219780,3.126968,1.961931,0.069274,-0.010794,3.389621
0.020000,4.410541,1.210100,3.166235,1.963315,0.069215,-0.002960,3.391717
0.020000,4.372480,1.200335,3.205529,1.964698,0.069136,-0.003936,3.393734
0.020000,4.334411,1.190488,3.244850,1.966078,0.069016,-0.006007,3.395672
0.020000,4.296335,1.180562,3.284199,1.967456,0.068896,-0.005992,3.397532
0.020000,4.258250,1.170559,3.323576,1.968832,0.068771,-0.006252,3.399313
0.020000,4.220155,1.160483,3.362980,1.970203,0.068549,-0.011112,3.401016
0.020000,4.182052,1.150337,3.402411,1.971574,0.068551,0.000118,3.402640
0.020000,4.143938,1.140123,3.441870,1.972943,0.068438,-0.005656,3.404186
0.020000,4.105813,1.129845,3.481356,1.974309,0.068327,-0.005526,3.405654
0.020000,4.067676,1.119505,3.520870,1.975673,0.068220,-0.005376,3.407044
0.020000,4.029527,1.109106,3.560411,1.977035,0.068096,-0.006189,3.408357
0.020000,3.991365,1.098652,3.599979,1.978394,0.067947,-0.007434,3.409591
0.020000,3.953190,1.088145,3.639574,1.979753,0.067929,-0.000937,3.410748
0.020000,3.915000,1.077588,3.679196,1.981110,0.067837,-0.004580,3.411828
0.020000,3.876795,1.066984,3.718845,1.982465,0.067750,-0.004349,3.412830
0.020000,3.838574,1.056336,3.758521,1.983818,0.067668,-0.004105,3.413754
0.020000,3.800337,1.045646,3.798225,1.985170,0.067578,-0.004495,3.414602
0.020000,3.762082,1.034919,3.837955,1.986519,0.067477,-0.005030,3.415372
0.020000,3.723809,1.024156,3.877713,1.987868,0.067464,-0.000661,3.416066
0.020000,3.685518,1.013361,3.917497,1.989216,0.067404,-0.003003,3.416682
0.020000,3.647206,1.002536,3.957308,1.990563,0.067350,-0.002708,3.417221
0.020000,3.608874,0.991685,3.997146,1.991909,0.067302,-0.002405,3.417683
0.020000,3.570521,0.980810,4.037011,1.993255,0.067257,-0.002224,3.418069
0.020000,3.532146,0.969915,4.076903,1.994599,0.067206,-0.002555,3.418377
0.020000,3.493748,0.959002,4.116822,1.995943,0.067207,0.000013,3.418609
0.020000,3.455326,0.948074,4.156768,1.997287,0.067184,-0.001134,3.418764
0.020000,3.416879,0.937134,4.196741,1.998630,0.067168,-0.000808,3.418843
0.020000,3.378407,0.926186,4.236740,1.999973,0.067158,-0.000481,3.418844
0.020000,3.339909,0.915231,4.276766,2.001316,0.067155,-0.000152,3.418769
0.020000,3.301384,0.904274,4.316820,2.002660,0.067172,0.000855,3.418617
0.020000,3.262831,0.893316,4.356900,2.004003,0.067181,0.000439,3.418388
0.020000,3.224249,0.882362,4.397007,2.005347,0.067197,0.000800,3.418083
0.020000,3.185637,0.871413,4.437140,2.006692,0.067220,0.001156,3.417700
0.020000,3.146995,0.860473,4.477301,2.008037,0.067250,0.001478,3.417241
0.020000,3.108322,0.849546,4.517489,2.009382,0.067286,0.001796,3.416705
0.020000,3.069616,0.838633,4.557703,2.010730,0.067367,0.004053,3.416092
0.020000,3.030878,0.827738,4.597945,2.012078,0.067397,0.001528,3.415402
0.020000,2.992105,0.816864,4.638213,2.013426,0.067441,0.002208,3.414634
0.020000,2.953298,0.806014,4.678509,2.014776,0.067501,0.003000,3.413790
0.020000,2.914455,0.795191,4.718832,2.016128,0.067567,0.003284,3.412868
0.020000,2.875576,0.784398,4.759181,2.017481,0.067638,0.003560,3.411870
0.020000,2.836659,0.773638,4.799558,2.018836,0.067775,0.006817,3.410793
0.020000,2.797704,0.762914,4.839962,2.020193,0.067829,0.002732,3.409639
0.020000,2.758711,0.752230,4.880393,2.021550,0.067892,0.003165,3.408408
0.020000,2.719677,0.741588,4.920851,2.022910,0.067983,0.004532,3.407099
0.020000,2.680603,0.730992,4.961336,2.024272,0.068078,0.004746,3.405712
0.020000,2.641487,0.720444,5.001849,2.025635,0.068177,0.004946,3.404247
0.020000,2.602330,0.709948,5.042389,2.027003,0.068370,0.009646,3.402704
0.020000,2.563129,0.699507,5.082957,2.028371,0.068417,0.002365,3.401083
0.020000,2.523884,0.689123,5.123551,2.029741,0.068502,0.004250,3.399383
0.020000,2.484595,0.678802,5.164174,2.031113,0.068613,0.005547,3.397605
0.020000,2.445261,0.668544,5.204823,2.032488,0.068726,0.005656,3.395749
0.020000,2.405881,0.658355,5.245501,2.033865,0.068846,0.006014,3.393814
0.020000,2.366453,0.648236,5.286206,2.035247,0.069091,0.012220,3.391800
0.020000,2.326979,0.638192,5.326938,2.036628,0.069080,-0.000552,3.389707
0.020000,2.287456,0.628225,5.367698,2.038012,0.069196,0.005831,3.387534
0.020000,2.247884,0.618338,5.408486,2.039398,0.069313,0.005822,3.385283
0.020000,2.208263,0.608536,5.449302,2.040787,0.069429,0.005787,3.382952
0.020000,2.168592,0.598821,5.490146,2.042179,0.069616,0.009365,3.380542
0.020000,2.128870,0.589196,5.531017,2.043574,0.069737,0.006031,3.378052
0.020000,2.089096,0.579666,5.571917,2.044969,0.069767,0.001532,3.375482
0.020000,2.049271,0.570233,5.612844,2.046367,0.069873,0.005301,3.372833
0.020000,2.009393,0.560901,5.653799,2.047766,0.069975,0.005113,3.370103
0.020000,1.969462,0.551673,5.694783,2.049168,0.070089,0.005680,3.367294
0.020000,1.929477,0.542553,5.735794,2.050574,0.070304,0.010762,3.364404
