dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.256466,2.975647,0.003333,0.333333,16.666667,833.333333,2.895716
0.020000,7.246102,2.978219,0.014012,0.533926,10.029618,-331.852424,2.899804
0.020000,7.217387,2.985176,0.043557,1.477279,47.167664,1856.902288,2.908030
0.020000,7.177772,2.994362,0.084224,2.033304,27.801271,-968.319632,2.919458
0.020000,7.134387,3.003874,0.128639,2.220779,9.373718,-921.377686,2.932073
0.020000,7.090834,3.012846,0.173106,2.223357,0.128930,-462.239370,2.944839
0.020000,7.047119,3.021267,0.217625,2.225952,0.129714,0.039205,2.957750
0.020000,7.003252,3.029128,0.262191,2.228291,0.116992,-0.636117,2.970799
0.020000,6.959238,3.036422,0.306805,2.230692,0.120026,0.151711,2.983980
0.020000,6.915090,3.043138,0.351461,2.232827,0.106734,-0.664592,2.997286
0.020000,6.870816,3.049269,0.396158,2.234825,0.099939,-0.339759,3.010707
0.020000,6.826425,3.054808,0.440893,2.236756,0.096508,-0.171570,3.024236
0.020000,6.781928,3.059747,0.485663,2.238493,0.086855,-0.482625,3.037865
0.020000,6.737338,3.064080,0.530464,2.240034,0.077052,-0.490170,3.051582
0.020000,6.692664,3.067802,0.575292,2.241406,0.068622,-0.421516,3.065378
0.020000,6.647920,3.070907,0.620144,2.242599,0.059640,-0.449051,3.079242
0.020000,6.603117,3.073391,0.665016,2.243602,0.050163,-0.473891,3.093164
0.020000,6.558267,3.075251,0.709904,2.244407,0.040245,-0.495892,3.107131
0.020000,6.513384,3.076484,0.754804,2.245006,0.029946,-0.514938,3.121133
0.020000,6.468480,3.077088,0.799712,2.245393,0.019327,-0.530942,3.135157
0.020000,6.423569,3.077062,0.844623,2.245562,0.008450,-0.543842,3.149190
0.020000,6.378663,3.076406,0.889533,2.245509,-0.002622,-0.553611,3.163220
0.020000,6.333777,3.075120,0.934438,2.245233,-0.013827,-0.560248,3.177234
0.020000,6.288923,3.073207,0.979333,2.244731,-0.025102,-0.563785,3.191220
0.020000,6.244115,3.070668,1.024213,2.244003,-0.036388,-0.564283,3.205164
0.020000,6.199366,3.067507,1.069074,2.243050,-0.047625,-0.561831,3.219054
0.020000,6.154687,3.063728,1.113911,2.241885,-0.058273,-0.532419,3.232878
0.020000,6.110093,3.059336,1.158722,2.240517,-0.068397,-0.506197,3.246622
0.020000,6.065595,3.054338,1.203500,2.238904,-0.080624,-0.611325,3.260275
0.020000,6.021205,3.048739,1.248241,2.237081,-0.091159,-0.526757,3.273823
0.020000,5.976934,3.042547,1.292943,2.235057,-0.101233,-0.503723,3.287257
0.020000,5.932794,3.035771,1.337600,2.232861,-0.109758,-0.426266,3.300564
0.020000,5.888796,3.028419,1.382209,2.230441,-0.121027,-0.563408,3.313733
0.020000,5.844948,3.020501,1.426765,2.227838,-0.130136,-0.455451,3.326753
0.020000,5.801261,3.012026,1.471267,2.225081,-0.137842,-0.385324,3.339616
0.020000,5.757743,3.003006,1.515710,2.222144,-0.146870,-0.451386,3.352311
0.020000,5.714403,2.993451,1.560091,2.219043,-0.155045,-0.408772,3.364829
0.020000,5.671248,2.983373,1.604407,2.215810,-0.161652,-0.330349,3.377161
0.020000,5.628285,2.972784,1.648656,2.212430,-0.168995,-0.367111,3.389301
0.020000,5.585520,2.961696,1.692834,2.208918,-0.175595,-0.330011,3.401240
0.020000,5.542960,2.950122,1.736940,2.205300,-0.180914,-0.265968,3.412972
0.020000,5.500609,2.938074,1.780971,2.201565,-0.186765,-0.292539,3.424491
0.020000,5.458472,2.925565,1.824926,2.197732,-0.191616,-0.242562,3.435791
0.020000,5.416552,2.912609,1.868802,2.193816,-0.195820,-0.210178,3.446867
0.020000,5.374853,2.899219,1.912598,2.189817,-0.199970,-0.207535,3.457714
0.020000,5.333377,2.885408,1.956313,2.185749,-0.203366,-0.169775,3.468329
0.020000,5.292127,2.871189,1.999946,2.181620,-0.206457,-0.154536,3.478708
0.020000,5.251103,2.856575,2.043495,2.177441,-0.208956,-0.124955,3.488848
0.020000,5.210307,2.841581,2.086959,2.173215,-0.211305,-0.117466,3.498746
0.020000,5.169739,2.826218,2.130338,2.168954,-0.213066,-0.088074,3.508401
0.020000,5.129400,2.810501,2.173631,2.164667,-0.214325,-0.062951,3.517811
0.020000,5.089288,2.794442,2.216838,2.160350,-0.215874,-0.077432,3.526975
0.020000,5.049403,2.778054,2.259959,2.156024,-0.216298,-0.021181,3.535891
0.020000,5.009744,2.761349,2.302993,2.151690,-0.216667,-0.018464,3.544559
0.020000,4.970309,2.744340,2.345939,2.147339,-0.217570,-0.045142,3.552979
0.020000,4.931095,2.727040,2.388799,2.143001,-0.216869,0.035051,3.561151
0.020000,4.892101,2.709461,2.431573,2.138669,-0.216615,0.012687,3.569075
0.020000,4.853325,2.691614,2.474259,2.134332,-0.216874,-0.012960,3.576752
0.020000,4.814762,2.673512,2.516860,2.130022,-0.215502,0.068634,3.584182
0.020000,4.776410,2.655165,2.559374,2.125728,-0.214689,0.040626,3.591366
0.020000,4.738265,2.636585,2.601803,2.121439,-0.214461,0.011413,3.598306
0.020000,4.700324,2.617784,2.644147,2.117184,-0.212750,0.085532,3.605003
0.020000,4.662584,2.598771,2.686406,2.112954,-0.211505,0.062277,3.611457
0.020000,4.625039,2.579559,2.728581,2.108740,-0.210690,0.040736,3.617671
0.020000,4.587687,2.560156,2.770672,2.104556,-0.209214,0.073802,3.623646
0.020000,4.550522,2.540574,2.812680,2.100405,-0.207510,0.085194,3.629383
0.020000,4.513541,2.520822,2.854606,2.096284,-0.206089,0.071031,3.634885
0.020000,4.476739,2.500910,2.896449,2.092178,-0.205281,0.040429,3.640153
0.020000,4.440111,2.480848,2.938212,2.088116,-0.203105,0.108766,3.645188
0.020000,4.403653,2.460645,2.979893,2.084083,-0.201618,0.074394,3.649993
0.020000,4.367359,2.440310,3.021495,2.080079,-0.200211,0.070345,3.654569
0.020000,4.331227,2.419853,3.063017,2.076096,-0.199143,0.053377,3.658918
0.020000,4.295249,2.399282,3.104460,2.072153,-0.197168,0.098764,3.663041
0.020000,4.259423,2.378606,3.145825,2.068238,-0.195746,0.071075,3.666940
0.020000,4.223742,2.357834,3.187112,2.064351,-0.194362,0.069208,3.670617
0.020000,4.188202,2.336974,3.228321,2.060483,-0.193403,0.047950,3.674073
0.020000,4.152798,2.316034,3.269454,2.056648,-0.191737,0.083330,3.677311
0.020000,4.117525,2.295022,3.310511,2.052839,-0.190444,0.064636,3.680330
0.020000,4.082379,2.273947,3.351492,2.049054,-0.189268,0.058787,3.683133
0.020000,4.047353,2.252816,3.392398,2.045289,-0.188221,0.052333,3.685721
0.020000,4.012445,2.231637,3.433229,2.041543,-0.187333,0.044432,3.688095
0.020000,3.977648,2.210417,3.473985,2.037821,-0.186096,0.061843,3.690256
0.020000,3.942958,2.189165,3.514667,2.034117,-0.185203,0.044636,3.692206
0.020000,3.908370,2.167888,3.555276,2.030429,-0.184390,0.040677,3.693944
0.020000,3.873879,2.146592,3.595811,2.026755,-0.183679,0.035555,3.695473
0.020000,3.839481,2.125286,3.636273,2.023093,-0.183135,0.027207,3.696793
0.020000,3.805171,2.103977,3.676662,2.019445,-0.182399,0.036779,3.697904
0.020000,3.770945,2.082672,3.716978,2.015806,-0.181925,0.023705,3.698807
0.020000,3.736796,2.061378,3.757221,2.012175,-0.181540,0.019253,3.699503
0.020000,3.702722,2.040102,3.797393,2.008551,-0.181245,0.014745,3.699991
0.020000,3.668718,2.018851,3.837491,2.004929,-0.181057,0.009407,3.700273
0.020000,3.634779,1.997632,3.877517,2.001311,-0.180894,0.008153,3.700348
0.020000,3.600900,1.976453,3.917471,1.997694,-0.180861,0.001609,3.700216
0.020000,3.567078,1.955320,3.957353,1.994076,-0.180934,-0.003616,3.699878
0.020000,3.533308,1.934241,3.997162,1.990454,-0.181098,-0.008221,3.699332
0.020000,3.499586,1.913222,4.036898,1.986827,-0.181328,-0.011505,3.698579
0.020000,3.465907,1.892270,4.076562,1.983195,-0.181598,-0.013480,3.697619
0.020000,3.432268,1.871392,4.116153,1.979553,-0.182093,-0.024749,3.696451
0.020000,3.398665,1.850595,4.155671,1.975901,-0.182620,-0.026362,3.695074
0.020000,3.365093,1.829887,4.195116,1.972236,-0.183235,-0.030755,3.693487
0.020000,3.331549,1.809275,4.234487,1.968557,-0.183936,-0.035063,3.691690
0.020000,3.298029,1.788764,4.273785,1.964868,-0.184478,-0.027094,3.689683
0.020000,3.264529,1.768363,4.313008,1.961157,-0.185537,-0.052948,3.687463
0.020000,3.231046,1.748079,4.352156,1.957427,-0.186490,-0.047636,3.685030
0.020000,3.197575,1.727918,4.391230,1.953677,-0.187513,-0.051165,3.682383
0.020000,3.164113,1.707889,4.430228,1.949905,-0.188589,-0.053770,3.679521
0.020000,3.130658,1.687997,4.469150,1.946117,-0.189412,-0.041174,3.676442
0.020000,3.097204,1.668252,4.507996,1.942298,-0.190959,-0.077342,3.673145
0.020000,3.063750,1.648659,4.546765,1.938453,-0.192249,-0.064513,3.669628
0.020000,3.030293,1.629226,4.585457,1.934581,-0.193594,-0.067220,3.665890
