dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000021,0.666667,0.003333,0.333333,16.666667,833.333333,0.000008
0.020000,0.013355,0.666699,0.016667,1.000000,33.333333,833.333333,0.004819
0.020000,0.040020,0.666955,0.043333,1.666667,33.333333,0.000000,0.014391
0.020000,0.076678,0.667722,0.080000,2.000000,16.666667,-833.333333,0.027434
0.020000,0.116654,0.669101,0.120000,2.000000,0.000000,-833.333333,0.041493
0.020000,0.156607,0.671038,0.160000,2.000000,0.000000,0.000000,0.055357
0.020000,0.196529,0.673525,0.200000,2.000000,0.000000,0.000000,0.069012
0.020000,0.236414,0.676552,0.240000,2.000000,0.000000,0.000000,0.082442
0.020000,0.276256,0.680109,0.280000,2.000000,0.000000,0.000000,0.095634
0.020000,0.316047,0.684187,0.320000,2.000000,0.000000,0.000000,0.108574
0.020000,0.355783,0.688774,0.360000,2.000000,0.000000,0.000000,0.121250
0.020000,0.395458,0.693859,0.400000,2.000000,0.000000,0.000000,0.133649
0.020000,0.435068,0.699430,0.440000,2.000000,0.000000,0.000000,0.145762
0.020000,0.474608,0.705475,0.480000,2.000000,0.000000,0.000000,0.157578
0.020000,0.514075,0.711980,0.520000,2.000000,0.000000,0.000000,0.169088
0.020000,0.553466,0.718933,0.560000,2.000000,0.000000,0.000000,0.180285
0.020000,0.592778,0.726320,0.600000,2.000000,0.000000,0.000000,0.191160
0.020000,0.632008,0.734128,0.640000,2.000000,0.000000,0.000000,0.201708
0.020000,0.671155,0.742343,0.680000,2.000000,0.000000,0.000000,0.211923
0.020000,0.710218,0.750951,0.720000,2.000000,0.000000,0.000000,0.221800
0.020000,0.749195,0.759937,0.760000,2.000000,0.000000,0.000000,0.231335
0.020000,0.788087,0.769288,0.800000,2.000000,0.000000,0.000000,0.240523
0.020000,0.826893,0.778990,0.840000,2.000000,0.000000,0.000000,0.249363
0.020000,0.865613,0.789027,0.880000,2.000000,0.000000,0.000000,0.257851
0.020000,0.904248,0.799385,0.920000,2.000000,0.000000,0.000000,0.265986
0.020000,0.942800,0.810051,0.960000,2.000000,0.000000,0.000000,0.273766
0.020000,0.981269,0.821009,1.000000,2.000000,0.000000,0.000000,0.281191
0.020000,1.019659,0.832246,1.040000,2.000000,0.000000,0.000000,0.288259
0.020000,1.057969,0.843747,1.080000,2.000000,0.000000,0.000000,0.294970
0.020000,1.096204,0.855498,1.120000,2.000000,0.000000,0.000000,0.301324
0.020000,1.134366,0.867485,1.160000,2.000000,0.000000,0.000000,0.307321
0.020000,1.172457,0.879694,1.200000,2.000000,0.000000,0.000000,0.312962
0.020000,1.210481,0.892111,1.240000,2.000000,0.000000,0.000000,0.318247
0.020000,1.248441,0.904721,1.280000,2.000000,0.000000,0.000000,0.323177
0.020000,1.286341,0.917512,1.320000,2.000000,0.000000,0.000000,0.327752
0.020000,1.324184,0.930470,1.360000,2.000000,0.000000,0.000000,0.331973
0.020000,1.361974,0.943581,1.400000,2.000000,0.000000,0.000000,0.335842
0.020000,1.399716,0.956831,1.440000,2.000000,0.000000,0.000000,0.339359
0.020000,1.437413,0.970207,1.480000,2.000000,0.000000,0.000000,0.342525
0.020000,1.475070,0.983696,1.520000,2.000000,0.000000,0.000000,0.345341
0.020000,1.512691,0.997284,1.560000,2.000000,0.000000,0.000000,0.347807
