dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.934205,1.939906,0.003333,0.333333,16.666667,833.333333,3.877514
0.020000,7.926008,1.932434,0.014426,0.554617,11.064201,-280.123305,3.883917
0.020000,7.909696,1.917280,0.036690,1.113215,27.929898,843.284877,3.896495
0.020000,7.887448,1.895992,0.067482,1.539608,21.319637,-330.513064,3.913278
0.020000,7.863407,1.872182,0.101319,1.691818,7.610518,-685.455951,3.930887
0.020000,7.839595,1.847772,0.135419,1.705038,0.660991,-347.476357,3.947741
0.020000,7.816001,1.822775,0.169792,1.718631,0.679624,0.931647,3.963818
0.020000,7.792615,1.797207,0.204442,1.732522,0.694556,0.746604,3.979102
0.020000,7.769425,1.771082,0.239375,1.746643,0.706060,0.575212,3.993578
0.020000,7.746417,1.744418,0.274594,1.760934,0.714552,0.424590,4.007238
0.020000,7.723580,1.717230,0.310101,1.775342,0.720375,0.291154,4.020075
0.020000,7.700898,1.689536,0.345897,1.789819,0.723874,0.174976,4.032085
0.020000,7.678358,1.661355,0.381984,1.804327,0.725421,0.077327,4.043266
0.020000,7.655944,1.632704,0.418360,1.818835,0.725396,-0.001229,4.053618
0.020000,7.633639,1.603602,0.455027,1.833317,0.724076,-0.065993,4.063142
0.020000,7.611427,1.574068,0.491982,1.847752,0.721779,-0.114891,4.071841
0.020000,7.589289,1.544119,0.529224,1.862128,0.718767,-0.150598,4.079720
0.020000,7.567208,1.513774,0.566753,1.876434,0.715309,-0.172876,4.086780
0.020000,7.545163,1.483052,0.604566,1.890667,0.711655,-0.182727,4.093028
0.020000,7.523134,1.451970,0.642663,1.904826,0.707941,-0.185664,4.098466
0.020000,7.501100,1.420547,0.681041,1.918913,0.704361,-0.178994,4.103099
0.020000,7.479039,1.388801,0.719700,1.932934,0.701058,-0.165149,4.106932
0.020000,7.456929,1.356749,0.758638,1.946897,0.698152,-0.145327,4.109966
0.020000,7.434746,1.324410,0.797854,1.960812,0.695739,-0.120666,4.112205
0.020000,7.412466,1.291801,0.837348,1.974690,0.693889,-0.092460,4.113652
0.020000,7.390064,1.258940,0.877119,1.988543,0.692678,-0.060548,4.114306
0.020000,7.367514,1.225844,0.917166,2.002386,0.692115,-0.028153,4.114170
0.020000,7.344791,1.192531,0.957491,2.016230,0.692225,0.005502,4.113243
0.020000,7.321868,1.159019,0.998093,2.030090,0.693006,0.039018,4.111523
0.020000,7.298716,1.125328,1.038972,2.043979,0.694434,0.071414,4.109010
0.020000,7.275308,1.091474,1.080130,2.057908,0.696469,0.101722,4.105701
0.020000,7.251615,1.057478,1.121568,2.071889,0.699047,0.128945,4.101593
0.020000,7.227607,1.023360,1.163287,2.085931,0.702090,0.152133,4.096682
0.020000,7.203254,0.989140,1.205288,2.100042,0.705517,0.171330,4.090966
0.020000,7.178526,0.954840,1.247572,2.114224,0.709122,0.180278,4.084438
0.020000,7.153393,0.920481,1.290142,2.128481,0.712828,0.185301,4.077096
0.020000,7.127823,0.886089,1.332998,2.142809,0.716436,0.180374,4.068935
0.020000,7.101786,0.851687,1.376142,2.157204,0.719742,0.165289,4.059952
0.020000,7.075250,0.817303,1.419575,2.171655,0.722523,0.139086,4.050143
0.020000,7.048184,0.782964,1.463298,2.186145,0.724533,0.100491,4.039505
0.020000,7.020559,0.748701,1.507311,2.200653,0.725398,0.043271,4.028039
0.020000,6.992343,0.714545,1.551614,2.215152,0.724919,-0.023970,4.015743
0.020000,6.963509,0.680529,1.596206,2.229606,0.722724,-0.109734,4.002622
0.020000,6.934028,0.646691,1.641086,2.243975,0.718463,-0.213092,3.988680
0.020000,6.903875,0.613066,1.686250,2.258210,0.711743,-0.335976,3.973924
0.020000,6.873025,0.579697,1.731695,2.272255,0.702247,-0.474817,3.958365
0.020000,6.841456,0.546624,1.777416,2.286047,0.689599,-0.632373,3.942018
0.020000,6.809149,0.513893,1.823406,2.299516,0.673433,-0.808336,3.924901
0.020000,6.776087,0.481548,1.869658,2.312584,0.653393,-1.001979,3.907037
0.020000,6.742258,0.449639,1.916161,2.325172,0.629409,-1.199174,3.888454
0.020000,6.707654,0.418215,1.962905,2.337194,0.601099,-1.415520,3.869184
0.020000,6.672269,0.387325,2.009877,2.348562,0.568394,-1.635263,3.849264
0.020000,6.636103,0.357020,2.057060,2.359187,0.531272,-1.856100,3.828736
0.020000,6.599162,0.327352,2.104440,2.368984,0.489824,-2.072371,3.807649
0.020000,6.561455,0.298371,2.151997,2.377869,0.444269,-2.277792,3.786054
0.020000,6.522998,0.270127,2.199713,2.385768,0.394955,-2.465666,3.764007
0.020000,6.483809,0.242666,2.247565,2.392615,0.342372,-2.629147,3.741569
0.020000,6.443914,0.216034,2.295532,2.398344,0.286450,-2.796090,3.718803
0.020000,6.405024,0.191316,2.341613,2.304040,-4.715206,-250.082847,3.696727
0.020000,6.372401,0.171495,2.379785,1.908635,-19.770273,-752.753345,3.678323
0.020000,6.351547,0.159253,2.403967,1.209074,-34.978064,-760.389517,3.666624
0.020000,6.342784,0.154205,2.414080,0.505673,-35.170017,-9.597655,3.661724
0.020000,6.341019,0.153195,2.416114,0.101676,-20.199858,748.507918,3.660739
0.020000,6.341019,0.153195,2.416114,0.000000,-5.083805,755.802659,3.660739
