dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.464316,2.458755,0.003333,0.333333,16.666667,833.333333,3.877514
0.020000,7.452806,2.448264,0.018908,0.778712,22.268909,280.112106,3.883917
0.020000,7.430044,2.427117,0.049976,1.553435,38.736162,823.362675,3.896495
0.020000,7.399307,2.397707,0.092517,2.127014,28.678974,-502.859411,3.913278
0.020000,7.366508,2.365224,0.138679,2.308129,9.055750,-981.161185,3.930887
0.020000,7.334457,2.332370,0.184577,2.294913,-0.660796,-485.827342,3.947741
0.020000,7.303138,2.299190,0.230204,2.281325,-0.679411,-0.930720,3.963818
0.020000,7.272531,2.265728,0.275553,2.267439,-0.694306,-0.744751,3.979102
0.020000,7.242612,2.232026,0.320619,2.253322,-0.705868,-0.578116,3.993578
0.020000,7.213357,2.198122,0.365400,2.239034,-0.714361,-0.424638,4.007238
0.020000,7.184740,2.164054,0.409892,2.224631,-0.720175,-0.290698,4.020075
0.020000,7.156731,2.129857,0.454096,2.210157,-0.723702,-0.176375,4.032085
0.020000,7.129302,2.095564,0.498009,2.195651,-0.725288,-0.079258,4.043266
0.020000,7.102422,2.061206,0.541632,2.181146,-0.725231,0.002822,4.053618
0.020000,7.076062,2.026813,0.584965,2.166668,-0.723919,0.065592,4.063142
0.020000,7.050189,1.992412,0.628010,2.152235,-0.721635,0.114242,4.071841
0.020000,7.024773,1.958028,0.670767,2.137862,-0.718666,0.148409,4.079720
0.020000,6.999783,1.923688,0.713238,2.123557,-0.715240,0.171295,4.086780
0.020000,6.975188,1.889412,0.755424,2.109326,-0.711549,0.184574,4.093028
0.020000,6.950958,1.855225,0.797328,2.095169,-0.707850,0.184927,4.098466
0.020000,6.927062,1.821147,0.838950,2.081084,-0.704286,0.178240,4.103099
0.020000,6.903470,1.787198,0.880291,2.067064,-0.700998,0.164405,4.106932
0.020000,6.880153,1.753398,0.921353,2.053101,-0.698105,0.144607,4.109966
0.020000,6.857083,1.719766,0.962137,2.039187,-0.695706,0.119974,4.112205
0.020000,6.834232,1.686321,1.002643,2.025310,-0.693879,0.091356,4.113652
0.020000,6.811572,1.653081,1.042872,2.011457,-0.692659,0.060991,4.114306
0.020000,6.789076,1.620064,1.082824,1.997614,-0.692108,0.027569,4.114170
0.020000,6.766719,1.587287,1.122500,1.983770,-0.692230,-0.006143,4.113243
0.020000,6.744475,1.554769,1.161898,1.969909,-0.693024,-0.039664,4.111523
0.020000,6.722320,1.522527,1.201018,1.956020,-0.694465,-0.072073,4.109010
0.020000,6.700229,1.490579,1.239860,1.942090,-0.696513,-0.102398,4.105701
0.020000,6.678180,1.458942,1.278422,1.928108,-0.699106,-0.129637,4.101593
0.020000,6.656151,1.427635,1.316703,1.914065,-0.702159,-0.152665,4.096682
0.020000,6.634118,1.396675,1.354703,1.899954,-0.705547,-0.169374,4.090966
0.020000,6.612063,1.366081,1.392418,1.885769,-0.709211,-0.183224,4.084438
0.020000,6.589964,1.335870,1.429848,1.871511,-0.712934,-0.186125,4.077096
0.020000,6.567803,1.306062,1.466992,1.857180,-0.716557,-0.181169,4.068935
0.020000,6.545561,1.276675,1.503847,1.842782,-0.719877,-0.165998,4.059952
0.020000,6.523221,1.247726,1.540414,1.828329,-0.722655,-0.138922,4.050143
0.020000,6.500765,1.219235,1.576691,1.813836,-0.724626,-0.098528,4.039505
0.020000,6.478178,1.191220,1.612677,1.799325,-0.725576,-0.047485,4.028039
0.020000,6.455444,1.163699,1.648374,1.784823,-0.725102,0.023666,4.015743
0.020000,6.432549,1.136689,1.683781,1.770365,-0.722906,0.109830,4.002622
0.020000,6.409480,1.110209,1.718901,1.755992,-0.718636,0.213468,3.988680
0.020000,6.386224,1.084274,1.753736,1.741753,-0.711953,0.334156,3.973924
0.020000,6.362767,1.058901,1.788290,1.727704,-0.702453,0.475021,3.958365
0.020000,6.339100,1.034105,1.822568,1.713908,-0.689787,0.633317,3.942018
0.020000,6.315210,1.009901,1.856577,1.700435,-0.673632,0.807730,3.924901
0.020000,6.291087,0.986301,1.890324,1.687361,-0.653710,0.996083,3.907037
0.020000,6.266721,0.963317,1.923819,1.674769,-0.629620,1.204511,3.888454
0.020000,6.242103,0.940960,1.957074,1.662743,-0.601300,1.416008,3.869184
0.020000,6.217223,0.919239,1.990102,1.651371,-0.568594,1.635272,3.849264
0.020000,6.192071,0.898163,2.022916,1.640741,-0.531481,1.855692,3.828736
0.020000,6.166639,0.877738,2.055535,1.630941,-0.490040,2.072021,3.807649
0.020000,6.140918,0.857968,2.087976,1.622051,-0.444467,2.278639,3.786054
0.020000,6.114899,0.838858,2.120259,1.614150,-0.395071,2.469812,3.764007
0.020000,6.088573,0.820410,2.152405,1.607304,-0.342271,2.639999,3.741569
0.020000,6.061932,0.802626,2.184437,1.601563,-0.287048,2.761180,3.718803
0.020000,6.036084,0.786196,2.215064,1.531385,-3.508934,-161.094298,3.696727
0.020000,6.014470,0.773065,2.240354,1.264508,-13.343834,-491.745033,3.678323
0.020000,6.000679,0.764968,2.256347,0.799617,-23.244551,-495.035853,3.666624
0.020000,5.994888,0.761632,2.263030,0.334174,-23.272141,-1.379506,3.661724
0.020000,5.993721,0.760965,2.264374,0.067177,-13.349839,496.115130,3.660739
0.020000,5.993721,0.760965,2.264374,0.000000,-3.358872,499.548368,3.660739
