dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000891,1.001000,0.003333,0.333333,16.666667,833.333333,6.283158
0.020000,0.014364,1.000997,0.016807,0.673663,17.016489,17.491104,6.282759
0.020000,0.041294,1.000975,0.043736,1.346477,33.640701,831.210603,6.282007
0.020000,0.078285,1.000914,0.080727,1.849558,25.154060,-424.332038,6.281080
0.020000,0.118590,1.000811,0.121033,2.015261,8.285139,-843.446054,6.280208
0.020000,0.158844,1.000676,0.161287,2.012717,-0.127191,-420.616523,6.279482
0.020000,0.199047,1.000515,0.201490,2.010175,-0.127137,0.002733,6.278900
0.020000,0.239199,1.000334,0.241643,2.007633,-0.127095,0.002102,6.278464
0.020000,0.279301,1.000138,0.281745,2.005091,-0.127065,0.001501,6.278173
0.020000,0.319351,0.999934,0.321796,2.002550,-0.127043,0.001106,6.278027
0.020000,0.359351,0.999727,0.361796,2.000010,-0.127032,0.000543,6.278027
0.020000,0.399300,0.999524,0.401745,1.997469,-0.127032,-0.000029,6.278171
0.020000,0.439198,0.999329,0.441644,1.994928,-0.127042,-0.000501,6.278461
0.020000,0.479045,0.999149,0.481492,1.992387,-0.127065,-0.001143,6.278896
0.020000,0.518842,0.998989,0.521289,1.989845,-0.127098,-0.001628,6.279476
0.020000,0.558587,0.998856,0.561035,1.987302,-0.127136,-0.001916,6.280202
0.020000,0.598283,0.998754,0.600730,1.984759,-0.127192,-0.002782,6.281073
0.020000,0.637927,0.998690,0.640374,1.982213,-0.127253,-0.003067,6.282089
0.020000,0.677520,0.998669,0.679967,1.979667,-0.127316,-0.003139,0.000066
0.020000,0.717062,0.998697,0.719510,1.977119,-0.127397,-0.004041,0.001373
0.020000,0.756554,0.998779,0.759001,1.974570,-0.127481,-0.004191,0.002827
0.020000,0.795994,0.998922,0.798442,1.972018,-0.127562,-0.004065,0.004425
0.020000,0.835383,0.999130,0.837831,1.969465,-0.127656,-0.004705,0.006170
0.020000,0.874720,0.999410,0.877169,1.966910,-0.127753,-0.004844,0.008061
0.020000,0.914005,0.999766,0.916456,1.964353,-0.127842,-0.004443,0.010098
0.020000,0.953239,1.000204,0.955692,1.961795,-0.127936,-0.004702,0.012281
0.020000,0.992420,1.000731,0.994877,1.959234,-0.128032,-0.004798,0.014611
0.020000,1.031548,1.001350,1.034010,1.956672,-0.128113,-0.004069,0.017087
0.020000,1.070624,1.002069,1.073092,1.954108,-0.128191,-0.003901,0.019709
0.020000,1.109646,1.002892,1.112123,1.951543,-0.128268,-0.003835,0.022478
0.020000,1.148615,1.003824,1.151103,1.948976,-0.128323,-0.002748,0.025393
0.020000,1.187529,1.004872,1.190031,1.946409,-0.128366,-0.002153,0.028456
0.020000,1.226388,1.006040,1.228908,1.943841,-0.128401,-0.001747,0.031665
0.020000,1.265192,1.007333,1.267733,1.941273,-0.128407,-0.000298,0.035021
0.020000,1.303940,1.008758,1.306507,1.938705,-0.128392,0.000716,0.038523
0.020000,1.342631,1.010320,1.345230,1.936138,-0.128359,0.001663,0.042172
0.020000,1.381265,1.012023,1.383901,1.933572,-0.128290,0.003444,0.045968
0.020000,1.419841,1.013873,1.422522,1.931008,-0.128192,0.004905,0.049911
0.020000,1.458358,1.015876,1.461091,1.928447,-0.128061,0.006564,0.053999
0.020000,1.496815,1.018036,1.499608,1.925889,-0.127888,0.008625,0.058234
0.020000,1.535211,1.020358,1.538075,1.923335,-0.127676,0.010613,0.062615
0.020000,1.573546,1.022848,1.576491,1.920787,-0.127414,0.013098,0.067141
0.020000,1.611819,1.025511,1.614856,1.918245,-0.127107,0.015378,0.071813
0.020000,1.650027,1.028352,1.653170,1.915710,-0.126747,0.017999,0.076629
0.020000,1.688171,1.031375,1.691434,1.913184,-0.126319,0.021380,0.081590
0.020000,1.726250,1.034586,1.729647,1.910667,-0.125842,0.023846,0.086695
0.020000,1.764261,1.037990,1.767810,1.908161,-0.125300,0.027106,0.091942
0.020000,1.802204,1.041591,1.805923,1.905668,-0.124670,0.031510,0.097333
0.020000,1.840077,1.045394,1.843987,1.903188,-0.123986,0.034211,0.102865
0.020000,1.877879,1.049404,1.882002,1.900723,-0.123230,0.037761,0.108538
0.020000,1.915609,1.053626,1.919967,1.898276,-0.122358,0.043600,0.114350
0.020000,1.953266,1.058064,1.957884,1.895848,-0.121423,0.046751,0.120302
0.020000,1.990847,1.062723,1.995753,1.893439,-0.120435,0.049418,0.126391
0.020000,2.028351,1.067607,2.033574,1.891053,-0.119279,0.057819,0.132616
0.020000,2.065777,1.072720,2.071348,1.888692,-0.118061,0.060880,0.138976
0.020000,2.103124,1.078067,2.109075,1.886356,-0.116779,0.064076,0.145470
0.020000,2.140388,1.083652,2.146756,1.884049,-0.115352,0.071361,0.152095
0.020000,2.177570,1.089480,2.184391,1.881773,-0.113805,0.077348,0.158851
0.020000,2.214667,1.095553,2.221982,1.879530,-0.112170,0.081740,0.165735
0.020000,2.251677,1.101877,2.259528,1.877321,-0.110470,0.085047,0.172745
0.020000,2.288598,1.108455,2.297031,1.875149,-0.108595,0.093748,0.179879
0.020000,2.325430,1.115290,2.334492,1.873017,-0.106599,0.099793,0.187135
0.020000,2.362169,1.122387,2.371910,1.870927,-0.104509,0.104492,0.194510
0.020000,2.396954,1.129358,2.407387,1.773839,-4.854359,-237.492490,0.200781
0.020000,2.433930,1.137006,2.445145,1.887918,5.703944,527.915120,0.207185
0.020000,2.470718,1.144868,2.482764,1.880944,-0.348711,-302.632742,0.213988
0.020000,2.507311,1.152957,2.520240,1.873804,-0.357011,-0.414980,0.221199
0.020000,2.543700,1.161285,2.557570,1.866481,-0.366148,-0.456878,0.228829
0.020000,2.579876,1.169863,2.594750,1.858975,-0.375290,-0.457090,0.236887
0.020000,2.615831,1.178703,2.631775,1.851279,-0.384798,-0.475397,0.245385
0.020000,2.651554,1.187818,2.668643,1.843383,-0.394820,-0.501121,0.254334
0.020000,2.687035,1.197219,2.705348,1.835285,-0.404863,-0.502149,0.263746
0.020000,2.722264,1.206917,2.741888,1.826981,-0.415197,-0.516682,0.273632
0.020000,2.757230,1.216925,2.778257,1.818465,-0.425843,-0.532290,0.284005
0.020000,2.791919,1.227254,2.814452,1.809737,-0.436354,-0.525539,0.294877
0.020000,2.826321,1.237916,2.850468,1.800802,-0.446754,-0.520021,0.306259
0.020000,2.860422,1.248921,2.886301,1.791655,-0.457378,-0.531220,0.318164
0.020000,2.894210,1.260280,2.921947,1.782303,-0.467584,-0.510270,0.330603
0.020000,2.927670,1.272005,2.957402,1.772754,-0.477439,-0.492743,0.343588
0.020000,2.960789,1.284106,2.992663,1.763019,-0.486791,-0.467610,0.357129
0.020000,2.993553,1.296593,3.027725,1.753111,-0.495398,-0.430350,0.371236
0.020000,3.025946,1.309475,3.062586,1.743048,-0.503143,-0.387236,0.385918
0.020000,3.057954,1.322764,3.097243,1.732848,-0.509977,-0.341740,0.401183
0.020000,3.089563,1.336466,3.131694,1.722540,-0.515410,-0.271607,0.417037
0.020000,3.120757,1.350592,3.165937,1.712160,-0.518993,-0.179165,0.433484
0.020000,3.151521,1.365148,3.199972,1.701734,-0.521323,-0.116485,0.450526
0.020000,3.181842,1.380144,3.233798,1.691312,-0.521073,0.012468,0.468164
0.020000,3.211705,1.395585,3.267417,1.680935,-0.518852,0.111046,0.486395
0.020000,3.241096,1.411479,3.300830,1.670663,-0.513635,0.260866,0.505213
0.020000,3.270001,1.427833,3.334041,1.660544,-0.505903,0.386611,0.524609
0.020000,3.298409,1.444651,3.367054,1.650649,-0.494776,0.556362,0.544570
0.020000,3.326307,1.461939,3.399875,1.641042,-0.480357,0.720909,0.565081
0.020000,3.353686,1.479703,3.432510,1.631793,-0.462464,0.894655,0.586119
0.020000,3.380533,1.497946,3.464970,1.622976,-0.440826,1.081906,0.607662
0.020000,3.406842,1.516673,3.497263,1.614666,-0.415479,1.267345,0.629679
0.020000,3.432604,1.535889,3.529402,1.606938,-0.386397,1.454111,0.652138
0.020000,3.457812,1.555596,3.561399,1.599866,-0.353621,1.638782,0.675000
0.020000,3.482461,1.575798,3.593270,1.593517,-0.317437,1.809238,0.698226
0.020000,3.506547,1.596499,3.625029,1.587958,-0.277985,1.972562,0.721769
0.020000,3.530065,1.617701,3.656694,1.583247,-0.235513,2.123630,0.745581
0.020000,3.553015,1.639408,3.688282,1.579427,-0.191031,2.224066,0.769612
0.020000,3.575393,1.661621,3.719813,1.576548,-0.143930,2.355076,0.793807
0.020000,3.597199,1.684342,3.751306,1.574623,-0.096259,2.383569,0.818112
0.020000,3.618433,1.707574,3.782779,1.573680,-0.047147,2.455585,0.842471
0.020000,3.639095,1.731316,3.814254,1.573716,0.001779,2.446306,0.866827
0.020000,3.659187,1.755570,3.845748,1.574718,0.050130,2.417516,0.891127
0.020000,3.678708,1.780334,3.877281,1.576665,0.097365,2.361771,0.915315
0.020000,3.697661,1.805607,3.908872,1.579525,0.142958,2.279650,0.939340
0.020000,3.716047,1.831388,3.940537,1.583254,0.186454,2.174815,0.963152
0.020000,3.733869,1.857671,3.972292,1.587780,0.226318,1.993181,0.986705
0.020000,3.751127,1.884453,4.004154,1.593072,0.264571,1.912657,1.009957
0.020000,3.767825,1.911729,4.036135,1.599037,0.298281,1.685500,1.032867
0.020000,3.783965,1.939490,4.068247,1.605608,0.328531,1.512486,1.055402
0.020000,3.799550,1.967729,4.100501,1.612714,0.355320,1.339465,1.077530
0.020000,3.814583,1.996437,4.132907,1.620289,0.378743,1.171150,1.099226
0.020000,3.829066,2.025604,4.165472,1.628247,0.397901,0.957889,1.120467
0.020000,3.843004,2.055219,4.198202,1.636525,0.413911,0.800500,1.141236
0.020000,3.855813,2.083914,4.229627,1.571228,-3.264886,-183.939848,1.160620
0.020000,3.865938,2.107706,4.255484,1.292833,-13.919747,-532.743024,1.176160
0.020000,3.872084,2.122663,4.271654,0.808505,-24.216365,-514.830929,1.185689
0.020000,3.874556,2.128796,4.278267,0.330648,-23.892843,16.176092,1.189545
0.020000,3.875033,2.129987,4.279549,0.064128,-13.326035,528.340394,1.190290
0.020000,3.875033,2.129987,4.279549,0.000000,-3.206386,505.982456,1.190290
