dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.875068,2.130074,0.003333,0.333333,16.666667,833.333333,4.331613
0.020000,3.869754,2.116697,0.017727,0.719701,19.318400,132.586680,4.336686
0.020000,3.858768,2.088414,0.048069,1.517062,39.868047,1027.482345,4.347185
0.020000,3.844063,2.049066,0.090075,2.100309,29.162324,-535.286140,4.362441
0.020000,3.828594,2.005493,0.136313,2.311898,10.579478,-929.142327,4.380267
0.020000,3.813783,1.961187,0.183029,2.335794,1.194774,-469.235212,4.399456
0.020000,3.799699,1.916090,0.230273,2.362240,1.322335,6.378074,4.420160
0.020000,3.786426,1.870132,0.278110,2.391808,1.478376,7.802029,4.442550
0.020000,3.774061,1.823244,0.326601,2.424582,1.638686,8.015523,4.466815
0.020000,3.762718,1.775346,0.375824,2.461124,1.827119,9.421656,4.493171
0.020000,3.752529,1.726356,0.425862,2.501899,2.038760,10.582017,4.521855
0.020000,3.743656,1.676192,0.476804,2.547138,2.261918,11.157907,4.553127
0.020000,3.736284,1.624769,0.528753,2.597432,2.514694,12.638824,4.587272
0.020000,3.730636,1.572015,0.581809,2.652801,2.768453,12.687945,4.624585
0.020000,3.726968,1.517867,0.636081,2.713576,3.038774,13.516064,4.665371
0.020000,3.725580,1.462299,0.691666,2.779287,3.285564,12.339459,4.709916
0.020000,3.726808,1.405324,0.748655,2.849418,3.506551,11.049368,4.758471
0.020000,3.731025,1.347026,0.807105,2.922527,3.655411,7.443021,4.811205
0.020000,3.738619,1.287583,0.867031,2.996283,3.687809,1.619905,4.868159
0.020000,3.749969,1.227289,0.928384,3.067642,3.567982,-5.991358,4.929195
0.020000,3.765407,1.166575,0.991030,3.132309,3.233327,-16.732784,4.993930
0.020000,3.785164,1.106003,1.054743,3.185651,2.667086,-28.312014,5.061717
0.020000,3.809323,1.046247,1.119198,3.222748,1.854884,-40.610094,5.131626
0.020000,3.837779,0.988034,1.183993,3.239769,0.851051,-50.191675,5.202509
0.020000,3.870228,0.932071,1.248683,3.234481,-0.264438,-55.774445,5.273089
0.020000,3.906195,0.878965,1.312823,3.206994,-1.374317,-55.493929,5.342097
0.020000,3.945091,0.829161,1.376016,3.159665,-2.366447,-49.606510,5.408397
0.020000,3.986278,0.782911,1.437947,3.096526,-3.156959,-39.525614,5.471084
0.020000,4.029140,0.740286,1.498395,3.022424,-3.705095,-27.406817,5.529533
0.020000,4.073127,0.701201,1.557238,2.942145,-4.013974,-15.443923,5.583391
0.020000,4.117782,0.665462,1.614434,2.859782,-4.118158,-5.209233,5.632538
0.020000,4.162745,0.632808,1.670003,2.778486,-4.064771,2.669362,5.677036
0.020000,4.207746,0.602946,1.724011,2.700399,-3.904359,8.020637,5.717069
0.020000,4.252591,0.575578,1.776547,2.626806,-3.679630,11.236446,5.752895
0.020000,4.297144,0.550417,1.827714,2.558325,-3.424091,12.776939,5.784805
0.020000,4.341314,0.527197,1.877616,2.495096,-3.161429,13.133106,5.813101
0.020000,4.385044,0.505673,1.926355,2.436963,-2.906655,12.738686,5.838074
0.020000,4.428296,0.485630,1.974027,2.383567,-2.669786,11.843454,5.859995
0.020000,4.471052,0.466872,2.020716,2.334480,-2.454380,10.770300,5.879110
0.020000,4.513299,0.449227,2.066500,2.289192,-2.264387,9.499633,5.895636
0.020000,4.555032,0.432543,2.111444,2.247218,-2.098690,8.284853,5.909764
0.020000,4.596248,0.416684,2.155606,2.208085,-1.956680,7.100522,5.921655
0.020000,4.636944,0.401529,2.199032,2.171310,-1.838749,5.896551,5.931445
0.020000,4.677117,0.386970,2.241762,2.136484,-1.741299,4.872504,5.939244
0.020000,4.716761,0.372909,2.283826,2.103193,-1.664515,3.839160,5.945141
0.020000,4.755868,0.359257,2.325247,2.071055,-1.606922,2.879683,5.949201
0.020000,4.794425,0.345934,2.366041,2.039706,-1.567446,1.973776,5.951470
0.020000,4.832416,0.332865,2.406217,2.008797,-1.545464,1.099105,5.951973
0.020000,4.869819,0.319983,2.445777,1.977985,-1.540577,0.244348,5.950715
0.020000,4.906608,0.307224,2.484715,1.946929,-1.552785,-0.610370,5.947682
0.020000,4.942749,0.294530,2.523021,1.915284,-1.582281,-1.474802,5.942841
0.020000,4.978203,0.281848,2.560675,1.882692,-1.629580,-2.364993,5.936138
0.020000,5.012922,0.269128,2.597650,1.848782,-1.695505,-3.296227,5.927497
0.020000,5.046850,0.256325,2.633914,1.813172,-1.780489,-4.249195,5.916822
0.020000,5.079923,0.243399,2.669422,1.775428,-1.887227,-5.336922,5.903990
0.020000,5.112065,0.230317,2.704125,1.735124,-2.015162,-6.396713,5.888855
0.020000,5.143191,0.217051,2.737960,1.691775,-2.167459,-7.614849,5.871243
0.020000,5.173206,0.203582,2.770858,1.644903,-2.343632,-8.808648,5.850954
0.020000,5.202002,0.189902,2.802738,1.594006,-2.544835,-10.060185,5.827756
0.020000,5.228358,0.176590,2.832266,1.476356,-5.882518,-166.884137,5.802545
0.020000,5.249151,0.165446,2.855857,1.179590,-14.838265,-447.787334,5.779319
0.020000,5.261807,0.158338,2.870373,0.725755,-22.691749,-392.674230,5.763440
0.020000,5.266976,0.155357,2.876339,0.298332,-21.371176,66.028688,5.756521
0.020000,5.268005,0.154757,2.877530,0.059564,-11.938410,471.638264,5.755111
0.020000,5.268005,0.154757,2.877530,0.000000,-2.978181,448.011457,5.755111
