dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.267265,0.155189,0.003333,0.333333,16.666667,833.333333,2.614533
0.020000,5.259022,0.159925,0.012840,0.475329,7.099804,-478.343113,2.625467
0.020000,5.242006,0.169346,0.032290,0.972526,24.859850,888.002258,2.646083
0.020000,5.217511,0.182170,0.059939,1.382433,20.495327,-218.226122,2.671847
0.020000,5.189446,0.195968,0.091212,1.563646,9.060641,-571.734331,2.696779
0.020000,5.160099,0.209554,0.123552,1.617004,2.667907,-319.636662,2.718663
0.020000,5.129581,0.222932,0.156873,1.666063,2.452959,-10.747394,2.737743
0.020000,5.097995,0.236114,0.191100,1.711319,2.262795,-9.508223,2.754239
0.020000,5.065432,0.249123,0.226165,1.753266,2.097355,-8.271992,2.768337
0.020000,5.031973,0.261990,0.262013,1.792378,1.955594,-7.088040,2.780200
0.020000,4.997688,0.274751,0.298595,1.829130,1.837625,-5.898476,2.789964
0.020000,4.962638,0.287449,0.335874,1.863944,1.740664,-4.848026,2.797739
0.020000,4.926876,0.300130,0.373818,1.897219,1.663749,-3.845759,2.803612
0.020000,4.890444,0.312845,0.412405,1.929349,1.606511,-2.861924,2.807649
0.020000,4.853380,0.325651,0.451619,1.960692,1.567155,-1.967805,2.809895
0.020000,4.815714,0.338608,0.491451,1.991598,1.545318,-1.091833,2.810375
0.020000,4.777471,0.351780,0.531899,2.022411,1.540631,-0.234364,2.809095
0.020000,4.738670,0.365239,0.572969,2.053471,1.552997,0.618311,2.806039
0.020000,4.699325,0.379061,0.614671,2.085123,1.582613,1.480809,2.801175
0.020000,4.659446,0.393331,0.657026,2.117725,1.630101,2.374402,2.794448
0.020000,4.619042,0.408141,0.700059,2.151650,1.696258,3.307844,2.785782
0.020000,4.578116,0.423592,0.743804,2.187279,1.781434,4.258781,2.775079
0.020000,4.536671,0.439799,0.788305,2.225043,1.888197,5.338157,2.762219
0.020000,4.494711,0.456890,0.833613,2.265369,2.016288,6.404576,2.747054
0.020000,4.452238,0.475006,0.879788,2.308753,2.169187,7.644948,2.729409
0.020000,4.409261,0.494309,0.926901,2.355653,2.345003,8.790790,2.709084
0.020000,4.365795,0.514981,0.975032,2.406578,2.546251,10.062427,2.685848
0.020000,4.321865,0.537225,1.024273,2.462025,2.772364,11.305609,2.659443
0.020000,4.277517,0.561271,1.074720,2.522356,3.016570,12.210332,2.629588
0.020000,4.232822,0.587372,1.126478,2.587914,3.277896,13.066295,2.595986
0.020000,4.187888,0.615804,1.179652,2.658688,3.538665,13.038463,2.558338
0.020000,4.142876,0.646862,1.234340,2.734387,3.784970,12.315210,2.516361
0.020000,4.098010,0.680844,1.290621,2.814085,3.984925,9.997781,2.469827
0.020000,4.053600,0.718031,1.348545,2.896179,4.104691,5.988288,2.418599
0.020000,4.010048,0.758660,1.408106,2.978064,4.094251,-0.521986,2.362687
0.020000,3.967853,0.802883,1.469230,3.056173,3.905462,-9.439469,2.302308
0.020000,3.927599,0.850721,1.531751,3.126047,3.493671,-20.589559,2.237931
0.020000,3.889918,0.902026,1.595406,3.182780,2.836649,-32.851067,2.170309
0.020000,3.855436,0.956459,1.659842,3.221764,1.949218,-44.371548,2.100456
0.020000,3.824701,1.013497,1.724634,3.239615,0.892546,-52.833645,2.029582
0.020000,3.798117,1.072481,1.789332,3.234906,-0.235445,-56.399550,1.958977
0.020000,3.775900,1.132686,1.853505,3.208644,-1.313130,-53.884225,1.889875
0.020000,3.758070,1.193398,1.916782,3.163834,-2.240493,-46.368142,1.823337
0.020000,3.744472,1.253989,1.978879,3.104874,-2.947989,-35.374812,1.760171
0.020000,3.734825,1.313952,2.039613,3.036702,-3.408622,-23.031637,1.700906
0.020000,3.728771,1.372918,2.098889,2.963797,-3.645234,-11.830598,1.645809
0.020000,3.725920,1.430648,2.156689,2.890014,-3.689129,-2.194784,1.594934
0.020000,3.725891,1.487007,2.213049,2.817982,-3.601619,4.375524,1.548177
0.020000,3.728325,1.541948,2.268043,2.749711,-3.413543,9.403806,1.505325
0.020000,3.732901,1.595474,2.321764,2.686061,-3.182527,11.550800,1.466110
0.020000,3.739340,1.647632,2.374319,2.627708,-2.917646,13.244056,1.430232
0.020000,3.747400,1.698490,2.425812,2.574650,-2.652895,13.237527,1.397391
0.020000,3.756875,1.748125,2.476343,2.526574,-2.403777,12.455925,1.367295
0.020000,3.767592,1.796622,2.526010,2.483323,-2.162561,12.060796,1.339670
0.020000,3.779402,1.844065,2.574900,2.444547,-1.938778,11.189136,1.314265
0.020000,3.792180,1.890532,2.623093,2.409621,-1.746312,9.623283,1.290853
0.020000,3.805822,1.936102,2.670661,2.378398,-1.561184,9.256401,1.269229
0.020000,3.820237,1.980842,2.717665,2.350217,-1.409005,7.608985,1.249214
0.020000,3.835347,2.024817,2.764164,2.324939,-1.263928,7.253844,1.230644
0.020000,3.850361,2.066143,2.808133,2.198475,-6.323176,-252.962412,1.214132
0.020000,3.863034,2.099502,2.843818,1.784226,-20.712448,-719.463578,1.201431
0.020000,3.871083,2.120059,2.865894,1.103817,-34.020490,-665.402122,1.193871
0.020000,3.874392,2.128383,2.874852,0.447905,-32.795577,61.245658,1.190865
0.020000,3.875033,2.129987,2.876579,0.086348,-18.077840,735.886849,1.190290
0.020000,3.875033,2.129987,2.876579,0.000000,-4.317413,688.021331,1.190290
