dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.619361,0.760192,0.003333,0.333333,16.666667,833.333333,2.614533
0.020000,5.604482,0.768741,0.020493,0.858005,26.233596,478.346446,2.625467
0.020000,5.574841,0.785155,0.054375,1.694088,41.804115,778.525987,2.646083
0.020000,5.534373,0.806349,0.100058,2.284134,29.502315,-615.090007,2.671847
0.020000,5.490649,0.827852,0.148783,2.436248,7.605723,-1094.829585,2.696779
0.020000,5.447402,0.847878,0.196441,2.382919,-2.666455,-513.608900,2.718663
0.020000,5.404653,0.866621,0.243119,2.333877,-2.452124,10.716506,2.737743
0.020000,5.362412,0.884252,0.288892,2.288639,-2.261865,9.512970,2.754239
0.020000,5.320686,0.900925,0.333826,2.246709,-2.096510,8.267762,2.768337
0.020000,5.279477,0.916774,0.377978,2.207594,-1.955761,7.037421,2.780200
0.020000,5.238787,0.931920,0.421395,2.170857,-1.836832,5.946457,2.789964
0.020000,5.198621,0.946472,0.464116,2.136054,-1.740175,4.832885,2.797739
0.020000,5.158984,0.960528,0.506171,2.102774,-1.663980,3.809731,2.803612
0.020000,5.119884,0.974175,0.547584,2.070650,-1.606232,2.887375,2.807649
0.020000,5.081334,0.987495,0.588371,2.039310,-1.566993,1.961954,2.809895
0.020000,5.043351,1.000561,0.628539,2.008405,-1.545257,1.086826,2.810375
0.020000,5.005955,1.013441,0.668090,1.977592,-1.540644,0.230622,2.809095
0.020000,4.969174,1.026199,0.707021,1.946530,-1.553091,-0.622338,2.806039
0.020000,4.933041,1.038892,0.745319,1.914873,-1.582829,-1.486870,2.801175
0.020000,4.897596,1.051575,0.782964,1.882268,-1.630259,-2.371511,2.794448
0.020000,4.862887,1.064296,0.819931,1.848345,-1.696170,-3.295564,2.785782
0.020000,4.828970,1.077100,0.856185,1.812701,-1.782173,-4.300160,2.775079
0.020000,4.795908,1.090027,0.891683,1.774934,-1.888374,-5.310053,2.762219
0.020000,4.763779,1.103111,0.926375,1.734585,-2.017444,-6.453495,2.747054
0.020000,4.732666,1.116380,0.960199,1.691205,-2.168994,-7.577481,2.729409
0.020000,4.702666,1.129851,0.993085,1.644280,-2.346237,-8.862171,2.709084
0.020000,4.673887,1.143534,1.024951,1.593324,-2.547805,-10.078401,2.685848
0.020000,4.646445,1.157425,1.055709,1.537873,-2.772575,-11.238500,2.659443
0.020000,4.620465,1.171506,1.085258,1.477481,-3.019600,-12.351234,2.629588
0.020000,4.596078,1.185741,1.113497,1.411906,-3.278754,-12.957698,2.595986
0.020000,4.573409,1.200076,1.140318,1.341070,-3.541780,-13.151330,2.558338
0.020000,4.552575,1.214442,1.165624,1.265328,-3.787118,-12.266893,2.516361
0.020000,4.533668,1.228751,1.189335,1.185546,-3.989076,-10.097880,2.469827
0.020000,4.516743,1.242911,1.211403,1.103385,-4.108033,-5.947869,2.418599
0.020000,4.501798,1.256838,1.231831,1.021410,-4.098788,0.462288,2.362687
0.020000,4.488769,1.270480,1.250696,0.943212,-3.909910,9.443872,2.302308
0.020000,4.477517,1.283838,1.268161,0.873255,-3.497806,20.605225,2.237931
0.020000,4.467846,1.296994,1.284490,0.816452,-2.840155,32.882510,2.170309
0.020000,4.459522,1.310127,1.300038,0.777414,-1.951911,44.412202,2.100456
0.020000,4.452315,1.323499,1.315229,0.759544,-0.893519,52.919596,2.029582
0.020000,4.446036,1.337435,1.330514,0.764234,0.234495,56.400714,1.958977
0.020000,4.440568,1.352270,1.346324,0.790548,1.315726,54.061576,1.889875
0.020000,4.435867,1.368304,1.363033,0.835427,2.243954,46.411369,1.823337
0.020000,4.431958,1.385760,1.380922,0.894441,2.950703,35.337465,1.760171
0.020000,4.428909,1.404772,1.400176,0.962721,3.413969,23.163314,1.700906
0.020000,4.426802,1.425378,1.420890,1.035675,3.647734,11.688254,1.645809
0.020000,4.425716,1.447543,1.443081,1.109581,3.695305,2.378525,1.594934
0.020000,4.425712,1.471175,1.466714,1.181612,3.601507,-4.689914,1.548177
0.020000,4.426825,1.496150,1.491714,1.250005,3.419661,-9.092276,1.505325
0.020000,4.429069,1.522327,1.517986,1.313618,3.180645,-11.950828,1.466110
0.020000,4.432436,1.549561,1.545427,1.372069,2.922553,-12.904575,1.430232
0.020000,4.436902,1.577714,1.573932,1.425248,2.658968,-13.179270,1.397391
0.020000,4.442431,1.606655,1.603397,1.473252,2.400173,-12.939728,1.367295
0.020000,4.448978,1.636270,1.633727,1.516489,2.161872,-11.915074,1.339670
0.020000,4.456495,1.666456,1.664835,1.555387,1.944888,-10.849172,1.314265
0.020000,4.464930,1.697121,1.696640,1.590228,1.742053,-10.141734,1.290853
0.020000,4.474233,1.728190,1.729071,1.621593,1.568256,-8.689881,1.269229
0.020000,4.484352,1.759594,1.762065,1.649687,1.404684,-8.178577,1.249214
0.020000,4.495239,1.791276,1.795565,1.675010,1.266156,-6.926437,1.230644
0.020000,4.506308,1.821738,1.827977,1.620562,-2.722381,-199.426831,1.214132
0.020000,4.515824,1.846785,1.854770,1.339693,-14.043448,-566.053334,1.201431
0.020000,4.521943,1.862414,1.871554,0.839199,-25.024715,-549.063378,1.193871
0.020000,4.524475,1.868784,1.878409,0.342714,-24.824261,10.022712,1.190865
0.020000,4.524967,1.870013,1.879733,0.066212,-13.825100,549.958060,1.190290
0.020000,4.524967,1.870013,1.879733,0.000000,-3.310581,525.725946,1.190290
