dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000011,2.723400,0.003333,0.333333,16.666667,833.333333,6.283154
0.020000,0.013846,2.723414,0.017190,0.692824,17.974548,65.394069,0.002028
0.020000,0.041910,2.723527,0.045254,1.403206,35.519091,877.227131,0.006021
0.020000,0.080401,2.723861,0.083747,1.924645,26.071953,-472.356896,0.011239
0.020000,0.122265,2.724444,0.125614,2.093379,8.436689,-881.763207,0.016575
0.020000,0.163996,2.725241,0.167353,2.086931,-0.322416,-437.955241,0.021543
0.020000,0.205595,2.726234,0.208964,2.080545,-0.319267,0.157443,0.026146
0.020000,0.247062,2.727408,0.250448,2.074219,-0.316336,0.146563,0.030387
0.020000,0.288400,2.728746,0.291807,2.067946,-0.313616,0.136023,0.034269
0.020000,0.329607,2.730232,0.333042,2.061722,-0.311216,0.120001,0.037796
0.020000,0.370686,2.731852,0.374153,2.055549,-0.308654,0.128057,0.040971
0.020000,0.411638,2.733590,0.415141,2.049419,-0.306477,0.108863,0.043795
0.020000,0.452463,2.735431,0.456008,2.043329,-0.304508,0.098474,0.046271
0.020000,0.493163,2.737360,0.496753,2.037273,-0.302807,0.085055,0.048400
0.020000,0.533738,2.739363,0.537378,2.031248,-0.301240,0.078346,0.050186
0.020000,0.574191,2.741425,0.577883,2.025250,-0.299913,0.066352,0.051629
0.020000,0.614521,2.743533,0.618268,2.019273,-0.298863,0.052477,0.052730
0.020000,0.654731,2.745671,0.658535,2.013312,-0.298059,0.040226,0.053491
0.020000,0.694820,2.747827,0.698682,2.007361,-0.297509,0.027473,0.053911
0.020000,0.734790,2.749987,0.738710,2.001418,-0.297180,0.016447,0.053992
0.020000,0.774641,2.752137,0.778620,1.995475,-0.297120,0.002993,0.053734
0.020000,0.814375,2.754263,0.818410,1.989529,-0.297322,-0.010062,0.053136
0.020000,0.853992,2.756353,0.858082,1.983573,-0.297775,-0.022679,0.052197
0.020000,0.893491,2.758392,0.897634,1.977604,-0.298450,-0.033745,0.050917
0.020000,0.932874,2.760368,0.937066,1.971617,-0.299384,-0.046699,0.049295
0.020000,0.972140,2.762268,0.976378,1.965605,-0.300601,-0.060841,0.047330
0.020000,1.011289,2.764078,1.015570,1.959564,-0.302035,-0.071724,0.045019
0.020000,1.050322,2.765786,1.054639,1.953490,-0.303702,-0.083334,0.042362
0.020000,1.089237,2.767378,1.093587,1.947380,-0.305488,-0.089292,0.039355
0.020000,1.128034,2.768841,1.132412,1.941227,-0.307646,-0.107895,0.035996
0.020000,1.166712,2.770163,1.171112,1.935028,-0.309980,-0.116712,0.032284
0.020000,1.205270,2.771331,1.209688,1.928778,-0.312481,-0.125028,0.028214
0.020000,1.243706,2.772332,1.248137,1.922478,-0.315011,-0.126543,0.023784
0.020000,1.282020,2.773153,1.286460,1.916120,-0.317908,-0.144803,0.018991
0.020000,1.320209,2.773781,1.324654,1.909701,-0.320938,-0.151519,0.013831
0.020000,1.358271,2.774203,1.362718,1.903221,-0.323974,-0.151828,0.008301
0.020000,1.396204,2.774407,1.400652,1.896682,-0.326986,-0.150579,0.002397
0.020000,1.434005,2.774381,1.438453,1.890073,-0.330435,-0.172425,6.279301
0.020000,1.471672,2.774110,1.476121,1.883400,-0.333664,-0.161490,6.272639
0.020000,1.509202,2.773583,1.513655,1.876666,-0.336709,-0.152223,6.265591
0.020000,1.546591,2.772788,1.551052,1.869861,-0.340208,-0.174946,6.258155
