dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.751663,1.200672,0.003333,0.333333,16.666667,833.333333,2.678103
0.020000,7.739733,1.206625,0.016667,1.000000,33.333333,833.333333,2.679429
0.020000,7.715850,1.218487,0.043333,1.666667,33.333333,0.000000,2.681658
0.020000,7.682975,1.234725,0.080000,2.000000,16.666667,-833.333333,2.683812
0.020000,7.647081,1.252379,0.120000,2.000000,0.000000,-833.333333,2.684968
0.020000,7.611178,1.270014,0.160000,2.000000,0.000000,0.000000,2.684883
0.020000,7.575288,1.287674,0.200000,2.000000,0.000000,0.000000,2.683557
0.020000,7.539432,1.305403,0.240000,2.000000,0.000000,0.000000,2.680984
0.020000,7.503633,1.323248,0.280000,2.000000,0.000000,0.000000,2.677151
0.020000,7.467914,1.341252,0.320000,2.000000,0.000000,0.000000,2.672039
0.020000,7.432299,1.359462,0.360000,2.000000,0.000000,0.000000,2.665622
0.020000,7.396815,1.377924,0.400000,2.000000,0.000000,0.000000,2.657871
0.020000,7.361487,1.396684,0.440000,2.000000,0.000000,0.000000,2.648747
0.020000,7.326346,1.415791,0.480000,2.000000,0.000000,0.000000,2.638209
0.020000,7.291422,1.435292,0.520000,2.000000,0.000000,0.000000,2.626208
0.020000,7.256749,1.455237,0.560000,2.000000,0.000000,0.000000,2.612693
0.020000,7.222366,1.475675,0.600000,2.000000,0.000000,0.000000,2.597605
0.020000,7.188311,1.496658,0.640000,2.000000,0.000000,0.000000,2.580885
0.020000,7.154631,1.518235,0.680000,2.000000,0.000000,0.000000,2.562471
0.020000,7.121373,1.540458,0.720000,2.000000,0.000000,0.000000,2.542303
0.020000,7.088590,1.563376,0.760000,2.000000,0.000000,0.000000,2.520322
0.020000,7.056342,1.587040,0.800000,2.000000,0.000000,0.000000,2.496473
0.020000,7.024690,1.611495,0.840000,2.000000,0.000000,0.000000,2.470714
0.020000,6.993703,1.636788,0.880000,2.000000,0.000000,0.000000,2.443014
0.020000,6.963455,1.662958,0.920000,2.000000,0.000000,0.000000,2.413361
0.020000,6.934022,1.690043,0.960000,2.000000,0.000000,0.000000,2.381767
0.020000,6.905486,1.718071,1.000000,2.000000,0.000000,0.000000,2.348275
0.020000,6.877931,1.747063,1.040000,2.000000,0.000000,0.000000,2.312959
0.020000,6.851444,1.777034,1.080000,2.000000,0.000000,0.000000,2.275937
0.020000,6.826108,1.807984,1.120000,2.000000,0.000000,0.000000,2.237365
0.020000,6.802007,1.839905,1.160000,2.000000,0.000000,0.000000,2.197444
0.020000,6.779218,1.872775,1.200000,2.000000,0.000000,0.000000,2.156413
0.020000,6.757812,1.906561,1.240000,2.000000,0.000000,0.000000,2.114546
0.020000,6.737849,1.941220,1.280000,2.000000,0.000000,0.000000,2.072143
0.020000,6.719378,1.976696,1.320000,2.000000,0.000000,0.000000,2.029516
0.020000,6.702434,2.012927,1.360000,2.000000,0.000000,0.000000,1.986982
0.020000,6.687041,2.049843,1.400000,2.000000,0.000000,0.000000,1.944843
0.020000,6.673204,2.087371,1.440000,2.000000,0.000000,0.000000,1.903383
0.020000,6.660917,2.125434,1.480000,2.000000,0.000000,0.000000,1.862849
0.020000,6.650162,2.163958,1.520000,2.000000,0.000000,0.000000,1.823452
0.020000,6.640907,2.202870,1.560000,2.000000,0.000000,0.000000,1.785361
0.020000,6.633113,2.242101,1.600000,2.000000,0.000000,0.000000,1.748703
0.020000,6.626733,2.281587,1.640000,2.000000,0.000000,0.000000,1.713563
0.020000,6.621712,2.321269,1.680000,2.000000,0.000000,0.000000,1.679991
0.020000,6.617995,2.361094,1.720000,2.000000,0.000000,0.000000,1.648006
0.020000,6.615577,2.399851,1.758834,1.883395,-5.830273,-291.513653,1.618464
0.020000,6.614398,2.432998,1.792002,1.433456,-22.496940,-833.333333,1.594392
0.020000,6.614049,2.454997,1.814005,0.766789,-33.333333,-541.819681,1.579002
0.020000,6.614002,2.464833,1.823840,0.216728,-27.503060,291.513653,1.572268
0.020000,6.614000,2.467000,1.826007,0.000000,-10.836394,833.333333,1.570796
0.020000,6.614000,2.467000,1.826007,0.000000,0.000000,541.819681,1.570796
