dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.934351,1.940037,0.003333,0.333333,16.666667,833.333333,3.880839
0.020000,7.931256,1.937141,0.007572,0.211945,-6.069419,-1136.804269,3.906823
0.020000,7.925437,1.931252,0.015852,0.413972,10.101362,808.539014,3.959355
0.020000,7.918020,1.922739,0.027142,0.564525,7.527632,-128.686457,4.031851
0.020000,7.910351,1.912461,0.039966,0.641208,3.834177,-184.672768,4.109487
0.020000,7.902823,1.900581,0.054030,0.703188,3.098975,-36.760082,4.183581
0.020000,7.895290,1.886565,0.069942,0.795619,4.621567,76.129558,4.252394
0.020000,7.887747,1.870010,0.088135,0.909609,5.699487,53.896019,4.314693
0.020000,7.880275,1.850687,0.108852,1.035888,6.313946,30.722932,4.369778
0.020000,7.872985,1.828522,0.132185,1.166641,6.537680,11.186709,4.417392
0.020000,7.865971,1.803562,0.158112,1.296326,6.484233,-2.672341,4.457597
0.020000,7.859283,1.775926,0.186546,1.421688,6.268075,-10.807886,4.490640
0.020000,7.852919,1.745764,0.217372,1.541322,5.981722,-14.317684,4.516847
0.020000,7.846829,1.713226,0.250475,1.655152,5.691482,-14.511975,4.536552
0.020000,7.840912,1.678447,0.285754,1.763952,5.440002,-12.574020,4.550039
0.020000,7.835027,1.641533,0.323134,1.869013,5.253074,-9.346366,4.557524
0.020000,7.828994,1.602559,0.362572,1.971899,5.144303,-5.438576,4.559130
0.020000,7.822593,1.561569,0.404058,2.074306,5.120325,-1.198874,4.554884
0.020000,7.815562,1.518582,0.447617,2.177954,5.182392,3.103337,4.544714
0.020000,7.807591,1.473592,0.493307,2.284491,5.326880,7.224387,4.528456
0.020000,7.798319,1.426591,0.541215,2.395381,5.544483,10.880151,4.505860
0.020000,7.787322,1.377575,0.591449,2.511715,5.816697,13.610691,4.476614
0.020000,7.774114,1.326579,0.644128,2.633932,6.110842,14.707258,4.440381
0.020000,7.758145,1.273710,0.699356,2.761416,6.374216,13.168690,4.396859
0.020000,7.738824,1.219192,0.757196,2.891996,6.529015,7.739963,4.345870
0.020000,7.715553,1.163424,0.817625,3.021428,6.471564,-2.872536,4.287478
0.020000,7.687801,1.107019,0.880487,3.143108,6.084026,-19.376914,4.222126
0.020000,7.655200,1.050823,0.945455,3.248422,5.265716,-40.915468,4.150748
0.020000,7.617649,0.995867,1.012015,3.328004,3.979088,-64.331439,4.074816
0.020000,7.575388,0.943260,1.079494,3.373947,2.297138,-84.097469,3.996255
0.020000,7.529000,0.894030,1.147137,3.382125,0.408891,-94.412343,3.917226
0.020000,7.479325,0.848962,1.214210,3.353650,-1.423740,-91.631573,3.839826
0.020000,7.428840,0.809613,1.278218,3.200391,-7.662964,-311.961222,3.767892
0.020000,7.384585,0.779525,1.331732,2.675719,-26.233598,-928.531674,3.709828
0.020000,7.354880,0.761318,1.366573,1.742071,-46.682394,-1022.439804,3.673258
0.020000,7.341539,0.753613,1.381979,0.770293,-48.588872,-95.323906,3.657431
0.020000,7.338591,0.751949,1.385364,0.169248,-30.052249,926.831164,3.653982
0.020000,7.338591,0.751949,1.385364,0.000000,-8.462420,1079.491458,3.653982
