dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.698546,2.198679,0.003333,0.333333,16.666667,833.333333,3.880839
0.020000,7.688810,2.189569,0.016667,1.000000,33.333333,833.333333,3.906823
0.020000,7.670071,2.170601,0.043333,1.666667,33.333333,0.000000,3.959355
0.020000,7.645988,2.142963,0.080000,2.000000,16.666667,-833.333333,4.031851
0.020000,7.622058,2.110923,0.120000,2.000000,0.000000,-833.333333,4.109487
0.020000,7.600630,2.077158,0.160000,2.000000,0.000000,0.000000,4.183581
0.020000,7.581671,2.041945,0.200000,2.000000,0.000000,0.000000,4.252394
0.020000,7.565062,2.005564,0.240000,2.000000,0.000000,0.000000,4.314693
0.020000,7.550617,1.968269,0.280000,2.000000,0.000000,0.000000,4.369778
0.020000,7.538104,1.930280,0.320000,2.000000,0.000000,0.000000,4.417392
0.020000,7.527271,1.891778,0.360000,2.000000,0.000000,0.000000,4.457597
0.020000,7.517853,1.852904,0.400000,2.000000,0.000000,0.000000,4.490640
0.020000,7.509589,1.813768,0.440000,2.000000,0.000000,0.000000,4.516847
0.020000,7.502225,1.774453,0.480000,2.000000,0.000000,0.000000,4.536552
0.020000,7.495514,1.735020,0.520000,2.000000,0.000000,0.000000,4.550039
0.020000,7.489216,1.695519,0.560000,2.000000,0.000000,0.000000,4.557524
0.020000,7.483097,1.655990,0.600000,2.000000,0.000000,0.000000,4.559130
0.020000,7.476926,1.616469,0.640000,2.000000,0.000000,0.000000,4.554884
0.020000,7.470471,1.576993,0.680000,2.000000,0.000000,0.000000,4.544714
0.020000,7.463495,1.537606,0.720000,2.000000,0.000000,0.000000,4.528456
0.020000,7.455757,1.498363,0.760000,2.000000,0.000000,0.000000,4.505860
0.020000,7.447005,1.459334,0.800000,2.000000,0.000000,0.000000,4.476614
0.020000,7.436982,1.420612,0.840000,2.000000,0.000000,0.000000,4.440381
0.020000,7.425424,1.382322,0.880000,2.000000,0.000000,0.000000,4.396859
0.020000,7.412071,1.344621,0.920000,2.000000,0.000000,0.000000,4.345870
0.020000,7.396677,1.307708,0.960000,2.000000,0.000000,0.000000,4.287478
0.020000,7.379028,1.271820,1.000000,2.000000,0.000000,0.000000,4.222126
0.020000,7.358966,1.237224,1.040000,2.000000,0.000000,0.000000,4.150748
0.020000,7.336409,1.204203,1.080000,2.000000,0.000000,0.000000,4.074816
0.020000,7.311366,1.173026,1.120000,2.000000,0.000000,0.000000,3.996255
0.020000,7.283941,1.143922,1.160000,2.000000,0.000000,0.000000,3.917226
0.020000,7.254322,1.117054,1.200000,2.000000,0.000000,0.000000,3.839826
0.020000,7.223688,1.093184,1.238844,1.884436,-5.778217,-288.910840,3.767892
0.020000,7.196234,1.074523,1.272044,1.435538,-22.444883,-833.333333,3.709828
0.020000,7.177440,1.063005,1.294088,0.768871,-33.333333,-544.422493,3.673258
0.020000,7.168896,1.058071,1.303955,0.217769,-27.555117,288.910840,3.657431
0.020000,7.167000,1.057000,1.306132,0.000000,-10.888450,833.333333,3.653982
0.020000,7.167000,1.057000,1.306132,0.000000,0.000000,544.422493,3.653982
