dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.462740,2.457321,0.003333,0.333333,16.666667,833.333333,3.880839
0.020000,7.446364,2.441997,0.025760,1.121344,39.400537,1136.693497,3.906823
0.020000,7.414705,2.409951,0.070808,2.252380,56.551817,857.564023,3.959355
0.020000,7.373956,2.363187,0.132834,3.101331,42.447555,-705.213122,4.031851
0.020000,7.333765,2.309386,0.199990,3.357783,12.822596,-1481.247945,4.109487
0.020000,7.298437,2.253734,0.265908,3.295895,-3.094434,-795.851472,4.183581
0.020000,7.268052,2.197326,0.329980,3.203587,-4.615391,-76.047861,4.252394
0.020000,7.242378,2.141117,0.391775,3.089742,-5.692243,-53.842611,4.314693
0.020000,7.220958,2.085850,0.451047,2.963603,-6.306930,-30.734350,4.369778
0.020000,7.203223,2.032038,0.507706,2.832982,-6.531091,-11.208055,4.417392
0.020000,7.188570,1.979993,0.561774,2.703402,-6.478983,2.605431,4.457597
0.020000,7.176423,1.929882,0.613337,2.578130,-6.263581,10.770057,4.490640
0.020000,7.166260,1.881772,0.662508,2.458564,-5.978303,14.263902,4.516847
0.020000,7.157622,1.835679,0.709404,2.344786,-5.688917,14.469332,4.536552
0.020000,7.150116,1.791593,0.754124,2.236018,-5.438412,12.525234,4.550039
0.020000,7.143404,1.749505,0.796744,2.130979,-5.251939,9.323666,4.557524
0.020000,7.137199,1.709421,0.837306,2.028101,-5.143877,5.403068,4.559130
0.020000,7.131258,1.671368,0.875820,1.925692,-5.120474,1.170163,4.554884
0.020000,7.125379,1.635405,0.912260,1.822031,-5.183043,-3.128440,4.544714
0.020000,7.119399,1.601620,0.946570,1.715465,-5.328283,-7.262011,4.528456
0.020000,7.113195,1.570135,0.978660,1.604533,-5.546620,-10.916862,4.505860
0.020000,7.106688,1.541092,1.008423,1.488143,-5.819519,-13.644912,4.476614
0.020000,7.099850,1.514645,1.035740,1.365851,-6.114564,-14.752260,4.440381
0.020000,7.092703,1.490933,1.060506,1.238268,-6.379145,-13.229046,4.396859
0.020000,7.085318,1.470049,1.082657,1.107568,-6.535011,-7.793300,4.345870
0.020000,7.077800,1.451992,1.102217,0.978002,-6.478302,2.835439,4.287478
0.020000,7.070255,1.436620,1.119341,0.856177,-6.091281,19.351057,4.222126
0.020000,7.062733,1.423626,1.134355,0.750726,-5.272552,40.936438,4.150748
0.020000,7.055169,1.412540,1.147776,0.671026,-3.984958,64.379683,4.074816
0.020000,7.047344,1.402792,1.160276,0.625020,-2.300318,84.232031,3.996255
0.020000,7.038882,1.393814,1.172612,0.616824,-0.409782,94.526800,3.917226
0.020000,7.029319,1.385147,1.185519,0.645342,1.425890,91.783610,3.839826
0.020000,7.018535,1.376754,1.199184,0.683225,1.894133,23.412129,3.767892
0.020000,7.007884,1.369522,1.212059,0.643757,-1.973371,-193.375186,3.709828
0.020000,7.000001,1.364693,1.221303,0.462223,-9.076733,-355.168131,3.673258
0.020000,6.996254,1.362529,1.225630,0.216323,-12.294982,-160.912435,3.657431
0.020000,6.995409,1.362051,1.226601,0.048553,-8.388507,195.323731,3.653982
0.020000,6.995409,1.362051,1.226601,0.000000,-2.427647,298.043017,3.653982
