dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.524306,1.868360,0.003333,0.333333,16.666667,833.333333,4.332865
0.020000,4.520216,1.858011,0.014461,0.556400,11.153335,-275.666595,4.339166
0.020000,4.512328,1.837470,0.036465,1.100181,27.189038,801.785187,4.352489
0.020000,4.502152,1.809602,0.066132,1.483366,19.159276,-401.488135,4.372485
0.020000,4.491998,1.779769,0.097646,1.575677,4.615527,-727.187426,4.396730
0.020000,4.482905,1.750628,0.128173,1.526343,-2.466683,-354.110515,4.423794
0.020000,4.474946,1.722298,0.157599,1.471313,-2.751503,-14.240977,4.454001
0.020000,4.468189,1.694920,0.185799,1.409985,-3.066425,-15.746127,4.487712
0.020000,4.462690,1.668652,0.212636,1.341861,-3.406200,-16.988756,4.525316
0.020000,4.458486,1.643671,0.237969,1.266659,-3.760064,-17.693195,4.567216
0.020000,4.455590,1.620158,0.261659,1.184519,-4.107027,-17.348119,4.613809
0.020000,4.453979,1.598292,0.283584,1.096232,-4.414333,-15.365302,4.665446
0.020000,4.453590,1.578225,0.303656,1.003574,-4.632896,-10.928171,4.722376
0.020000,4.454320,1.560047,0.321848,0.909617,-4.697840,-3.247205,4.784675
0.020000,4.456037,1.543759,0.338227,0.818939,-4.533902,8.196909,4.852156
0.020000,4.458603,1.529233,0.352977,0.737532,-4.070369,23.176622,4.924288
0.020000,4.461917,1.516203,0.366422,0.672218,-3.265724,40.232272,5.000152
0.020000,4.465955,1.504278,0.379011,0.629491,-2.136339,56.469257,5.078457
0.020000,4.470801,1.492994,0.391292,0.614038,-0.772635,68.185203,5.157646
0.020000,4.476650,1.481892,0.403841,0.627462,0.671196,72.191517,5.236067
0.020000,4.483773,1.470593,0.417198,0.667816,2.017718,67.326141,5.312183
0.020000,4.492459,1.458853,0.431802,0.730186,3.118505,55.039313,5.384734
0.020000,4.502961,1.446570,0.447962,0.808014,3.891361,38.642818,5.452839
0.020000,4.515453,1.433763,0.465853,0.894559,4.327250,21.794459,5.515998
0.020000,4.530022,1.420533,0.485533,0.983992,4.471647,7.219828,5.574048
0.020000,4.546667,1.407022,0.506971,1.071916,4.396211,-3.771804,5.627074
0.020000,4.565321,1.393383,0.530079,1.155416,4.174997,-11.060702,5.675330
0.020000,4.584654,1.380533,0.553293,1.160666,0.262534,-195.623143,5.716780
0.020000,4.601062,1.370450,0.572552,0.962968,-9.884915,-507.372454,5.746992
0.020000,4.611153,1.364568,0.584232,0.583975,-18.949672,-453.237849,5.763783
0.020000,4.614968,1.362403,0.588618,0.219336,-18.231951,35.886072,5.769823
0.020000,4.615591,1.362051,0.589334,0.035784,-9.177586,452.718234,5.770796
0.020000,4.615591,1.362051,0.589334,0.000000,-1.789196,369.419501,5.770796
