dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.874117,2.127694,0.003333,0.333333,16.666667,833.333333,4.332865
0.020000,3.868406,2.113243,0.018872,0.776930,22.179848,275.659064,4.339166
0.020000,3.857175,2.083996,0.050201,1.566465,39.476737,864.844470,4.352489
0.020000,3.842201,2.042979,0.093866,2.183239,30.838720,-431.900848,4.372485
0.020000,3.826583,1.997079,0.142351,2.424230,12.049503,-939.460879,4.396730
0.020000,3.811854,1.949852,0.191821,2.473534,2.465232,-479.213559,4.423794
0.020000,3.798184,1.901164,0.242392,2.528533,2.749953,14.236057,4.454001
0.020000,3.785783,1.850874,0.294188,2.589823,3.064498,15.727275,4.487712
0.020000,3.774903,1.798841,0.347347,2.657907,3.404204,16.985310,4.525316
0.020000,3.765849,1.744935,0.402008,2.733048,3.757019,17.640707,4.567216
0.020000,3.758988,1.689052,0.458310,2.815120,4.103637,17.330910,4.613809
0.020000,3.754750,1.631141,0.516376,2.903322,4.410084,15.322372,4.665446
0.020000,3.753625,1.571234,0.576294,2.995882,4.628002,10.895902,4.722376
0.020000,3.756148,1.509491,0.638089,3.089734,4.692573,3.228538,4.784675
0.020000,3.762863,1.446240,0.701695,3.180303,4.528456,-8.205844,4.852156
0.020000,3.774260,1.382011,0.766927,3.261598,4.064781,-23.183740,4.924288
0.020000,3.790700,1.317538,0.833463,3.326820,3.261088,-40.184668,5.000152
0.020000,3.812335,1.253716,0.900853,3.369484,2.133174,-56.395717,5.078457
0.020000,3.839051,1.191512,0.968551,3.384915,0.771577,-68.079849,5.157646
0.020000,3.870460,1.131843,1.035981,3.371511,-0.670214,-72.089519,5.236067
0.020000,3.905956,1.075463,1.102606,3.331213,-2.014907,-67.234683,5.312183
0.020000,3.944805,1.022878,1.167984,3.268932,-3.114057,-54.957460,5.384734
0.020000,3.986245,0.974337,1.231808,3.191213,-3.885942,-38.594293,5.452839
0.020000,4.029574,0.929857,1.293904,3.104776,-4.321831,-21.794439,5.515998
0.020000,4.074197,0.889286,1.354213,3.015443,-4.466671,-7.242010,5.574048
0.020000,4.119639,0.852362,1.412765,2.927611,-4.391558,3.755693,5.627074
0.020000,4.165545,0.818771,1.469649,2.844208,-4.170190,11.068392,5.675330
0.020000,4.209032,0.789848,1.521875,2.611305,-11.645128,-373.746904,5.716780
0.020000,4.243455,0.768688,1.562282,2.020344,-29.548054,-895.146334,5.746992
0.020000,4.263700,0.756887,1.585715,1.171663,-42.434040,-644.299286,5.763783
0.020000,4.271192,0.752634,1.594331,0.430757,-37.045310,269.436489,5.769823
0.020000,4.272409,0.751949,1.595727,0.069819,-18.046905,949.920291,5.770796
0.020000,4.272409,0.751949,1.595727,0.000000,-3.490946,727.797950,5.770796
