dt,x,y,position,startVelocity,acceleration,jerk,heading
0.020000,0.000000,3.000000,0.003333,0.333333,16.666667,833.333333,6.256882
0.020000,0.011696,2.999679,0.016667,1.000000,33.333333,833.333333,6.254924
0.020000,0.038350,2.998874,0.043333,1.666667,33.333333,0.000000,6.250997
0.020000,0.074994,2.997594,0.080000,2.000000,16.666667,-833.333333,6.245577
0.020000,0.114961,2.995972,0.120000,2.000000,0.000000,-833.333333,6.239636
0.020000,0.154918,2.994111,0.160000,2.000000,0.000000,0.000000,6.233666
0.020000,0.194863,2.992011,0.200000,2.000000,0.000000,0.000000,6.227667
0.020000,0.234794,2.989672,0.240000,2.000000,0.000000,0.000000,6.221640
0.020000,0.274711,2.987091,0.280000,2.000000,0.000000,0.000000,6.215585
0.020000,0.314611,2.984267,0.320000,2.000000,0.000000,0.000000,6.209503
0.020000,0.354493,2.981201,0.360000,2.000000,0.000000,0.000000,6.203395
0.020000,0.394356,2.977891,0.400000,2.000000,0.000000,0.000000,6.197260
0.020000,0.434198,2.974335,0.440000,2.000000,0.000000,0.000000,6.191100
0.020000,0.474016,2.970534,0.480000,2.000000,0.000000,0.000000,6.184914
0.020000,0.513811,2.966486,0.520000,2.000000,0.000000,0.000000,6.178704
0.020000,0.553580,2.962190,0.560000,2.000000,0.000000,0.000000,6.172470
0.020000,0.593321,2.957646,0.600000,2.000000,0.000000,0.000000,6.166213
0.020000,0.633032,2.952854,0.640000,2.000000,0.000000,0.000000,6.159934
0.020000,0.672713,2.947811,0.680000,2.000000,0.000000,0.000000,6.153632
0.020000,0.712361,2.942518,0.720000,2.000000,0.000000,0.000000,6.147309
0.020000,0.751975,2.936974,0.760000,2.000000,0.000000,0.000000,6.140965
0.020000,0.791553,2.931179,0.800000,2.000000,0.000000,0.000000,6.134602
0.020000,0.831093,2.925131,0.840000,2.000000,0.000000,0.000000,6.128219
0.020000,0.870594,2.918831,0.880000,2.000000,0.000000,0.000000,6.121817
0.020000,0.910053,2.912277,0.920000,2.000000,0.000000,0.000000,6.115398
0.020000,0.949470,2.905471,0.960000,2.000000,0.000000,0.000000,6.108962
0.020000,0.988842,2.898410,1.000000,2.000000,0.000000,0.000000,6.102509
0.020000,1.028167,2.891095,1.040000,2.000000,0.000000,0.000000,6.096041
0.020000,1.067444,2.883525,1.080000,2.000000,0.000000,0.000000,6.089558
0.020000,1.106671,2.875701,1.120000,2.000000,0.000000,0.000000,6.083062
0.020000,1.145847,2.867622,1.160000,2.000000,0.000000,0.000000,6.076552
0.020000,1.184969,2.859288,1.200000,2.000000,0.000000,0.000000,6.070030
0.020000,1.224036,2.850698,1.240000,2.000000,0.000000,0.000000,6.063496
0.020000,1.263046,2.841854,1.280000,2.000000,0.000000,0.000000,6.056952
0.020000,1.301997,2.832754,1.320000,2.000000,0.000000,0.000000,6.050399
0.020000,1.340887,2.823399,1.360000,2.000000,0.000000,0.000000,6.043836
0.020000,1.379716,2.813788,1.400000,2.000000,0.000000,0.000000,6.037265
0.020000,1.418480,2.803923,1.440000,2.000000,0.000000,0.000000,6.030688
0.020000,1.457178,2.793802,1.480000,2.000000,0.000000,0.000000,6.024104
0.020000,1.495809,2.783427,1.520000,2.000000,0.000000,0.000000,6.017514
0.020000,1.534371,2.772798,1.560000,2.000000,0.000000,0.000000,6.010921
0.020000,1.572862,2.761914,1.600000,2.000000,0.000000,0.000000,6.004323
0.020000,1.611280,2.750777,1.640000,2.000000,0.000000,0.000000,5.997723
0.020000,1.649624,2.739386,1.680000,2.000000,0.000000,0.000000,5.991122
0.020000,1.687892,2.727743,1.720000,2.000000,0.000000,0.000000,5.984519
0.020000,1.726082,2.715847,1.760000,2.000000,0.000000,0.000000,5.977917
0.020000,1.764192,2.703699,1.800000,2.000000,0.000000,0.000000,5.971315
0.020000,1.802222,2.691300,1.840000,2.000000,0.000000,0.000000,5.964716
0.020000,1.840169,2.678650,1.880000,2.000000,0.000000,0.000000,5.958119
0.020000,1.878032,2.665751,1.920000,2.000000,0.000000,0.000000,5.951526
0.020000,1.915809,2.652602,1.960000,2.000000,0.000000,0.000000,5.944937
0.020000,1.953498,2.639204,2.000000,2.000000,0.000000,0.000000,5.938354
0.020000,1.991099,2.625559,2.040000,2.000000,0.000000,0.000000,5.931778
0.020000,2.028609,2.611667,2.080000,2.000000,0.000000,0.000000,5.925208
0.020000,2.066027,2.597529,2.120000,2.000000,0.000000,0.000000,5.918647
0.020000,2.103351,2.583146,2.160000,2.000000,0.000000,0.000000,5.912095
0.020000,2.140581,2.568519,2.200000,2.000000,0.000000,0.000000,5.905553
0.020000,2.177714,2.553648,2.240000,2.000000,0.000000,0.000000,5.899021
0.020000,2.214750,2.538536,2.280000,2.000000,0.000000,0.000000,5.892501
0.020000,2.251686,2.523183,2.320000,2.000000,0.000000,0.000000,5.885994
0.020000,2.288521,2.507590,2.360000,2.000000,0.000000,0.000000,5.879499
0.020000,2.325255,2.491759,2.400000,2.000000,0.000000,0.000000,5.873019
0.020000,2.361885,2.475690,2.440000,2.000000,0.000000,0.000000,5.866554
