dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000001,2.650000,0.003333,0.333333,16.666667,833.333333,6.283183
0.020000,0.013146,2.650001,0.016480,0.657324,16.199523,-23.357177,0.000115
0.020000,0.039866,2.650006,0.043200,1.336019,33.934741,886.760892,0.000268
0.020000,0.076545,2.650017,0.079879,1.833952,24.896685,-451.902776,0.000304
0.020000,0.116477,2.650026,0.119812,1.996617,8.133239,-838.172321,0.000110
0.020000,0.156325,2.650023,0.159659,1.992380,-0.211879,-417.255906,6.282860
0.020000,0.196088,2.649997,0.199422,1.988136,-0.212166,-0.014362,6.282182
0.020000,0.235765,2.649940,0.239100,1.983883,-0.212653,-0.024357,6.281261
0.020000,0.275358,2.649842,0.278692,1.979617,-0.213330,-0.033809,6.280096
0.020000,0.314864,2.649693,0.318199,1.975333,-0.214166,-0.041834,6.278687
0.020000,0.354284,2.649483,0.357619,1.971031,-0.215110,-0.047173,6.277032
0.020000,0.393617,2.649205,0.396953,1.966706,-0.216273,-0.058154,6.275129
0.020000,0.432863,2.648847,0.436200,1.962352,-0.217661,-0.069406,6.272978
0.020000,0.472019,2.648401,0.475360,1.957969,-0.219170,-0.075472,6.270576
0.020000,0.511087,2.647858,0.514431,1.953555,-0.220692,-0.076064,6.267922
0.020000,0.550063,2.647207,0.553413,1.949103,-0.222603,-0.095584,6.265014
0.020000,0.588948,2.646439,0.592305,1.944610,-0.224633,-0.101456,6.261849
0.020000,0.627739,2.645546,0.631107,1.940077,-0.226663,-0.101514,6.258424
0.020000,0.666436,2.644517,0.669817,1.935499,-0.228893,-0.111520,6.254739
0.020000,0.705035,2.643343,0.708434,1.930870,-0.231471,-0.128903,6.250789
0.020000,0.743536,2.642015,0.746958,1.926192,-0.233889,-0.120901,6.246571
0.020000,0.781936,2.640523,0.785387,1.921461,-0.236538,-0.132456,6.242083
0.020000,0.820234,2.638858,0.823720,1.916670,-0.239545,-0.150338,6.237322
0.020000,0.858425,2.637010,0.861957,1.911827,-0.242145,-0.129986,6.232283
0.020000,0.896509,2.634969,0.900095,1.906919,-0.245415,-0.163529,6.226964
0.020000,0.934482,2.632726,0.938134,1.901950,-0.248437,-0.151067,6.221362
0.020000,0.972341,2.630271,0.976073,1.896920,-0.251531,-0.154711,6.215472
0.020000,1.010083,2.627596,1.013909,1.891820,-0.254975,-0.172206,6.209290
0.020000,1.047704,2.624689,1.051642,1.886661,-0.257962,-0.149338,6.202814
0.020000,1.085200,2.621542,1.089271,1.881429,-0.261616,-0.182714,6.196038
0.020000,1.122569,2.618145,1.126794,1.876137,-0.264585,-0.148432,6.188961
0.020000,1.159805,2.614488,1.164209,1.870773,-0.268191,-0.180307,6.181577
0.020000,1.196905,2.610562,1.201516,1.865349,-0.271235,-0.152201,6.173882
0.020000,1.233864,2.606358,1.238713,1.859858,-0.274502,-0.163349,6.165875
0.020000,1.270677,2.601865,1.275799,1.854305,-0.277699,-0.159867,6.157550
0.020000,1.307339,2.597074,1.312773,1.848698,-0.280320,-0.131026,6.148904
0.020000,1.343846,2.591977,1.349634,1.843029,-0.283464,-0.157233,6.139935
0.020000,1.380191,2.586563,1.386380,1.837311,-0.285874,-0.120465,6.130639
0.020000,1.416369,2.580823,1.423011,1.831550,-0.288086,-0.110594,6.121013
0.020000,1.452376,2.574749,1.459526,1.825743,-0.290329,-0.112146,6.111056
0.020000,1.488203,2.568332,1.495924,1.819903,-0.291982,-0.082675,6.100765
0.020000,1.523847,2.561562,1.532205,1.814043,-0.293010,-0.051396,6.090140
0.020000,1.559300,2.554431,1.568368,1.808161,-0.294121,-0.055550,6.079178
0.020000,1.594556,2.546930,1.604414,1.802272,-0.294453,-0.016600,6.067880
0.020000,1.629610,2.539051,1.640341,1.796387,-0.294235,0.010882,6.056245
0.020000,1.664453,2.530786,1.676152,1.790521,-0.293318,0.045890,6.044276
0.020000,1.699081,2.522127,1.711845,1.784682,-0.291924,0.069654,6.031973
0.020000,1.733486,2.513067,1.747423,1.778887,-0.289763,0.108071,6.019338
0.020000,1.767661,2.503598,1.782886,1.773151,-0.286786,0.148875,6.006376
0.020000,1.801600,2.493712,1.818236,1.767492,-0.282982,0.190197,5.993091
0.020000,1.835298,2.483404,1.853475,1.761926,-0.278301,0.234009,5.979487
0.020000,1.868746,2.472667,1.888604,1.756472,-0.272692,0.280494,5.965572
0.020000,1.901939,2.461494,1.923627,1.751148,-0.266170,0.326085,5.951353
0.020000,1.934870,2.449880,1.958546,1.745976,-0.258618,0.377609,5.936838
0.020000,1.967534,2.437818,1.993366,1.740975,-0.250042,0.428777,5.922038
0.020000,1.999924,2.425305,2.028089,1.736167,-0.240431,0.480581,5.906963
0.020000,2.032035,2.412336,2.062721,1.731571,-0.229776,0.532706,5.891625
0.020000,2.063862,2.398905,2.097265,1.727208,-0.218157,0.580975,5.876038
0.020000,2.095398,2.385009,2.131727,1.723098,-0.205505,0.632591,5.860216
0.020000,2.126639,2.370644,2.166112,1.719263,-0.191755,0.687482,5.844175
0.020000,2.157580,2.355808,2.200426,1.715720,-0.177114,0.732078,5.827931
0.020000,2.188217,2.340497,2.234676,1.712489,-0.161577,0.776828,5.811503
0.020000,2.218545,2.324709,2.268868,1.709575,-0.145703,0.793694,5.794909
0.020000,2.248561,2.308442,2.303008,1.707010,-0.128260,0.872188,5.778168
0.020000,2.278261,2.291695,2.337104,1.704800,-0.110494,0.888276,5.761300
0.020000,2.307641,2.274467,2.371163,1.702939,-0.093030,0.873203,5.744327
0.020000,2.336698,2.256756,2.405192,1.701465,-0.073689,0.967067,5.727268
0.020000,2.365430,2.238563,2.439199,1.700359,-0.055338,0.917549,5.710147
0.020000,2.393833,2.219889,2.473192,1.699639,-0.035967,0.968531,5.692985
0.020000,2.421906,2.200733,2.507178,1.699291,-0.017396,0.928548,5.675803
0.020000,2.449647,2.181097,2.541165,1.699337,0.002289,0.984284,5.658623
0.020000,2.477052,2.160983,2.575159,1.699738,0.020043,0.887678,5.641467
