dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,3.073000,0.003333,0.333333,16.666667,833.333333,6.283095
0.020000,0.012861,3.073016,0.016667,1.000000,33.333333,833.333333,0.002429
0.020000,0.039527,3.073146,0.043333,1.666667,33.333333,0.000000,0.007291
0.020000,0.076192,3.073530,0.080000,2.000000,16.666667,-833.333333,0.013594
0.020000,0.116186,3.074203,0.120000,2.000000,0.000000,-833.333333,0.019978
0.020000,0.156176,3.075121,0.160000,2.000000,0.000000,0.000000,0.025859
0.020000,0.196159,3.076265,0.200000,2.000000,0.000000,0.000000,0.031249
0.020000,0.236136,3.077615,0.240000,2.000000,0.000000,0.000000,0.036159
0.020000,0.276107,3.079151,0.280000,2.000000,0.000000,0.000000,0.040598
0.020000,0.316071,3.080855,0.320000,2.000000,0.000000,0.000000,0.044574
0.020000,0.356028,3.082710,0.360000,2.000000,0.000000,0.000000,0.048096
0.020000,0.395978,3.084696,0.400000,2.000000,0.000000,0.000000,0.051171
0.020000,0.435923,3.086796,0.440000,2.000000,0.000000,0.000000,0.053804
0.020000,0.475863,3.088992,0.480000,2.000000,0.000000,0.000000,0.056001
0.020000,0.515798,3.091268,0.520000,2.000000,0.000000,0.000000,0.057767
0.020000,0.555730,3.093605,0.560000,2.000000,0.000000,0.000000,0.059104
0.020000,0.595659,3.095987,0.600000,2.000000,0.000000,0.000000,0.060015
0.020000,0.635586,3.098398,0.640000,2.000000,0.000000,0.000000,0.060503
0.020000,0.675513,3.100819,0.680000,2.000000,0.000000,0.000000,0.060568
0.020000,0.715440,3.103235,0.720000,2.000000,0.000000,0.000000,0.060210
0.020000,0.755368,3.105627,0.760000,2.000000,0.000000,0.000000,0.059428
0.020000,0.795299,3.107980,0.800000,2.000000,0.000000,0.000000,0.058222
0.020000,0.835233,3.110277,0.840000,2.000000,0.000000,0.000000,0.056589
0.020000,0.875171,3.112499,0.880000,2.000000,0.000000,0.000000,0.054524
0.020000,0.915114,3.114631,0.920000,2.000000,0.000000,0.000000,0.052025
0.020000,0.955063,3.116654,0.960000,2.000000,0.000000,0.000000,0.049087
0.020000,0.995018,3.118550,1.000000,2.000000,0.000000,0.000000,0.045703
0.020000,1.034979,3.120303,1.040000,2.000000,0.000000,0.000000,0.041866
0.020000,1.074948,3.121892,1.080000,2.000000,0.000000,0.000000,0.037570
0.020000,1.114923,3.123301,1.120000,2.000000,0.000000,0.000000,0.032806
0.020000,1.154905,3.124510,1.160000,2.000000,0.000000,0.000000,0.027564
0.020000,1.194892,3.125500,1.200000,2.000000,0.000000,0.000000,0.021834
0.020000,1.234885,3.126250,1.240000,2.000000,0.000000,0.000000,0.015606
0.020000,1.274882,3.126741,1.280000,2.000000,0.000000,0.000000,0.008867
0.020000,1.314882,3.126952,1.320000,2.000000,0.000000,0.000000,0.001605
0.020000,1.354881,3.126862,1.360000,2.000000,0.000000,0.000000,6.276991
0.020000,1.394879,3.126450,1.400000,2.000000,0.000000,0.000000,6.268641
0.020000,1.434872,3.125691,1.440000,2.000000,0.000000,0.000000,6.259724
