dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.594208,1.257705,0.003333,0.333333,16.666667,833.333333,2.676654
0.020000,7.579717,1.265050,0.019579,0.812286,23.947636,364.048487,2.668332
0.020000,7.550776,1.280182,0.052237,1.632901,41.030735,854.154944,2.651213
0.020000,7.511096,1.301994,0.097517,2.264012,31.555543,-473.759611,2.626600
0.020000,7.468005,1.327186,0.147432,2.495712,11.585017,-998.526290,2.598268
0.020000,7.425189,1.353922,0.197910,2.523916,1.410182,-508.741749,2.568325
0.020000,7.382729,1.382288,0.248973,2.553175,1.462982,2.639963,2.536709
0.020000,7.340723,1.412368,0.300639,2.583273,1.504876,2.094705,2.503372
0.020000,7.299285,1.444240,0.352916,2.613879,1.530296,1.271008,2.468286
0.020000,7.258547,1.477974,0.405808,2.644599,1.536011,0.285744,2.431443
0.020000,7.218657,1.513624,0.459307,2.674912,1.515653,-1.017875,2.392867
0.020000,7.179782,1.551225,0.513391,2.704218,1.465279,-2.518727,2.352615
0.020000,7.142103,1.590790,0.568028,2.731828,1.380536,-4.237110,2.310785
0.020000,7.105809,1.632301,0.623167,2.756981,1.257655,-6.144077,2.267517
0.020000,7.071099,1.675708,0.678745,2.778907,1.096267,-8.069409,2.222995
0.020000,7.038168,1.720924,0.734682,2.796853,0.897337,-9.946497,2.177446
0.020000,7.007201,1.767826,0.790885,2.810156,0.665131,-11.610270,2.131137
0.020000,6.978368,1.816259,0.847251,2.818290,0.406684,-12.922381,2.084363
0.020000,6.951811,1.866036,0.903670,2.820925,0.131755,-13.746436,2.037439
0.020000,6.927640,1.916949,0.960029,2.817955,-0.148470,-14.011228,1.990683
0.020000,6.905929,1.968776,1.016219,2.809515,-0.422039,-13.678455,1.944411
0.020000,6.886711,2.021289,1.072138,2.795958,-0.677846,-12.790351,1.898914
0.020000,6.869985,2.074268,1.127695,2.777827,-0.906552,-11.435324,1.854454
0.020000,6.855710,2.127503,1.182811,2.755804,-1.101142,-9.729472,1.811253
0.020000,6.843820,2.180806,1.237424,2.730633,-1.258533,-7.869589,1.769491
0.020000,6.834221,2.234009,1.291486,2.703095,-1.376899,-5.918289,1.729303
0.020000,6.826804,2.286971,1.344964,2.673947,-1.457423,-4.026190,1.690783
0.020000,6.821447,2.339576,1.397841,2.643847,-1.504995,-2.378588,1.653983
0.020000,6.818138,2.389401,1.447776,2.496754,-7.354628,-292.481665,1.620460
0.020000,6.816662,2.429847,1.488249,2.023641,-23.655654,-815.051315,1.594191
0.020000,6.816276,2.454869,1.513275,1.251270,-38.618549,-748.144715,1.578358
0.020000,6.816231,2.465035,1.523441,0.508306,-37.148225,73.516189,1.572016
0.020000,6.816230,2.467000,1.525405,0.098231,-20.503731,832.224691,1.570796
0.020000,6.816230,2.467000,1.525405,0.000000,-4.911557,779.608705,1.570796
