dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.908066,1.883400,0.003333,0.333333,16.666667,833.333333,2.676654
0.020000,7.898770,1.888111,0.013754,0.521044,9.385545,-364.056099,2.668332
0.020000,7.880449,1.897690,0.034429,1.033730,25.634298,812.437653,2.651213
0.020000,7.855866,1.911201,0.062480,1.402565,18.441717,-359.629040,2.626600
0.020000,7.829895,1.926383,0.092563,1.504153,5.079420,-668.114823,2.598268
0.020000,7.804855,1.942015,0.122082,1.475936,-1.410864,-324.514243,2.568325
0.020000,7.780795,1.958086,0.151015,1.446654,-1.464082,-2.660857,2.536709
0.020000,7.757760,1.974578,0.179346,1.416544,-1.505481,-2.069952,2.503372
0.020000,7.735787,1.991475,0.207064,1.385913,-1.531568,-1.304372,2.468286
0.020000,7.714910,2.008759,0.234168,1.355177,-1.536794,-0.261303,2.431443
0.020000,7.695151,2.026413,0.260664,1.324839,-1.516903,0.994562,2.392867
0.020000,7.676526,2.044425,0.286575,1.295509,-1.466506,2.519827,2.352615
0.020000,7.659036,2.062786,0.311932,1.267881,-1.381377,4.256459,2.310785
0.020000,7.642675,2.081495,0.336786,1.242706,-1.258790,6.129335,2.267517
0.020000,7.627425,2.100562,0.361202,1.220762,-1.097204,8.079333,2.222995
0.020000,7.613261,2.120007,0.385258,1.202799,-0.898112,9.954609,2.177446
0.020000,7.600153,2.139859,0.409047,1.189486,-0.665684,11.621363,2.131137
0.020000,7.588066,2.160160,0.432674,1.181344,-0.407073,12.930568,2.084363
0.020000,7.576970,2.180959,0.456248,1.178707,-0.131857,13.760805,2.037439
0.020000,7.566834,2.202309,0.479882,1.181679,0.148585,14.022080,1.990683
0.020000,7.557639,2.224264,0.503684,1.190127,0.422418,13.691650,1.944411
0.020000,7.549367,2.246872,0.527758,1.203696,0.678446,12.801419,1.898914
0.020000,7.542012,2.270176,0.552195,1.221842,0.907302,11.442779,1.854454
0.020000,7.535571,2.294205,0.577073,1.243889,1.102327,9.751251,1.811253
0.020000,7.530047,2.318979,0.602454,1.269075,1.259341,7.850698,1.769491
0.020000,7.525446,2.344500,0.628387,1.296630,1.377715,5.918712,1.729303
0.020000,7.521771,2.370760,0.654903,1.325810,1.459017,4.065095,1.690783
0.020000,7.519027,2.397739,0.682022,1.355923,1.505662,2.332251,1.653983
0.020000,7.517275,2.424151,0.708492,1.323502,-1.621059,-156.336062,1.620460
0.020000,7.516471,2.446222,0.730577,1.104247,-10.962769,-467.085466,1.594191
0.020000,7.516256,2.460162,0.744519,0.697121,-20.356274,-469.675246,1.578358
0.020000,7.516231,2.465889,0.750246,0.286341,-20.539008,-9.136709,1.572016
0.020000,7.516230,2.467000,0.751357,0.055546,-11.539747,449.963026,1.570796
0.020000,7.516230,2.467000,0.751357,0.000000,-2.777307,438.121997,1.570796
