dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.651000,0.003333,0.333333,16.666667,833.333333,6.282357
0.020000,0.009027,0.651008,0.016667,1.000000,33.333333,833.333333,0.001733
0.020000,0.035693,0.651122,0.043333,1.666667,33.333333,0.000000,0.006823
0.020000,0.072358,0.651499,0.080000,2.000000,16.666667,-833.333333,0.013751
0.020000,0.112352,0.652199,0.120000,2.000000,0.000000,-833.333333,0.021214
0.020000,0.152339,0.653195,0.160000,2.000000,0.000000,0.000000,0.028575
0.020000,0.192318,0.654483,0.200000,2.000000,0.000000,0.000000,0.035834
0.020000,0.232287,0.656060,0.240000,2.000000,0.000000,0.000000,0.042989
0.020000,0.272244,0.657920,0.280000,2.000000,0.000000,0.000000,0.050038
0.020000,0.312187,0.660060,0.320000,2.000000,0.000000,0.000000,0.056980
0.020000,0.352114,0.662474,0.360000,2.000000,0.000000,0.000000,0.063815
0.020000,0.392023,0.665160,0.400000,2.000000,0.000000,0.000000,0.070540
0.020000,0.431914,0.668111,0.440000,2.000000,0.000000,0.000000,0.077156
0.020000,0.471785,0.671325,0.480000,2.000000,0.000000,0.000000,0.083661
0.020000,0.511634,0.674795,0.520000,2.000000,0.000000,0.000000,0.090054
0.020000,0.551460,0.678518,0.560000,2.000000,0.000000,0.000000,0.096335
0.020000,0.591263,0.682488,0.600000,2.000000,0.000000,0.000000,0.102504
0.020000,0.631040,0.686702,0.640000,2.000000,0.000000,0.000000,0.108559
0.020000,0.670791,0.691154,0.680000,2.000000,0.000000,0.000000,0.114500
0.020000,0.710516,0.695841,0.720000,2.000000,0.000000,0.000000,0.120327
0.020000,0.750213,0.700756,0.760000,2.000000,0.000000,0.000000,0.126040
0.020000,0.789881,0.705896,0.800000,2.000000,0.000000,0.000000,0.131638
0.020000,0.829520,0.711255,0.840000,2.000000,0.000000,0.000000,0.137122
0.020000,0.869130,0.716829,0.880000,2.000000,0.000000,0.000000,0.142490
0.020000,0.908709,0.722614,0.920000,2.000000,0.000000,0.000000,0.147744
0.020000,0.948258,0.728604,0.960000,2.000000,0.000000,0.000000,0.152882
0.020000,0.987776,0.734795,1.000000,2.000000,0.000000,0.000000,0.157906
0.020000,1.027263,0.741183,1.040000,2.000000,0.000000,0.000000,0.162815
0.020000,1.066718,0.747762,1.080000,2.000000,0.000000,0.000000,0.167609
0.020000,1.106142,0.754527,1.120000,2.000000,0.000000,0.000000,0.172288
0.020000,1.145534,0.761475,1.160000,2.000000,0.000000,0.000000,0.176853
0.020000,1.184894,0.768600,1.200000,2.000000,0.000000,0.000000,0.181304
0.020000,1.224222,0.775898,1.240000,2.000000,0.000000,0.000000,0.185641
0.020000,1.263519,0.783365,1.280000,2.000000,0.000000,0.000000,0.189865
0.020000,1.302785,0.790995,1.320000,2.000000,0.000000,0.000000,0.193975
0.020000,1.342019,0.798784,1.360000,2.000000,0.000000,0.000000,0.197973
0.020000,1.381222,0.806728,1.400000,2.000000,0.000000,0.000000,0.201857
0.020000,1.420395,0.814822,1.440000,2.000000,0.000000,0.000000,0.205630
0.020000,1.459537,0.823061,1.480000,2.000000,0.000000,0.000000,0.209291
0.020000,1.498649,0.831442,1.520000,2.000000,0.000000,0.000000,0.212840
0.020000,1.537732,0.839959,1.560000,2.000000,0.000000,0.000000,0.216279
0.020000,1.576786,0.848608,1.600000,2.000000,0.000000,0.000000,0.219607
0.020000,1.615811,0.857385,1.640000,2.000000,0.000000,0.000000,0.222824
0.020000,1.654808,0.866285,1.680000,2.000000,0.000000,0.000000,0.225932
0.020000,1.693778,0.875305,1.720000,2.000000,0.000000,0.000000,0.228931
0.020000,1.732721,0.884439,1.760000,2.000000,0.000000,0.000000,0.231821
0.020000,1.771638,0.893683,1.800000,2.000000,0.000000,0.000000,0.234602
0.020000,1.810530,0.903034,1.840000,2.000000,0.000000,0.000000,0.237275
0.020000,1.849397,0.912486,1.880000,2.000000,0.000000,0.000000,0.239840
0.020000,1.888240,0.922036,1.920000,2.000000,0.000000,0.000000,0.242299
0.020000,1.927060,0.931680,1.960000,2.000000,0.000000,0.000000,0.244650
0.020000,1.965858,0.941412,2.000000,2.000000,0.000000,0.000000,0.246895
0.020000,2.004635,0.951230,2.040000,2.000000,0.000000,0.000000,0.249034
