dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000290,0.301000,0.003333,0.333333,16.666667,833.333333,6.282357
0.020000,0.009634,0.301008,0.013257,0.496176,8.142158,-426.225436,0.001733
0.020000,0.038082,0.301130,0.041705,1.422413,46.311846,1908.484391,0.006823
0.020000,0.077171,0.301533,0.080797,1.954571,26.607869,-985.198860,0.013751
0.020000,0.119776,0.302278,0.123408,2.130588,8.800879,-890.349464,0.021214
0.020000,0.162339,0.303338,0.165985,2.128818,-0.088543,-444.471096,0.028575
0.020000,0.204858,0.304708,0.208525,2.127024,-0.089665,-0.056115,0.035834
0.020000,0.247329,0.306383,0.251029,2.125201,-0.091167,-0.075083,0.042989
0.020000,0.289750,0.308358,0.293496,2.123354,-0.092358,-0.059571,0.050038
0.020000,0.332119,0.310628,0.335926,2.121485,-0.093413,-0.052754,0.056980
0.020000,0.374433,0.313187,0.378318,2.119599,-0.094337,-0.046219,0.063815
0.020000,0.416692,0.316030,0.420672,2.117692,-0.095331,-0.049666,0.070540
0.020000,0.458892,0.319153,0.462987,2.115769,-0.096149,-0.040904,0.077156
0.020000,0.501032,0.322549,0.505264,2.113832,-0.096868,-0.035978,0.083661
0.020000,0.543110,0.326213,0.547501,2.111880,-0.097597,-0.036411,0.090054
0.020000,0.585125,0.330141,0.589700,2.109916,-0.098167,-0.028497,0.096335
0.020000,0.627076,0.334325,0.631859,2.107944,-0.098647,-0.024027,0.102504
0.020000,0.668961,0.338762,0.673978,2.105962,-0.099076,-0.021460,0.108559
0.020000,0.710779,0.343446,0.716057,2.103970,-0.099616,-0.026999,0.114500
0.020000,0.752529,0.348371,0.758097,2.101973,-0.099850,-0.011663,0.120327
0.020000,0.794210,0.353532,0.800096,2.099972,-0.100040,-0.009506,0.126040
0.020000,0.835821,0.358924,0.842055,2.097967,-0.100227,-0.009381,0.131638
0.020000,0.877363,0.364540,0.883975,2.095956,-0.100566,-0.016945,0.137122
0.020000,0.918833,0.370376,0.925853,2.093944,-0.100598,-0.001607,0.142490
0.020000,0.960232,0.376427,0.967692,2.091934,-0.100524,0.003736,0.147744
0.020000,1.001559,0.382687,1.009491,2.089923,-0.100518,0.000256,0.152882
0.020000,1.042814,0.389150,1.051249,2.087911,-0.100617,-0.004943,0.157906
0.020000,1.083996,0.395812,1.092967,2.085898,-0.100638,-0.001029,0.162815
0.020000,1.125107,0.402666,1.134645,2.083892,-0.100293,0.017246,0.167609
0.020000,1.166145,0.409709,1.176282,2.081889,-0.100142,0.007574,0.172288
0.020000,1.207110,0.416934,1.217880,2.079890,-0.099961,0.009013,0.176853
0.020000,1.248003,0.424337,1.259438,2.077887,-0.100140,-0.008924,0.181304
0.020000,1.288824,0.431912,1.300956,2.075896,-0.099548,0.029612,0.185641
0.020000,1.329573,0.439654,1.342434,2.073911,-0.099274,0.013657,0.189865
0.020000,1.370251,0.447559,1.383873,2.071931,-0.099000,0.013733,0.193975
0.020000,1.410858,0.455621,1.425272,2.069954,-0.098826,0.008670,0.197973
0.020000,1.451393,0.463835,1.466631,2.067981,-0.098677,0.007454,0.201857
0.020000,1.491859,0.472196,1.507952,2.066019,-0.098076,0.030037,0.205630
0.020000,1.532255,0.480699,1.549233,2.064065,-0.097744,0.016650,0.209291
0.020000,1.572582,0.489340,1.590475,2.062116,-0.097402,0.017097,0.212840
0.020000,1.612841,0.498113,1.631679,2.060173,-0.097183,0.010942,0.216279
0.020000,1.653032,0.507014,1.672844,2.058234,-0.096926,0.012840,0.219607
0.020000,1.693155,0.516038,1.713970,2.056308,-0.096326,0.029990,0.222824
0.020000,1.733213,0.525180,1.755058,2.054389,-0.095963,0.018133,0.225932
0.020000,1.773206,0.534436,1.796107,2.052477,-0.095600,0.018169,0.228931
0.020000,1.813133,0.543801,1.837118,2.050571,-0.095261,0.016970,0.231821
0.020000,1.852998,0.553271,1.878092,2.048668,-0.095163,0.004899,0.234602
0.020000,1.892799,0.562840,1.919027,2.046778,-0.094501,0.033072,0.237275
0.020000,1.932538,0.572505,1.959925,2.044895,-0.094147,0.017713,0.239840
0.020000,1.972217,0.582260,2.000786,2.043019,-0.093798,0.017428,0.242299
0.020000,2.011836,0.592102,2.041609,2.041150,-0.093457,0.017091,0.244650
0.020000,2.051396,0.602026,2.082394,2.039286,-0.093224,0.011625,0.246895
0.020000,2.090898,0.612027,2.123143,2.037427,-0.092932,0.014605,0.249034
0.020000,2.130344,0.622101,2.163854,2.035578,-0.092460,0.023591,0.251067
0.020000,2.169733,0.632245,2.204529,2.033735,-0.092154,0.015302,0.252994
0.020000,2.209068,0.642453,2.245167,2.031897,-0.091859,0.014738,0.254817
0.020000,2.248350,0.652721,2.285768,2.030066,-0.091577,0.014137,0.256535
0.020000,2.287578,0.663046,2.326333,2.028239,-0.091365,0.010560,0.258149
0.020000,2.326756,0.673422,2.366862,2.026415,-0.091155,0.010538,0.259658
0.020000,2.365883,0.683846,2.407354,2.024600,-0.090785,0.018492,0.261064
0.020000,2.404961,0.694314,2.447809,2.022789,-0.090556,0.011431,0.262366
0.020000,2.443991,0.704821,2.488229,2.020982,-0.090343,0.010680,0.263565
0.020000,2.482974,0.715364,2.528612,2.019179,-0.090145,0.009906,0.264661
0.020000,2.521912,0.725938,2.568960,2.017380,-0.089962,0.009111,0.265654
0.020000,2.560804,0.736539,2.609272,2.015582,-0.089880,0.004113,0.266544
0.020000,2.599654,0.747163,2.649548,2.013789,-0.089637,0.012133,0.267332
0.020000,2.638461,0.757807,2.689788,2.011999,-0.089492,0.007257,0.268018
0.020000,2.677226,0.768465,2.729992,2.010212,-0.089377,0.005763,0.268602
0.020000,2.715952,0.779135,2.770160,2.008426,-0.089279,0.004890,0.269083
0.020000,2.754638,0.789812,2.810293,2.006642,-0.089199,0.004007,0.269463
0.020000,2.793287,0.800492,2.850390,2.004860,-0.089141,0.002904,0.269740
0.020000,2.831899,0.811171,2.890452,2.003078,-0.089101,0.002021,0.269916
0.020000,2.870475,0.821846,2.930478,2.001297,-0.089044,0.002831,0.269990
0.020000,2.909017,0.832512,2.970468,1.999516,-0.089036,0.000410,0.269963
0.020000,2.947525,0.843166,3.010423,1.997735,-0.089046,-0.000498,0.269833
0.020000,2.986001,0.853803,3.050342,1.995954,-0.089074,-0.001405,0.269602
0.020000,3.024445,0.864419,3.090225,1.994171,-0.089120,-0.002309,0.269269
0.020000,3.062859,0.875012,3.130073,1.992388,-0.089164,-0.002193,0.268834
0.020000,3.101244,0.885576,3.169885,1.990604,-0.089218,-0.002702,0.268297
0.020000,3.139601,0.896109,3.209661,1.988817,-0.089345,-0.006334,0.267658
0.020000,3.177930,0.906605,3.249402,1.987027,-0.089462,-0.005881,0.266916
0.020000,3.216233,0.917062,3.289107,1.985235,-0.089597,-0.006750,0.266073
0.020000,3.254511,0.927475,3.328776,1.983440,-0.089749,-0.007607,0.265127
0.020000,3.292764,0.937840,3.368408,1.981642,-0.089918,-0.008448,0.264078
0.020000,3.330994,0.948154,3.408005,1.979842,-0.090007,-0.004445,0.262926
0.020000,3.369202,0.958412,3.447566,1.978037,-0.090251,-0.012179,0.261671
0.020000,3.407388,0.968612,3.487090,1.976227,-0.090502,-0.012553,0.260312
0.020000,3.445553,0.978748,3.526579,1.974412,-0.090735,-0.011643,0.258850
0.020000,3.483698,0.988816,3.566031,1.972593,-0.090982,-0.012381,0.257284
0.020000,3.521824,0.998814,3.605446,1.970768,-0.091244,-0.013090,0.255613
0.020000,3.559932,1.008737,3.644825,1.968939,-0.091443,-0.009941,0.253839
