dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000019,1.016667,0.003333,0.333333,16.666667,833.333333,0.000008
0.020000,0.011668,1.016695,0.014983,0.582466,12.456646,-210.501012,0.004819
0.020000,0.034983,1.016919,0.038299,1.165818,29.167590,835.547176,0.014391
0.020000,0.067078,1.017591,0.070400,1.605070,21.962576,-360.250718,0.027434
0.020000,0.102136,1.018800,0.105480,1.753966,7.444840,-725.886766,0.041493
0.020000,0.137242,1.020502,0.140627,1.757357,0.169546,-363.764708,0.055357
0.020000,0.172394,1.022691,0.175847,1.761022,0.183248,0.685094,0.069012
0.020000,0.207592,1.025363,0.211146,1.764953,0.196545,0.664829,0.082442
0.020000,0.242835,1.028510,0.246529,1.769130,0.208858,0.615658,0.095634
0.020000,0.278120,1.032126,0.282000,1.773537,0.220358,0.575027,0.108574
0.020000,0.313449,1.036205,0.317563,1.778167,0.231473,0.555732,0.121250
0.020000,0.348820,1.040738,0.353223,1.783000,0.241634,0.508061,0.133649
0.020000,0.384232,1.045719,0.388983,1.788017,0.250844,0.460504,0.145762
0.020000,0.419684,1.051138,0.424848,1.793211,0.259747,0.445139,0.157578
0.020000,0.455176,1.056989,0.460819,1.798558,0.267347,0.380007,0.169088
0.020000,0.490708,1.063261,0.496900,1.804050,0.274573,0.361283,0.180285
0.020000,0.526279,1.069945,0.533093,1.809668,0.280899,0.316305,0.191160
0.020000,0.561888,1.077032,0.569401,1.815399,0.286540,0.282035,0.201708
0.020000,0.597536,1.084513,0.605826,1.821230,0.291558,0.250926,0.211923
0.020000,0.633223,1.092377,0.642369,1.827146,0.295833,0.213717,0.221800
0.020000,0.668949,1.100614,0.679031,1.833139,0.299608,0.188777,0.231335
0.020000,0.704713,1.109213,0.715815,1.839193,0.302710,0.155093,0.240523
0.020000,0.740517,1.118164,0.752721,1.845300,0.305366,0.132820,0.249363
0.020000,0.776362,1.127456,0.789750,1.851450,0.307477,0.105518,0.257851
0.020000,0.812247,1.137077,0.826903,1.857633,0.309168,0.084564,0.265986
0.020000,0.848174,1.147016,0.864180,1.863842,0.310460,0.064603,0.273766
0.020000,0.884144,1.157263,0.901581,1.870069,0.311350,0.044501,0.281191
0.020000,0.920159,1.167805,0.939107,1.876309,0.311988,0.031880,0.288259
0.020000,0.956221,1.178631,0.976758,1.882554,0.312244,0.012816,0.294970
0.020000,0.992330,1.189729,1.014534,1.888801,0.312371,0.006357,0.301324
0.020000,1.028489,1.201087,1.052435,1.895045,0.312165,-0.010327,0.307321
0.020000,1.064700,1.212693,1.090461,1.901283,0.311903,-0.013057,0.312962
0.020000,1.100965,1.224535,1.128611,1.907510,0.311389,-0.025718,0.318247
0.020000,1.137288,1.236602,1.166886,1.913727,0.310853,-0.026790,0.323177
0.020000,1.173670,1.248881,1.205284,1.919931,0.310166,-0.034371,0.327752
0.020000,1.210116,1.261360,1.243807,1.926120,0.309457,-0.035460,0.331973
0.020000,1.246627,1.274027,1.282453,1.932294,0.308709,-0.037365,0.335842
0.020000,1.283207,1.286870,1.321222,1.938452,0.307917,-0.039609,0.339359
0.020000,1.319860,1.299875,1.360114,1.944596,0.307200,-0.035867,0.342525
0.020000,1.356589,1.313032,1.399128,1.950725,0.306406,-0.039693,0.345341
0.020000,1.393398,1.326327,1.438265,1.956840,0.305773,-0.031623,0.347807
0.020000,1.430292,1.339748,1.477524,1.962942,0.305085,-0.034445,0.349925
0.020000,1.467274,1.353282,1.516904,1.969033,0.304547,-0.026866,0.351694
0.020000,1.504348,1.366918,1.556407,1.975113,0.304038,-0.025478,0.353116
0.020000,1.541519,1.380642,1.596030,1.981186,0.303630,-0.020370,0.354191
0.020000,1.578792,1.394441,1.635775,1.987253,0.303324,-0.015340,0.354920
0.020000,1.616170,1.408304,1.675642,1.993314,0.303095,-0.011443,0.355302
0.020000,1.653659,1.422216,1.715629,1.999374,0.302988,-0.005311,0.355338
0.020000,1.691264,1.436165,1.755738,2.005434,0.302975,-0.000663,0.355027
0.020000,1.728989,1.450138,1.795968,2.011495,0.303064,0.004442,0.354370
0.020000,1.766840,1.464122,1.836319,2.017560,0.303260,0.009775,0.353367
0.020000,1.804821,1.478104,1.876792,2.023631,0.303557,0.014891,0.352016
0.020000,1.842937,1.492069,1.917386,2.029710,0.303926,0.018418,0.350319
0.020000,1.881194,1.506005,1.958102,2.035799,0.304438,0.025592,0.348273
0.020000,1.919597,1.519897,1.998940,2.041897,0.304944,0.025319,0.345879
0.020000,1.958150,1.533731,2.039900,2.048010,0.305617,0.033644,0.343136
0.020000,1.996859,1.547495,2.080983,2.054135,0.306257,0.031995,0.340042
0.020000,2.035728,1.561172,2.122188,2.060275,0.307006,0.037489,0.336598
0.020000,2.074763,1.574749,2.163517,2.066430,0.307755,0.037449,0.332802
0.020000,2.113968,1.588211,2.204969,2.072600,0.308505,0.037465,0.328653
0.020000,2.153348,1.601543,2.246544,2.078786,0.309298,0.039673,0.324151
0.020000,2.192908,1.614729,2.288244,2.084986,0.309968,0.033487,0.319294
0.020000,2.232652,1.627755,2.330068,2.091200,0.310716,0.037423,0.314083
0.020000,2.272584,1.640605,2.372017,2.097424,0.311223,0.025349,0.308516
0.020000,2.312708,1.653263,2.414090,2.103660,0.311801,0.028904,0.302592
0.020000,2.353028,1.665712,2.456288,2.109902,0.312066,0.013226,0.296312
0.020000,2.393547,1.677937,2.498611,2.116148,0.312317,0.012537,0.289674
0.020000,2.434268,1.689920,2.541059,2.122393,0.312241,-0.003804,0.282680
0.020000,2.475194,1.701646,2.583631,2.128633,0.312022,-0.010929,0.275329
0.020000,2.516327,1.713097,2.626329,2.134862,0.311458,-0.028199,0.267623
0.020000,2.557669,1.724255,2.669150,2.141075,0.310626,-0.041622,0.259561
0.020000,2.599222,1.735103,2.712095,2.147263,0.309413,-0.060612,0.251146
0.020000,2.640985,1.745625,2.755164,2.153419,0.307812,-0.080069,0.242378
0.020000,2.682960,1.755801,2.798354,2.159535,0.305781,-0.101540,0.233262
0.020000,2.725145,1.765614,2.841666,2.165600,0.303253,-0.126435,0.223798
0.020000,2.767541,1.775047,2.885099,2.171605,0.300224,-0.151403,0.213992
0.020000,2.810144,1.784080,2.928649,2.177537,0.296621,-0.180194,0.203846
0.020000,2.852954,1.792697,2.972317,2.183385,0.292406,-0.210718,0.193367
0.020000,2.895965,1.800879,3.016100,2.189137,0.287612,-0.239691,0.182558
0.020000,2.939175,1.808609,3.059995,2.194778,0.282005,-0.280383,0.171427
0.020000,2.982578,1.815869,3.104001,2.200297,0.275973,-0.301578,0.159981
0.020000,3.026168,1.822641,3.148115,2.205672,0.268731,-0.362099,0.148228
0.020000,3.064664,1.828185,3.187008,1.944672,-13.049989,-665.936002,0.138081
0.020000,3.107970,1.833970,3.230699,2.184521,11.992476,1252.123256,0.127536
0.020000,3.151232,1.839291,3.274287,2.179402,-0.255984,-612.423012,0.117284
0.020000,3.194443,1.844163,3.317771,2.174241,-0.258012,-0.101425,0.107327
0.020000,3.237597,1.848601,3.361152,2.169050,-0.259551,-0.076949,0.097666
0.020000,3.280686,1.852618,3.404429,2.163841,-0.260478,-0.046321,0.088304
0.020000,3.323707,1.856230,3.447601,2.158612,-0.261445,-0.048351,0.079240
0.020000,3.366655,1.859450,3.490669,2.153384,-0.261389,0.002807,0.070475
0.020000,3.409523,1.862292,3.533632,2.148149,-0.261738,-0.017455,0.062008
0.020000,3.452310,1.864773,3.576491,2.142927,-0.261104,0.031697,0.053841
0.020000,3.495011,1.866904,3.619245,2.137713,-0.260741,0.018129,0.045971
0.020000,3.537624,1.868702,3.661895,2.132516,-0.259809,0.046592,0.038399
0.020000,3.580145,1.870180,3.704442,2.127340,-0.258827,0.049110,0.031122
0.020000,3.622572,1.871351,3.746886,2.122186,-0.257684,0.057145,0.024139
0.020000,3.664904,1.872231,3.789227,2.117061,-0.256249,0.071770,0.017450
0.020000,3.707139,1.872832,3.831466,2.111962,-0.254939,0.065519,0.011052
0.020000,3.749276,1.873168,3.873604,2.106898,-0.253228,0.085518,0.004943
0.020000,3.791313,1.873252,3.915641,2.101862,-0.251766,0.073117,6.282308
0.020000,3.833250,1.873098,3.957579,2.096863,-0.249955,0.090554,6.276772
0.020000,3.875086,1.872719,3.999417,2.091897,-0.248342,0.080615,6.271521
0.020000,3.916821,1.872128,4.041156,2.086965,-0.246588,0.087743,6.266552
0.020000,3.958455,1.871337,4.082797,2.082068,-0.244827,0.088053,6.261862
0.020000,3.999988,1.870358,4.124341,2.077203,-0.243257,0.078476,6.257450
0.020000,4.041419,1.869205,4.165789,2.072376,-0.241358,0.094950,6.253314
0.020000,4.082750,1.867889,4.207140,2.067575,-0.240068,0.064509,6.249453
0.020000,4.123980,1.866423,4.248397,2.062812,-0.238114,0.097683,6.245864
0.020000,4.165110,1.864818,4.289558,2.058072,-0.236992,0.056091,6.242545
0.020000,4.206141,1.863086,4.330625,2.053367,-0.235266,0.086326,6.239495
0.020000,4.247073,1.861239,4.371599,2.048686,-0.234073,0.059663,6.236713
0.020000,4.287907,1.859287,4.412480,2.044029,-0.232817,0.062777,6.234197
0.020000,4.328644,1.857243,4.453268,2.039398,-0.231547,0.063506,6.231946
0.020000,4.369284,1.855118,4.493963,2.034784,-0.230730,0.040848,6.229958
0.020000,4.409828,1.852922,4.534567,2.030193,-0.229562,0.058402,6.228233
0.020000,4.450278,1.850666,4.575080,2.025615,-0.228873,0.034452,6.226769
0.020000,4.490633,1.848362,4.615501,2.021053,-0.228129,0.037183,6.225566
0.020000,4.530895,1.846020,4.655831,2.016502,-0.227507,0.031128,6.224623
0.020000,4.571064,1.843650,4.696070,2.011960,-0.227139,0.018407,6.223940
0.020000,4.611142,1.841263,4.736218,2.007425,-0.226717,0.021077,6.223516
0.020000,4.651128,1.838870,4.776276,2.002894,-0.226547,0.008514,6.223350
0.020000,4.691024,1.836481,4.816244,1.998365,-0.226456,0.004526,6.223444
0.020000,4.730830,1.834107,4.856120,1.993835,-0.226521,-0.003250,6.223796
0.020000,4.770547,1.831756,4.895906,1.989302,-0.226648,-0.006350,6.224408
0.020000,4.810174,1.829441,4.935601,1.984762,-0.227006,-0.017887,6.225278
0.020000,4.849713,1.827170,4.975206,1.980213,-0.227412,-0.020286,6.226409
0.020000,4.889164,1.824955,5.014719,1.975655,-0.227928,-0.025830,6.227800
0.020000,4.928527,1.822804,5.054140,1.971081,-0.228710,-0.039062,6.229453
0.020000,4.967802,1.820728,5.093470,1.966494,-0.229322,-0.030642,6.231367
0.020000,5.006989,1.818738,5.132708,1.961886,-0.230400,-0.053883,6.233545
0.020000,5.046089,1.816842,5.171853,1.957259,-0.231347,-0.047329,6.235987
0.020000,5.085100,1.815052,5.210905,1.952611,-0.232426,-0.053973,6.238695
0.020000,5.124022,1.813376,5.249864,1.947934,-0.233830,-0.070189,6.241670
0.020000,5.162856,1.811825,5.288729,1.943238,-0.234820,-0.049518,6.244914
0.020000,5.201601,1.810409,5.327499,1.938506,-0.236584,-0.088167,6.248428
0.020000,5.240255,1.809137,5.366174,1.933750,-0.237793,-0.060460,6.252214
0.020000,5.278818,1.808020,5.404753,1.928960,-0.239517,-0.086196,6.256273
0.020000,5.317289,1.807067,5.443236,1.924139,-0.241068,-0.077577,6.260608
0.020000,5.355666,1.806288,5.481622,1.919285,-0.242675,-0.080330,6.265220
0.020000,5.393950,1.805693,5.519910,1.914395,-0.244523,-0.092417,6.270112
0.020000,5.432137,1.805291,5.558099,1.909475,-0.245990,-0.073338,6.275284
0.020000,5.470227,1.805093,5.596189,1.904514,-0.248040,-0.102526,6.280741
0.020000,5.508217,1.805109,5.634180,1.899527,-0.249360,-0.066002,0.003297
0.020000,5.546107,1.805347,5.672070,1.894497,-0.251485,-0.106238,0.009325
0.020000,5.583893,1.805817,5.709859,1.889444,-0.252660,-0.058714,0.015642
0.020000,5.621573,1.806531,5.747546,1.884350,-0.254704,-0.102236,0.022251
0.020000,5.659145,1.807495,5.785130,1.879235,-0.255732,-0.051365,0.029151
0.020000,5.696607,1.808722,5.822612,1.874085,-0.257525,-0.089668,0.036346
0.020000,5.733955,1.810219,5.859990,1.868917,-0.258390,-0.043265,0.043837
0.020000,5.771187,1.811996,5.897265,1.863722,-0.259755,-0.068258,0.051624
0.020000,5.808300,1.814063,5.934435,1.858513,-0.260417,-0.033096,0.059708
0.020000,5.845290,1.816429,5.971501,1.853290,-0.261185,-0.038395,0.068091
0.020000,5.882154,1.819103,6.008462,1.848058,-0.261563,-0.018911,0.076773
