dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.199713,1.999282,0.003333,0.333333,16.666667,833.333333,4.331509
0.020000,4.194716,1.986920,0.016667,1.000000,33.333333,833.333333,4.325042
0.020000,4.184482,1.962296,0.043333,1.666667,33.333333,0.000000,4.311940
0.020000,4.169880,1.928663,0.080000,2.000000,16.666667,-833.333333,4.293561
0.020000,4.153240,1.892289,0.120000,2.000000,0.000000,-833.333333,4.273039
0.020000,4.135849,1.856268,0.160000,2.000000,0.000000,0.000000,4.252035
0.020000,4.117696,1.820625,0.200000,2.000000,0.000000,0.000000,4.230567
0.020000,4.098775,1.785385,0.240000,2.000000,0.000000,0.000000,4.208653
0.020000,4.079078,1.750571,0.280000,2.000000,0.000000,0.000000,4.186319
0.020000,4.058603,1.716210,0.320000,2.000000,0.000000,0.000000,4.163591
0.020000,4.037345,1.682327,0.360000,2.000000,0.000000,0.000000,4.140504
0.020000,4.015305,1.648948,0.400000,2.000000,0.000000,0.000000,4.117094
0.020000,3.992486,1.616097,0.440000,2.000000,0.000000,0.000000,4.093401
0.020000,3.968890,1.583799,0.480000,2.000000,0.000000,0.000000,4.069471
0.020000,3.944526,1.552077,0.520000,2.000000,0.000000,0.000000,4.045351
0.020000,3.919401,1.520953,0.560000,2.000000,0.000000,0.000000,4.021093
0.020000,3.893527,1.490450,0.600000,2.000000,0.000000,0.000000,3.996748
0.020000,3.866918,1.460586,0.640000,2.000000,0.000000,0.000000,3.972373
0.020000,3.839589,1.431379,0.680000,2.000000,0.000000,0.000000,3.948022
0.020000,3.811558,1.402845,0.720000,2.000000,0.000000,0.000000,3.923753
0.020000,3.782844,1.374998,0.760000,2.000000,0.000000,0.000000,3.899620
0.020000,3.753469,1.347849,0.800000,2.000000,0.000000,0.000000,3.875677
0.020000,3.723456,1.321408,0.840000,2.000000,0.000000,0.000000,3.851978
0.020000,3.692829,1.295681,0.880000,2.000000,0.000000,0.000000,3.828573
0.020000,3.661612,1.270673,0.920000,2.000000,0.000000,0.000000,3.805508
0.020000,3.629831,1.246385,0.960000,2.000000,0.000000,0.000000,3.782826
0.020000,3.597512,1.222818,1.000000,2.000000,0.000000,0.000000,3.760568
0.020000,3.564682,1.199968,1.040000,2.000000,0.000000,0.000000,3.738768
0.020000,3.531366,1.177831,1.080000,2.000000,0.000000,0.000000,3.717458
0.020000,3.497593,1.156400,1.120000,2.000000,0.000000,0.000000,3.696665
0.020000,3.463386,1.135667,1.160000,2.000000,0.000000,0.000000,3.676412
0.020000,3.428772,1.115622,1.200000,2.000000,0.000000,0.000000,3.656717
0.020000,3.393776,1.096252,1.240000,2.000000,0.000000,0.000000,3.637594
0.020000,3.358421,1.077544,1.280000,2.000000,0.000000,0.000000,3.619056
0.020000,3.322730,1.059485,1.320000,2.000000,0.000000,0.000000,3.601108
0.020000,3.286726,1.042058,1.360000,2.000000,0.000000,0.000000,3.583755
0.020000,3.250431,1.025247,1.400000,2.000000,0.000000,0.000000,3.566999
0.020000,3.213863,1.009037,1.440000,2.000000,0.000000,0.000000,3.550838
0.020000,3.177043,0.993408,1.480000,2.000000,0.000000,0.000000,3.535270
0.020000,3.139989,0.978344,1.520000,2.000000,0.000000,0.000000,3.520288
0.020000,3.102717,0.963825,1.560000,2.000000,0.000000,0.000000,3.505886
0.020000,3.065244,0.949834,1.600000,2.000000,0.000000,0.000000,3.492056
0.020000,3.027585,0.936352,1.640000,2.000000,0.000000,0.000000,3.478788
0.020000,2.989754,0.923361,1.680000,2.000000,0.000000,0.000000,3.466072
0.020000,2.951764,0.910841,1.720000,2.000000,0.000000,0.000000,3.453896
0.020000,2.913627,0.898775,1.760000,2.000000,0.000000,0.000000,3.442250
0.020000,2.875356,0.887143,1.800000,2.000000,0.000000,0.000000,3.431121
0.020000,2.836960,0.875929,1.840000,2.000000,0.000000,0.000000,3.420498
0.020000,2.798451,0.865113,1.880000,2.000000,0.000000,0.000000,3.410368
0.020000,2.759836,0.854679,1.920000,2.000000,0.000000,0.000000,3.400719
0.020000,2.721124,0.844608,1.960000,2.000000,0.000000,0.000000,3.391540
0.020000,2.682324,0.834885,2.000000,2.000000,0.000000,0.000000,3.382818
0.020000,2.643443,0.825491,2.040000,2.000000,0.000000,0.000000,3.374542
0.020000,2.604487,0.816412,2.080000,2.000000,0.000000,0.000000,3.366701
0.020000,2.565463,0.807629,2.120000,2.000000,0.000000,0.000000,3.359285
0.020000,2.526377,0.799128,2.160000,2.000000,0.000000,0.000000,3.352282
0.020000,2.487234,0.790893,2.200000,2.000000,0.000000,0.000000,3.345683
0.020000,2.448039,0.782909,2.240000,2.000000,0.000000,0.000000,3.339479
0.020000,2.411221,0.775656,2.280000,2.000000,0.000000,0.000000,3.332635
0.020000,2.371921,0.768204,2.320000,2.000000,0.000000,0.000000,3.325325
0.020000,2.332568,0.761038,2.360000,2.000000,0.000000,0.000000,3.318135
0.020000,2.293165,0.754153,2.400000,2.000000,0.000000,0.000000,3.311068
0.020000,2.253715,0.747543,2.440000,2.000000,0.000000,0.000000,3.304126
0.020000,2.214221,0.741206,2.480000,2.000000,0.000000,0.000000,3.297311
0.020000,2.174684,0.735135,2.520000,2.000000,0.000000,0.000000,3.290624
0.020000,2.135108,0.729326,2.560000,2.000000,0.000000,0.000000,3.284068
0.020000,2.095495,0.723773,2.600000,2.000000,0.000000,0.000000,3.277645
0.020000,2.055848,0.718473,2.640000,2.000000,0.000000,0.000000,3.271355
0.020000,2.016169,0.713420,2.680000,2.000000,0.000000,0.000000,3.265201
0.020000,1.976459,0.708608,2.720000,2.000000,0.000000,0.000000,3.259183
0.020000,1.936722,0.704033,2.760000,2.000000,0.000000,0.000000,3.253303
0.020000,1.896959,0.699688,2.800000,2.000000,0.000000,0.000000,3.247562
0.020000,1.857171,0.695569,2.840000,2.000000,0.000000,0.000000,3.241960
0.020000,1.817362,0.691670,2.880000,2.000000,0.000000,0.000000,3.236500
