dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.874794,2.129390,0.003333,0.333333,16.666667,833.333333,4.331509
0.020000,3.870646,2.119127,0.014403,0.553495,11.008098,-282.928440,4.325042
0.020000,3.862172,2.098737,0.036484,1.104026,27.526549,825.922549,4.311940
0.020000,3.850132,2.071004,0.066718,1.511687,20.383041,-357.175369,4.293561
0.020000,3.836480,2.041162,0.099534,1.640829,6.457097,-696.297249,4.273039
0.020000,3.822285,2.011761,0.132182,1.632404,-0.421242,-343.916930,4.252035
0.020000,3.807543,1.982813,0.164668,1.624277,-0.406337,0.745271,4.230567
0.020000,3.792250,1.954330,0.196997,1.616476,-0.390092,0.812255,4.208653
0.020000,3.776403,1.926320,0.229179,1.609107,-0.368428,1.083202,4.186319
0.020000,3.759999,1.898792,0.261224,1.602239,-0.343379,1.252420,4.163591
0.020000,3.743036,1.871754,0.293143,1.595941,-0.314902,1.423856,4.140504
0.020000,3.725511,1.845211,0.324949,1.590283,-0.282945,1.597831,4.117094
0.020000,3.707423,1.819171,0.356655,1.585342,-0.247003,1.797107,4.093401
0.020000,3.688768,1.793635,0.388279,1.581181,-0.208097,1.945289,4.069471
0.020000,3.669546,1.768608,0.419836,1.577865,-0.165755,2.117150,4.045351
0.020000,3.649754,1.744091,0.451345,1.575433,-0.121639,2.205766,4.021093
0.020000,3.629392,1.720085,0.482824,1.573931,-0.075081,2.327915,3.996748
0.020000,3.608458,1.696591,0.514291,1.573390,-0.027067,2.400682,3.972373
0.020000,3.586951,1.673607,0.545768,1.573829,0.021951,2.450918,3.948022
0.020000,3.564873,1.651133,0.577273,1.575243,0.070693,2.437077,3.923753
0.020000,3.542223,1.629166,0.608826,1.577632,0.119475,2.439123,3.899620
0.020000,3.519002,1.607705,0.640445,1.580973,0.167052,2.378828,3.875677
0.020000,3.495212,1.586747,0.672150,1.585233,0.212973,2.296065,3.851978
0.020000,3.470857,1.566289,0.703957,1.590365,0.256631,2.182914,3.828573
0.020000,3.445940,1.546328,0.735883,1.596322,0.297854,2.061155,3.805508
0.020000,3.420466,1.526860,0.767944,1.603037,0.335717,1.893135,3.782826
0.020000,3.394442,1.507883,0.800153,1.610444,0.370383,1.733317,3.760568
0.020000,3.367873,1.489392,0.832522,1.618473,0.401446,1.553152,3.738768
0.020000,3.340770,1.471383,0.865063,1.627048,0.428756,1.365453,3.717458
0.020000,3.313141,1.453852,0.897785,1.636095,0.452349,1.179673,3.696665
0.020000,3.284996,1.436794,0.930696,1.645540,0.472213,0.993181,3.676412
0.020000,3.256347,1.420203,0.963802,1.655307,0.488365,0.807599,3.656717
0.020000,3.227206,1.404074,0.997109,1.665332,0.501238,0.643672,3.637594
0.020000,3.197586,1.388401,1.030620,1.675546,0.510700,0.473086,3.619056
0.020000,3.167500,1.373178,1.064338,1.685888,0.517140,0.322000,3.601108
0.020000,3.136963,1.358398,1.098264,1.696308,0.520966,0.191289,3.583755
0.020000,3.105989,1.344052,1.132399,1.706748,0.522029,0.053197,3.566999
0.020000,3.074592,1.330134,1.166742,1.717171,0.521147,-0.044116,3.550838
0.020000,3.042788,1.316635,1.201293,1.727536,0.518216,-0.146540,3.535270
0.020000,3.010591,1.303545,1.236049,1.737803,0.513362,-0.242713,3.520288
0.020000,2.978016,1.290857,1.271008,1.747953,0.507493,-0.293448,3.505886
0.020000,2.945077,1.278559,1.306167,1.757956,0.500191,-0.365094,3.492056
0.020000,2.911790,1.266643,1.341523,1.767795,0.491916,-0.413783,3.478788
0.020000,2.878168,1.255097,1.377072,1.777452,0.482870,-0.452303,3.466072
0.020000,2.844226,1.243911,1.412810,1.786917,0.473236,-0.481680,3.453896
0.020000,2.809975,1.233074,1.448734,1.796180,0.463177,-0.502927,3.442250
0.020000,2.775431,1.222576,1.484839,1.805237,0.452837,-0.517027,3.431121
0.020000,2.740604,1.212404,1.521120,1.814084,0.442339,-0.524909,3.420498
0.020000,2.705508,1.202547,1.557575,1.822717,0.431674,-0.533226,3.410368
0.020000,2.670153,1.192994,1.594198,1.831138,0.421031,-0.532139,3.400719
0.020000,2.634551,1.183732,1.630985,1.839355,0.410840,-0.509554,3.391540
0.020000,2.598712,1.174751,1.667932,1.847360,0.400262,-0.528928,3.382818
0.020000,2.562646,1.166038,1.705035,1.855171,0.390539,-0.486131,3.374542
0.020000,2.526363,1.157581,1.742291,1.862780,0.380471,-0.503388,3.366701
0.020000,2.489871,1.149369,1.779695,1.870207,0.371352,-0.455989,3.359285
0.020000,2.453180,1.141389,1.817244,1.877449,0.362099,-0.462611,3.352282
0.020000,2.416297,1.133629,1.854934,1.884517,0.353389,-0.435528,3.345683
0.020000,2.379230,1.126078,1.892763,1.891421,0.345208,-0.409054,3.339479
0.020000,2.344762,1.119288,1.927893,1.756536,-6.744262,-354.473478,3.332635
0.020000,2.307976,1.112313,1.965335,1.872071,5.776732,626.049708,3.325325
0.020000,2.271099,1.105598,2.002818,1.874177,0.105331,-283.570075,3.318135
0.020000,2.234132,1.099138,2.040345,1.876323,0.107303,0.098629,3.311068
0.020000,2.197079,1.092931,2.077915,1.878508,0.109215,0.095585,3.304126
0.020000,2.159939,1.086971,2.115530,1.880728,0.111013,0.089918,3.297311
0.020000,2.122716,1.081255,2.153189,1.882983,0.112748,0.086723,3.290624
0.020000,2.085410,1.075779,2.190895,1.885269,0.114282,0.076681,3.284068
0.020000,2.048024,1.070539,2.228646,1.887583,0.115740,0.072947,3.277645
0.020000,2.010559,1.065531,2.266445,1.889926,0.117114,0.068689,3.271355
0.020000,1.973016,1.060749,2.304291,1.892294,0.118409,0.064752,3.265201
0.020000,1.935398,1.056191,2.342184,1.894684,0.119532,0.056117,3.259183
0.020000,1.897705,1.051851,2.380126,1.897097,0.120605,0.053667,3.253303
0.020000,1.859939,1.047725,2.418117,1.899529,0.121615,0.050488,3.247562
0.020000,1.822102,1.043808,2.456156,1.901978,0.122481,0.043321,3.241960
0.020000,1.784194,1.040095,2.494245,1.904444,0.123287,0.040273,3.236500
0.020000,1.746218,1.036582,2.532384,1.906925,0.124034,0.037376,3.231182
0.020000,1.708174,1.033265,2.570572,1.909418,0.124677,0.032145,3.226006
0.020000,1.670063,1.030137,2.608811,1.911923,0.125254,0.028873,3.220973
0.020000,1.631888,1.027195,2.647099,1.914439,0.125780,0.026285,3.216084
0.020000,1.593648,1.024432,2.685439,1.916964,0.126226,0.022295,3.211339
0.020000,1.555345,1.021846,2.723829,1.919496,0.126616,0.019480,3.206739
0.020000,1.516981,1.019429,2.762269,1.922035,0.126957,0.017082,3.202284
0.020000,1.478555,1.017178,2.800761,1.924580,0.127239,0.014108,3.197974
0.020000,1.440069,1.015086,2.839304,1.927129,0.127477,0.011875,3.193810
0.020000,1.401524,1.013150,2.877897,1.929683,0.127670,0.009670,3.189792
0.020000,1.362921,1.011363,2.916542,1.932239,0.127823,0.007631,3.185920
0.020000,1.324260,1.009721,2.955238,1.934798,0.127941,0.005903,3.182195
0.020000,1.285542,1.008218,2.993985,1.937358,0.128020,0.003947,3.178615
0.020000,1.246767,1.006849,3.032783,1.939920,0.128075,0.002750,3.175182
0.020000,1.207938,1.005609,3.071633,1.942482,0.128104,0.001432,3.171895
0.020000,1.169053,1.004491,3.110534,1.945044,0.128099,-0.000214,3.168755
0.020000,1.130113,1.003492,3.149486,1.947606,0.128085,-0.000724,3.165761
0.020000,1.091120,1.002606,3.188489,1.950167,0.128051,-0.001673,3.162914
0.020000,1.052073,1.001826,3.227544,1.952727,0.127992,-0.002964,3.160212
0.020000,1.012974,1.001149,3.266650,1.955285,0.127932,-0.002992,3.157657
0.020000,0.973821,1.000567,3.305807,1.957842,0.127861,-0.003564,3.155248
0.020000,0.934616,1.000077,3.345015,1.960398,0.127771,-0.004484,3.152985
0.020000,0.895359,0.999672,3.384274,1.962952,0.127686,-0.004245,3.150868
0.020000,0.856051,0.999346,3.423584,1.965504,0.127598,-0.004410,3.148897
0.020000,0.816690,0.999095,3.462945,1.968054,0.127499,-0.004977,3.147071
0.020000,0.777279,0.998913,3.502357,1.970602,0.127406,-0.004645,3.145392
0.020000,0.737816,0.998794,3.541820,1.973148,0.127318,-0.004401,3.143857
0.020000,0.698302,0.998732,3.581334,1.975693,0.127225,-0.004654,3.142468
0.020000,0.658737,0.998722,3.620898,1.978235,0.127138,-0.004329,3.141225
0.020000,0.619122,0.998759,3.660514,1.980777,0.127063,-0.003733,3.140126
0.020000,0.579456,0.998837,3.700180,1.983316,0.126989,-0.003731,3.139173
0.020000,0.539739,0.998950,3.739897,1.985855,0.126920,-0.003421,3.138364
0.020000,0.499971,0.999092,3.779665,1.988392,0.126868,-0.002609,3.137701
0.020000,0.460153,0.999257,3.819484,1.990928,0.126820,-0.002418,3.137183
0.020000,0.420284,0.999441,3.859353,1.993464,0.126779,-0.002035,3.136809
0.020000,0.380364,0.999637,3.899273,1.995999,0.126754,-0.001232,3.136581
0.020000,0.340394,0.999840,3.939244,1.998534,0.126737,-0.000897,3.136497
0.020000,0.300373,1.000043,3.979265,2.001068,0.126730,-0.000332,3.136558
0.020000,0.260302,1.000241,4.019337,2.003603,0.126735,0.000235,3.136764
0.020000,0.220180,1.000428,4.059460,2.006138,0.126749,0.000710,3.137115
0.020000,0.180006,1.000599,4.099633,2.008674,0.126775,0.001336,3.137610
0.020000,0.139783,1.000746,4.139857,2.011210,0.126812,0.001813,3.138251
0.020000,0.099508,1.000866,4.180132,2.013747,0.126855,0.002170,3.139036
0.020000,0.060980,1.000947,4.218660,1.926394,-4.367663,-224.725895,3.139922
0.020000,0.029371,1.000987,4.250269,1.580433,-17.298034,-646.518587,3.140747
0.020000,0.009638,1.000999,4.270002,0.986680,-29.687672,-619.481853,3.141307
0.020000,0.001568,1.001000,4.278073,0.403509,-29.158523,26.457407,3.141546
0.020000,0.000000,1.001000,4.279640,0.078378,-16.256562,645.098070,3.141593
0.020000,0.000000,1.001000,4.279640,0.000000,-3.918896,616.883300,3.141593
