dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.199212,1.998027,0.003333,0.333333,16.666667,833.333333,4.332865
0.020000,4.194311,1.985627,0.016667,1.000000,33.333333,833.333333,4.339166
0.020000,4.184752,1.960733,0.043333,1.666667,33.333333,0.000000,4.352489
0.020000,4.172176,1.926291,0.080000,2.000000,16.666667,-833.333333,4.372485
0.020000,4.159291,1.888424,0.120000,2.000000,0.000000,-833.333333,4.396730
0.020000,4.147379,1.850240,0.160000,2.000000,0.000000,0.000000,4.423794
0.020000,4.136565,1.811731,0.200000,2.000000,0.000000,0.000000,4.454001
0.020000,4.126986,1.772897,0.240000,2.000000,0.000000,0.000000,4.487712
0.020000,4.118796,1.733747,0.280000,2.000000,0.000000,0.000000,4.525316
0.020000,4.112168,1.694303,0.320000,2.000000,0.000000,0.000000,4.567216
0.020000,4.107289,1.654605,0.360000,2.000000,0.000000,0.000000,4.613809
0.020000,4.104364,1.614717,0.400000,2.000000,0.000000,0.000000,4.665446
0.020000,4.103607,1.574729,0.440000,2.000000,0.000000,0.000000,4.722376
0.020000,4.105234,1.534769,0.480000,2.000000,0.000000,0.000000,4.784675
0.020000,4.109450,1.494999,0.520000,2.000000,0.000000,0.000000,4.852156
0.020000,4.116432,1.455622,0.560000,2.000000,0.000000,0.000000,4.924288
0.020000,4.126309,1.416871,0.600000,2.000000,0.000000,0.000000,5.000152
0.020000,4.139145,1.378997,0.640000,2.000000,0.000000,0.000000,5.078457
0.020000,4.154926,1.342253,0.680000,2.000000,0.000000,0.000000,5.157646
0.020000,4.173555,1.306868,0.720000,2.000000,0.000000,0.000000,5.236067
0.020000,4.194865,1.273028,0.760000,2.000000,0.000000,0.000000,5.312183
0.020000,4.218632,1.240866,0.800000,2.000000,0.000000,0.000000,5.384734
0.020000,4.244603,1.210454,0.840000,2.000000,0.000000,0.000000,5.452839
0.020000,4.272514,1.181810,0.880000,2.000000,0.000000,0.000000,5.515998
0.020000,4.302109,1.154909,0.920000,2.000000,0.000000,0.000000,5.574048
0.020000,4.333153,1.129692,0.960000,2.000000,0.000000,0.000000,5.627074
0.020000,4.365433,1.106077,1.000000,2.000000,0.000000,0.000000,5.675330
0.020000,4.396843,1.085191,1.037723,1.772252,-11.387405,-569.370242,5.716780
0.020000,4.422259,1.069569,1.067557,1.211170,-28.054072,-833.333333,5.746992
0.020000,4.437427,1.060728,1.085113,0.544504,-33.333333,-263.963091,5.763783
0.020000,4.443080,1.057518,1.091614,0.105585,-21.945928,569.370242,5.769823
0.020000,4.444000,1.057000,1.092670,0.000000,-5.279262,833.333333,5.770796
0.020000,4.444000,1.057000,1.092670,0.000000,0.000000,263.963091,5.770796
