dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000001,3.350000,0.003333,0.333333,16.666667,833.333333,6.283183
0.020000,0.013065,3.350001,0.016398,0.653227,15.994659,-33.600394,0.000115
0.020000,0.039678,3.350006,0.043011,1.330648,33.871097,893.821910,0.000268
0.020000,0.076333,3.350017,0.079665,1.832715,25.103315,-438.389109,0.000304
0.020000,0.116400,3.350026,0.119733,2.003383,8.533431,-828.494200,0.000110
0.020000,0.156553,3.350023,0.159885,2.007621,0.211857,-416.078677,6.282860
0.020000,0.196790,3.349997,0.200122,2.011864,0.212191,0.016678,6.282182
0.020000,0.237112,3.349939,0.240445,2.016118,0.212668,0.023883,6.281261
0.020000,0.277520,3.349838,0.280853,2.020384,0.213300,0.031555,6.280096
0.020000,0.318013,3.349685,0.321346,2.024666,0.214111,0.040590,6.278687
0.020000,0.358592,3.349470,0.361925,2.028969,0.215157,0.052298,6.277032
0.020000,0.399257,3.349182,0.402591,2.033295,0.216319,0.058094,6.275129
0.020000,0.440008,3.348811,0.443344,2.037647,0.217587,0.063380,6.272978
0.020000,0.480846,3.348346,0.484185,2.042028,0.219063,0.073816,6.270576
0.020000,0.521771,3.347776,0.525114,2.046446,0.220859,0.089800,6.267922
0.020000,0.562783,3.347091,0.566131,2.050897,0.222573,0.085706,6.265014
0.020000,0.603883,3.346280,0.607239,2.055387,0.224482,0.095453,6.261849
0.020000,0.645070,3.345331,0.648438,2.059921,0.226703,0.111026,6.258424
0.020000,0.686346,3.344234,0.689728,2.064501,0.229016,0.115673,6.254739
0.020000,0.727709,3.342976,0.731110,2.069126,0.231252,0.111784,6.250789
0.020000,0.769160,3.341546,0.772586,2.073805,0.233940,0.134396,6.246571
0.020000,0.810700,3.339932,0.814157,2.078538,0.236649,0.135445,6.242083
0.020000,0.852327,3.338122,0.855823,2.083322,0.239221,0.128633,6.237322
0.020000,0.894041,3.336103,0.897587,2.088172,0.242470,0.162409,6.232283
0.020000,0.935843,3.333863,0.939448,2.093076,0.245199,0.136485,6.226964
0.020000,0.977731,3.331389,0.981409,2.098043,0.248388,0.159424,6.221362
0.020000,1.019704,3.328667,1.023471,2.103077,0.251658,0.163523,6.215472
0.020000,1.061762,3.325685,1.065634,2.108170,0.254670,0.150577,6.209290
0.020000,1.103903,3.322429,1.107901,2.113336,0.258285,0.180770,6.202814
0.020000,1.146126,3.318885,1.150272,2.118560,0.261209,0.146212,6.196038
0.020000,1.188429,3.315040,1.192749,2.123858,0.264915,0.185284,6.188961
0.020000,1.230809,3.310878,1.235334,2.129216,0.267864,0.147444,6.181577
0.020000,1.273265,3.306385,1.278026,2.134643,0.271358,0.174707,6.173882
0.020000,1.315793,3.301546,1.320829,2.140132,0.274448,0.154491,6.165875
0.020000,1.358391,3.296347,1.363743,2.145680,0.277398,0.147499,6.157550
0.020000,1.401054,3.290773,1.406769,2.151294,0.280727,0.166458,6.148904
0.020000,1.443778,3.284807,1.449908,2.156956,0.283080,0.117640,6.139935
0.020000,1.486560,3.278434,1.493161,2.162672,0.285835,0.137778,6.130639
0.020000,1.529393,3.271639,1.536530,2.168438,0.288282,0.122327,6.121013
0.020000,1.572272,3.264405,1.580015,2.174239,0.290048,0.088284,6.111056
0.020000,1.615190,3.256717,1.623616,2.180074,0.291763,0.085774,6.100765
0.020000,1.658141,3.248559,1.667335,2.185942,0.293372,0.080420,6.090140
0.020000,1.701117,3.239914,1.711171,2.191820,0.293905,0.026681,6.079178
0.020000,1.744109,3.230768,1.755126,2.197705,0.294280,0.018752,6.067880
0.020000,1.787108,3.221103,1.799197,2.203587,0.294102,-0.008924,6.056245
0.020000,1.830104,3.210904,1.843386,2.209456,0.293430,-0.033566,6.044276
0.020000,1.873086,3.200156,1.887692,2.215293,0.291863,-0.078369,6.031973
0.020000,1.916043,3.188843,1.932114,2.221086,0.289633,-0.111480,6.019338
0.020000,1.958962,3.176950,1.976650,2.226820,0.286680,-0.147685,6.006376
0.020000,2.001830,3.164464,2.021300,2.232478,0.282897,-0.189118,5.993091
0.020000,2.044633,3.151370,2.066061,2.238042,0.278238,-0.232992,5.979487
0.020000,2.087356,3.137655,2.110931,2.243496,0.272666,-0.278571,5.965572
0.020000,2.129982,3.123307,2.155907,2.248817,0.266070,-0.329795,5.951353
0.020000,2.172495,3.108313,2.200987,2.253988,0.258527,-0.377160,5.936838
