dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000006,3.423400,0.003333,0.333333,16.666667,833.333333,6.283169
0.020000,0.012450,3.423402,0.015778,0.622216,14.444109,-111.127888,0.000247
0.020000,0.038947,3.423415,0.042274,1.324842,35.131305,1034.359813,0.000732
0.020000,0.075411,3.423452,0.078739,1.823209,24.918360,-510.647264,0.001311
0.020000,0.115231,3.423515,0.118559,1.991002,8.389641,-826.435950,0.001825
0.020000,0.155094,3.423596,0.158421,1.993135,0.106658,-414.149124,0.002217
0.020000,0.194999,3.423690,0.198327,1.995267,0.106603,-0.002764,0.002488
0.020000,0.234947,3.423793,0.238275,1.997398,0.106547,-0.002798,0.002636
0.020000,0.274937,3.423899,0.278265,1.999528,0.106512,-0.001749,0.002663
0.020000,0.314970,3.424005,0.318298,2.001658,0.106512,-0.000018,0.002569
0.020000,0.355046,3.424104,0.358374,2.003789,0.106524,0.000623,0.002352
0.020000,0.395164,3.424192,0.398493,2.005920,0.106574,0.002480,0.002014
0.020000,0.435325,3.424264,0.438654,2.008053,0.106640,0.003303,0.001554
0.020000,0.475529,3.424315,0.478857,2.010187,0.106715,0.003743,0.000971
0.020000,0.515775,3.424340,0.519104,2.012324,0.106841,0.006330,0.000267
0.020000,0.556064,3.424335,0.559393,2.014464,0.106985,0.007192,6.282626
0.020000,0.596397,3.424293,0.599725,2.016606,0.107115,0.006465,6.281677
0.020000,0.636772,3.424211,0.640100,2.018752,0.107306,0.009587,6.280606
0.020000,0.677189,3.424083,0.680518,2.020903,0.107542,0.011776,6.279411
0.020000,0.717650,3.423904,0.720980,2.023057,0.107714,0.008615,6.278094
0.020000,0.758154,3.423669,0.761484,2.025216,0.107954,0.011978,6.276653
0.020000,0.798700,3.423373,0.802032,2.027382,0.108299,0.017290,6.275088
0.020000,0.839290,3.423010,0.842623,2.029552,0.108499,0.009952,6.273399
0.020000,0.879922,3.422576,0.883257,2.031728,0.108794,0.014768,6.271586
0.020000,0.920597,3.422066,0.923935,2.033912,0.109180,0.019303,6.269648
0.020000,0.961315,3.421473,0.964657,2.036101,0.109478,0.014917,6.267585
0.020000,1.002075,3.420793,1.005423,2.038297,0.109792,0.015664,6.265397
0.020000,1.042878,3.420020,1.046233,2.040501,0.110178,0.019300,6.263082
0.020000,1.083723,3.419149,1.087088,2.042713,0.110618,0.022007,6.260642
0.020000,1.124610,3.418175,1.127986,2.044932,0.110915,0.014842,6.258074
0.020000,1.165539,3.417093,1.168929,2.047158,0.111308,0.019693,6.255379
0.020000,1.206509,3.415896,1.209917,2.049393,0.111787,0.023931,6.252557
