dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,3.073400,0.003333,0.333333,16.666667,833.333333,6.283169
0.020000,0.012536,3.073402,0.016667,1.000000,33.333333,833.333333,0.000247
0.020000,0.039203,3.073415,0.043333,1.666667,33.333333,0.000000,0.000732
0.020000,0.075870,3.073452,0.080000,2.000000,16.666667,-833.333333,0.001311
0.020000,0.115870,3.073516,0.120000,2.000000,0.000000,-833.333333,0.001825
0.020000,0.155870,3.073597,0.160000,2.000000,0.000000,0.000000,0.002217
0.020000,0.195869,3.073691,0.200000,2.000000,0.000000,0.000000,0.002488
0.020000,0.235869,3.073794,0.240000,2.000000,0.000000,0.000000,0.002636
0.020000,0.275869,3.073901,0.280000,2.000000,0.000000,0.000000,0.002663
0.020000,0.315869,3.074006,0.320000,2.000000,0.000000,0.000000,0.002569
0.020000,0.355869,3.074105,0.360000,2.000000,0.000000,0.000000,0.002352
0.020000,0.395869,3.074192,0.400000,2.000000,0.000000,0.000000,0.002014
0.020000,0.435869,3.074264,0.440000,2.000000,0.000000,0.000000,0.001554
0.020000,0.475869,3.074315,0.480000,2.000000,0.000000,0.000000,0.000971
0.020000,0.515869,3.074340,0.520000,2.000000,0.000000,0.000000,0.000267
0.020000,0.555869,3.074335,0.560000,2.000000,0.000000,0.000000,6.282626
0.020000,0.595869,3.074294,0.600000,2.000000,0.000000,0.000000,6.281677
0.020000,0.635869,3.074212,0.640000,2.000000,0.000000,0.000000,6.280606
0.020000,0.675868,3.074086,0.680000,2.000000,0.000000,0.000000,6.279411
0.020000,0.715868,3.073909,0.720000,2.000000,0.000000,0.000000,6.278094
0.020000,0.755867,3.073677,0.760000,2.000000,0.000000,0.000000,6.276653
0.020000,0.795866,3.073384,0.800000,2.000000,0.000000,0.000000,6.275088
0.020000,0.835865,3.073027,0.840000,2.000000,0.000000,0.000000,6.273399
0.020000,0.875862,3.072600,0.880000,2.000000,0.000000,0.000000,6.271586
0.020000,0.915859,3.072098,0.920000,2.000000,0.000000,0.000000,6.269648
0.020000,0.955855,3.071515,0.960000,2.000000,0.000000,0.000000,6.267585
0.020000,0.995849,3.070848,1.000000,2.000000,0.000000,0.000000,6.265397
0.020000,1.035842,3.070091,1.040000,2.000000,0.000000,0.000000,6.263082
0.020000,1.075833,3.069238,1.080000,2.000000,0.000000,0.000000,6.260642
0.020000,1.115822,3.068286,1.120000,2.000000,0.000000,0.000000,6.258074
0.020000,1.155808,3.067228,1.160000,2.000000,0.000000,0.000000,6.255379
0.020000,1.195791,3.066060,1.200000,2.000000,0.000000,0.000000,6.252557
0.020000,1.235770,3.064776,1.240000,2.000000,0.000000,0.000000,6.249606
0.020000,1.275745,3.063372,1.280000,2.000000,0.000000,0.000000,6.246527
