dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.819033,2.072992,0.003333,0.333333,16.666667,833.333333,2.465425
0.020000,7.814171,2.076878,0.009558,0.311219,-1.105701,-888.618380,2.467937
0.020000,7.791900,2.094563,0.037996,1.421931,55.535594,2832.064748,2.473004
0.020000,7.761100,2.118717,0.077138,1.957063,26.756586,-1438.950388,2.480076
0.020000,7.727265,2.144848,0.119888,2.137542,9.023960,-886.631336,2.487932
0.020000,7.693183,2.170739,0.162690,2.140084,0.127115,-444.842224,2.495937
0.020000,7.658852,2.196385,0.205542,2.142597,0.125653,-0.073118,2.504093
0.020000,7.624263,2.221782,0.248454,2.145576,0.148919,1.163291,2.512405
0.020000,7.589420,2.246919,0.291418,2.148203,0.131371,-0.877386,2.520873
0.020000,7.554319,2.271789,0.334436,2.150914,0.135532,0.208045,2.529502
0.020000,7.518956,2.296385,0.377512,2.153802,0.144383,0.442588,2.538292
0.020000,7.483326,2.320699,0.420648,2.156790,0.149429,0.252295,2.547248
0.020000,7.447430,2.344723,0.463841,2.159668,0.143881,-0.277435,2.556371
0.020000,7.411265,2.368448,0.507093,2.162605,0.146841,0.148021,2.565664
0.020000,7.374829,2.391864,0.550405,2.165594,0.149467,0.131301,2.575127
0.020000,7.338119,2.414964,0.593778,2.168629,0.151751,0.114189,2.584765
0.020000,7.301135,2.437738,0.637212,2.171703,0.153685,0.096712,2.594577
0.020000,7.263873,2.460177,0.680708,2.174808,0.155263,0.078900,2.604567
0.020000,7.226334,2.482271,0.724267,2.177937,0.156479,0.060785,2.614735
0.020000,7.188515,2.504010,0.767888,2.181084,0.157327,0.042401,2.625083
0.020000,7.150416,2.525384,0.811573,2.184240,0.157802,0.023781,2.635611
0.020000,7.112037,2.546382,0.855321,2.187398,0.157902,0.004963,2.646321
0.020000,7.073378,2.566995,0.899132,2.190551,0.157621,-0.014015,2.657213
0.020000,7.034439,2.587210,0.943006,2.193710,0.157987,0.018257,2.668286
0.020000,6.995216,2.607020,0.986947,2.197041,0.166559,0.428601,2.679542
0.020000,6.955716,2.626411,1.030950,2.200153,0.155574,-0.549246,2.690979
0.020000,6.915940,2.645372,1.075015,2.203226,0.153646,-0.096359,2.702596
0.020000,6.875886,2.663892,1.119143,2.206426,0.159990,0.317183,2.714392
