dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.100000,0.600000,0.003333,0.333333,16.666667,833.333333,2.678701
0.020000,5.090143,0.604893,0.016667,1.000000,33.333333,833.333333,2.682338
0.020000,5.066196,0.616627,0.043333,1.666667,33.333333,0.000000,2.689630
0.020000,5.033131,0.632474,0.080000,2.000000,16.666667,-833.333333,2.699694
0.020000,4.996880,0.649381,0.120000,2.000000,0.000000,-833.333333,2.710719
0.020000,4.960444,0.665886,0.160000,2.000000,0.000000,0.000000,2.721785
0.020000,4.923828,0.681986,0.200000,2.000000,0.000000,0.000000,2.732887
0.020000,4.887035,0.697679,0.240000,2.000000,0.000000,0.000000,2.744018
0.020000,4.850069,0.712960,0.280000,2.000000,0.000000,0.000000,2.755172
0.020000,4.812935,0.727828,0.320000,2.000000,0.000000,0.000000,2.766343
0.020000,4.775638,0.742280,0.360000,2.000000,0.000000,0.000000,2.777523
0.020000,4.738181,0.756314,0.400000,2.000000,0.000000,0.000000,2.788706
0.020000,4.700569,0.769928,0.440000,2.000000,0.000000,0.000000,2.799885
0.020000,4.662808,0.783121,0.480000,2.000000,0.000000,0.000000,2.811053
0.020000,4.624901,0.795892,0.520000,2.000000,0.000000,0.000000,2.822202
0.020000,4.586855,0.808240,0.560000,2.000000,0.000000,0.000000,2.833326
0.020000,4.548674,0.820164,0.600000,2.000000,0.000000,0.000000,2.844418
0.020000,4.510363,0.831665,0.640000,2.000000,0.000000,0.000000,2.855470
0.020000,4.471928,0.842743,0.680000,2.000000,0.000000,0.000000,2.866476
0.020000,4.433374,0.853398,0.720000,2.000000,0.000000,0.000000,2.877428
0.020000,4.394705,0.863632,0.760000,2.000000,0.000000,0.000000,2.888319
0.020000,4.355928,0.873445,0.800000,2.000000,0.000000,0.000000,2.899144
0.020000,4.317047,0.882839,0.840000,2.000000,0.000000,0.000000,2.909894
0.020000,4.278067,0.891816,0.880000,2.000000,0.000000,0.000000,2.920563
0.020000,4.238995,0.900378,0.920000,2.000000,0.000000,0.000000,2.931145
0.020000,4.199834,0.908529,0.960000,2.000000,0.000000,0.000000,2.941634
0.020000,4.160591,0.916270,1.000000,2.000000,0.000000,0.000000,2.952023
0.020000,4.121269,0.923605,1.040000,2.000000,0.000000,0.000000,2.962307
0.020000,4.081874,0.930537,1.080000,2.000000,0.000000,0.000000,2.972480
0.020000,4.042412,0.937071,1.120000,2.000000,0.000000,0.000000,2.982537
